Original.Name,mouse,DOB,mat.DOB,pat.DOB,mother ID,father ID,litter size,previous litters,male mated
,,,,,,,,,
,,,,,,,,,
11feb18_KAZ_m1,11feb18_KAZ_m1,11/26/2017,,,KAZ2,KAZ2,,,
11feb18_KAZ_m2,11feb18_KAZ_m2,10/3/2017,,,KAZ 3,KAZ 3,,,
11feb18_KAZ_m3,11feb18_KAZ_m3,10/11/2017,,,KAZ2,KAZ2,,,
,,,,,,,,,
1feb18_KAZ_f1,1feb18_KAZ_f1,,10/11/2017,,,,,,
1feb18_KAZ_f2,1feb18_KAZ_f2,,10/11/2017,,,,,,
1feb18_KAZ_f3,1feb18_KAZ_f3,,10/11/2017,,,,,,
1feb18_KAZ_f4,1feb18_KAZ_f4,,10/11/2017,,,,,,
1feb18_KAZ_f5,1feb18_KAZ_f5,,10/11/2017,,,,,,
1feb18_KAZ_f6,1feb18_KAZ_f6,,10/11/2017,,,,,,
1feb18_LEW_f1,1feb18_LEW_f1,,,,,,,,
,,,,,,,,,
1feb18_LEW_m1,1feb18_LEW_m1,12/6/2017,9/15/2017,,,,,,
1feb18_MSM_m1,1feb18_MSM_m1,12/5/2017,6/19/2017,,,,,,
1feb18_KAZ_m1,1feb18_KAZ_m1,,,,,,,,
,,,,,,,,,
11jan18_KAZ_m1,11jan18_KAZ_m1,,,,,,,,
11jan18_KAZ_m2,11jan18_KAZ_m2,11/4/2017,,,,,,,
11jan18_KAZ_m3,11jan18_KAZ_m3,11/4/2017,,,,,,,
11jan18_KAZ_m4,11jan18_KAZ_m4,11/4/2017,,,,,,,
11jan18_SPRET_m1,11jan18_SPRET_m1,,,,,,,,
11jan18_SPIC_m1,11jan18_SPIC_m1,4/6/2017,NA,,,,,,
11jan18_KAZ_f1,11jan18_KAZ_f1,1/11/2018,,,,,,,
11jan18_KAZ_f2,11jan18_KAZ_f2,1/11/2018,,,,,,,
11jan18_KAZ_f3,11jan18_KAZ_f3,1/11/2018,,,,,,,
,,,,,,,,,
11jan18_SPIC_f1,11jan18_SPIC_f1,1/10/2018,4/6/2017,,SPIC 2,,,,
11jan18_SPIC_f2,11jan18_SPIC_f2,1/10/2018,4/6/2017,,SPIC 2,,,,
,,,,,,,,,
31dec17_MSM_f1,31dec17_MSM_f1,12/31/2017,9/15/2017,,,,,,
31dec17_MSM_f2,31dec17_MSM_f2,12/31/2017,9/15/2017,,,,,,
31dec17_MSM_f3,31dec17_MSM_f3,12/31/2017,9/15/2017,,,,,,
31dec17_MSM_f4,31dec17_MSM_f4,12/31/2017,6/19/2017,,,,,,
31dec17_MSM_f5,31dec17_MSM_f5,12/31/2017,6/19/2017,,,,,,
31dec17_SPIC_f1,31dec17_SPIC_f1,12/31/2017,,,SPIC1,,,,
31dec17_SPIC_f2,31dec17_SPIC_f2,12/31/2017,,,SPIC1,,,,
,,,,,,,,,
4dec17_SPIC_f1,4dec17_SPIC_f1,4-Dec-17,,,SPIC4,,,,
4dec17_SPIC_f2,4dec17_SPIC_f2,4-Dec-17,,,SPIC4,,,,
4dec17_SPIC_m1,4dec17_SPIC_m1,10/5/2017,,,SPic2,,,,
