Batch,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes,n0CO,n1CO,n2CO,n3CO,n4CO,biv.sum.check,MLH1.sum.check,MLH1.dif,same_count,notes.2,
Batch0,2apr15_28feb15_PWD_f3_sp1_8_rev.tif,2780-30903-17637.tif,2,20,36,no,na,0,0,,0,9,9,1,1,20,34,-2,FALSE,,
Batch4,19jan17_4jan17_LEW_f7_sp1_26_rev.tif,879-4344-10739.tif,2,20,26,,,2,0,,2,9,8,0,1,20,29,3,FALSE,,
Batch0,20jul15_18may15_PWD_m2_sp1_1_rev.tif,11469-792-19568.tif,3,20,29,no,1 CO,1,0,some SC threads visible,1,8,10,0,0,19,28,-1,FALSE,,
Batch14,13apr18_1feb18_KAZ_f6_sp1_17_rev.tif,10558-13045-23450.tif,2,20,21,no,,1,1,,1,16,2,1,0,20,23,2,FALSE,,
batch8,11dec17_18nov17_WSB_f1_sp1_22_rev.tif,23540-19228-19526.tif,3,20,24,no,,3,0,,3,14,2,1,0,20,21,-3,FALSE,,
Batch9,7feb18_11jan18_KAZ_m4_sp1_18.1_rev.tif,31013-981-21879.tif,3,20,24,no,yes,1,0,,1,14,3,1,0,19,23,-1,FALSE,,
Batch0,30jun15_17apr15_PWD_f3_sp1_10_rev.tif,9355-24860-9137.tif,3,20,24,no,na,1,0,,1,15,3,1,0,20,24,0,TRUE,,
Batch14,1mar18_1feb18_KAZ_f3_sp1_1_rev.tif,26832-8933-13439.tif,4,20,23,no,,1,1,,2,14,3,1,0,20,23,0,TRUE,,
Batch0,28jul15_22jun15_G_m2_sp1_20_rev.tif,4326-3552-8860.tif,3,20,26,no,yes,0,0,,0,15,3,1,0,19,24,-2,FALSE,,
batch10,24jan18_31dec17_MSM_f3_sp1_22_rev.tif,5133-30584-21552.tif,3,20,26,no,,1,1,21 chrms,1,15,4,1,0,21,26,0,TRUE,,
Batch6,16aug17_5jul17_MSM_m1_sp1_23_rev.tif,30186-21296-26667.tif,2,20,24,no,,1,0,,2,11,5,1,0,19,24,0,TRUE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_44_rev.tif,6884-23897-29297.tif,1,20,31,no,,0,0,,0,12,7,1,0,20,29,-2,FALSE,,
Batch14,10jun19_31may19_SKIVE_f6_sp1_53_rev.tif,22370-23234-19034.tif,3,20,28,no,,0,2,,0,12,7,1,0,20,29,1,FALSE,,
batch10,16feb18_1feb18_KAZ_f4_sp1_10_rev.tif,6310-7292-13930.tif,1,20,29,no,,1,1,,0,11,8,1,0,20,30,1,FALSE,,
batch8,21nov17_16nov17_MSM_f3_sp1_17_rev.tif,9775-30774-16843.tif,2,20,34,no,,0,0,,0,10,9,1,0,20,31,-3,FALSE,,
