"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",24.7116428571429,0.447657724732665,55.2020918926403,1.1932472691573e-87
"sexmale",-1.15644285714286,0.693508365076287,-1.66752546238667,0.097996107301828
"strainG",3.27735714285714,0.658934329133886,4.9737234773683,2.19426018872698e-06
"strainLEW",1.69646825396825,0.715630342642455,2.37059296242816,0.0193395447641554
"strainPWD",1.15822380952381,0.622442806843701,1.86077145850068,0.0652038830748172
"strainMSM",2.97721428571429,0.633083625618017,4.70271882771873,6.87140245624802e-06
"strainMOLF",2.90735714285714,1.73377091269072,1.67689809626872,0.096144073353564
"strainSKIVE",1.22635714285714,1.73377091269072,0.707335169762366,0.480718318051305
"strainKAZ",0.855690476190474,0.715630342642455,1.19571575602964,0.234145535254169
"sexmale:strainG",-3.15173896103896,0.984785331637836,-3.20043247983515,0.00175274729535899
"sexmale:strainLEW",-1.19095396825397,1.09246422287147,-1.09015374903868,0.277811661390245
"sexmale:strainPWD",3.59295119047619,1.00930024230002,3.55984378076488,0.000531271049697276
"sexmale:strainMSM",3.72383571428571,1.17590064450127,3.16679451763128,0.00195091272613305
"sexmale:strainMOLF",-3.22255714285714,1.93755309986771,-1.6632097169761,0.0988585488178137
"sexmale:strainSKIVE",1.45444285714286,1.96153787102015,0.741480895490657,0.459838618479401
"sexmale:strainKAZ",-0.80789047619047,1.0235890223173,-0.789272313961997,0.431496713784721
