"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",23.5552,0.491365698764681,47.9382261708927,3.70900312056121e-47
"subspMusc",-1.36153333333334,1.02285926842235,-1.33110524132352,0.188548388505347
"subspMol",-0.315200000000001,0.80239682605305,-0.392823089231863,0.695941514189218
"strainG",0.125618181818181,0.678919278129357,0.185026682648194,0.853876599023131
"strainLEW",0.505514285714285,0.765738135832959,0.660166004615134,0.511853645756921
"strainPERC",-1.7472,1.62967565765324,-1.07211517322164,0.288266968919228
"strainPWD",6.11270833333333,1.05195111363511,5.81082928103983,3.08128158126294e-07
"strainMSM",7.01625,1.00299603256631,6.99529187772348,3.52339810845832e-09
"strainSKIVE",4.04233333333333,1.13476047380935,3.56227893606778,0.000759352981991403
"strainKAZ",1.40933333333333,1.01207310475489,1.39252127806979,0.169269338192581
"strainTOM",3.40633333333334,1.79421384798469,1.89851022338247,0.0627863310548124
"strainAST",2.70333333333333,1.79421384798469,1.50669516700575,0.137509470831549
