sex,strain,mean.rbar.all,mean.rbar.2CO,mean.rbar.3CO
female,WSB,0.228543134,0.286477521,0.337424113
female,G,0.238443402,0.290751289,0.340609725
female,LEW,0.238445659,0.289001602,0.334746041
female,PWD,0.233316337,0.289362002,0.335659567
female,MSM,0.231517443,0.290551293,0.306731751
female,SKIVE,0.228555109,0.286172004,0.335558445
female,KAZ,0.223645395,0.276978494,0.33528515
male,WSB,0.172870955,0.261297573,NA
male,G,0.196297685,0.27240943,0.336810363
male,LEW,0.19303842,0.258557684,0.312729433
male,PWD,0.214393643,0.260035496,0.316338655
male,MSM,0.217139568,0.265557167,-0.016189492
male,MOLF,0.215747525,0.277577101,0.337657928
male,SKIVE,0.199946174,0.253749212,0.330601346
male,KAZ,0.176668508,0.261042339,0.34229338
male,CZECH,0.191722041,0.271075619,0.341392956
