fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3
5jun18_21may18_KAZ_m2_sp1_1_rev,3.3846,0.037828,0.61249,89,6,1,5jun18_21may18_KAZ_m2_sp1_1_rev_1,1,0,,,1,75,,
5jun18_21may18_KAZ_m2_sp1_1_rev,6.4766,0.074736,0.5853,87,2,10,5jun18_21may18_KAZ_m2_sp1_1_rev_10,1,0,,,1,64,,
5jun18_21may18_KAZ_m2_sp1_1_rev,5.5136,0.074425,0.57683,74,3,11,5jun18_21may18_KAZ_m2_sp1_1_rev_11,1,,,(foci pretty faint),,,,
5jun18_21may18_KAZ_m2_sp1_1_rev,4.1791,0.043114,0.59334,97,1,12,5jun18_21may18_KAZ_m2_sp1_1_rev_12,1,1,,,1,28,,
5jun18_21may18_KAZ_m2_sp1_1_rev,10.2012,0.16523,0.60584,62,4,13,5jun18_21may18_KAZ_m2_sp1_1_rev_13,0,,X,XY merge,,,,
5jun18_21may18_KAZ_m2_sp1_1_rev,3.8806,0.042808,0.57523,91,5,14,5jun18_21may18_KAZ_m2_sp1_1_rev_14,1,0,,,1,39,,
5jun18_21may18_KAZ_m2_sp1_1_rev,4.7216,0.091659,0.58696,52,3,15,5jun18_21may18_KAZ_m2_sp1_1_rev_15,1,0,,,1,42,,
5jun18_21may18_KAZ_m2_sp1_1_rev,2.6866,0.057133,0.57863,47,3,16,5jun18_21may18_KAZ_m2_sp1_1_rev_16,1,0,,foci very faint,1,32,,
5jun18_21may18_KAZ_m2_sp1_1_rev,4.2757,0.054255,0.56464,79,1,17,5jun18_21may18_KAZ_m2_sp1_1_rev_17,1,1,,,1,73,,
5jun18_21may18_KAZ_m2_sp1_1_rev,2.8169,0.035022,0.61688,80,3,2,5jun18_21may18_KAZ_m2_sp1_1_rev_2,1,0,,,1,70,,
5jun18_21may18_KAZ_m2_sp1_1_rev,3.4783,0.045327,0.61141,77,2,3,5jun18_21may18_KAZ_m2_sp1_1_rev_3,1,1,,,2,29,70,
5jun18_21may18_KAZ_m2_sp1_1_rev,3.9441,0.055691,0.61873,71,1,4,5jun18_21may18_KAZ_m2_sp1_1_rev_4,1,1,,,1,54,,
5jun18_21may18_KAZ_m2_sp1_1_rev,6.5125,0.089401,0.61911,73,3,5,5jun18_21may18_KAZ_m2_sp1_1_rev_5,1,0,,two foci very close together,2,14,20,
5jun18_21may18_KAZ_m2_sp1_1_rev,4.6575,0.049193,0.58352,95,1,6,5jun18_21may18_KAZ_m2_sp1_1_rev_6,1,1,,,1,59,,
5jun18_21may18_KAZ_m2_sp1_1_rev,6.4992,0.053736,0.59783,121,6,7,5jun18_21may18_KAZ_m2_sp1_1_rev_7,1,0,,"maybe 3 foci, first is very faint",2,75,99,
5jun18_21may18_KAZ_m2_sp1_1_rev,4.8161,0.060089,0.59844,80,4,8,5jun18_21may18_KAZ_m2_sp1_1_rev_8,1,0,,,1,62,,
5jun18_21may18_KAZ_m2_sp1_1_rev,3.7744,0.051779,0.61176,73,8,9,5jun18_21may18_KAZ_m2_sp1_1_rev_9,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,8.0977,0.18055,0.70467,45,6,1,5jun18_21may18_KAZ_m2_sp1_10.1_rev_1,1,0,,,1,26,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,5.1394,0.083116,0.64759,62,4,11,5jun18_21may18_KAZ_m2_sp1_10.1_rev_11,1,0,,,1,24,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,4.097,0.057405,0.65355,71,6,12,5jun18_21may18_KAZ_m2_sp1_10.1_rev_12,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,5.1612,0.065871,0.66173,78,8,13,5jun18_21may18_KAZ_m2_sp1_10.1_rev_13,1,0,,,1,71,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,7.3072,0.092398,0.59679,79,6,14,5jun18_21may18_KAZ_m2_sp1_10.1_rev_14,1,,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,4.0625,0.057961,0.58052,70,3,15,5jun18_21may18_KAZ_m2_sp1_10.1_rev_15,1,0,,,1,65,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,3.75,0.05468,0.71407,69,6,2,5jun18_21may18_KAZ_m2_sp1_10.1_rev_2,1,0,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,3.3846,0.025857,0.70727,131,11,3,5jun18_21may18_KAZ_m2_sp1_10.1_rev_3,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,3.2353,0.041161,0.71191,79,3,5,5jun18_21may18_KAZ_m2_sp1_10.1_rev_5,1,0,,,1,59,,
5jun18_21may18_KAZ_m2_sp1_10.1_rev,6.0983,0.053839,0.64923,113,1,9,5jun18_21may18_KAZ_m2_sp1_10.1_rev_9,1,1,,,1,27,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,4.8394,0.063517,0.71155,76,2,1,5jun18_21may18_KAZ_m2_sp1_10.2_rev_1,1,0,,,1,27,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,5.6648,0.05519,0.65463,103,6,11,5jun18_21may18_KAZ_m2_sp1_10.2_rev_11,1,0,,,1,83,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,6.1414,0.095433,0.71374,64,1,12,5jun18_21may18_KAZ_m2_sp1_10.2_rev_12,1,1,,,1,60,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,3.8806,0.054236,0.69581,72,4,13,5jun18_21may18_KAZ_m2_sp1_10.2_rev_13,1,0,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,4.2971,0.038503,0.70515,112,1,14,5jun18_21may18_KAZ_m2_sp1_10.2_rev_14,1,1,,,1,81,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,2.2581,0.036783,0.66849,61,2,15,5jun18_21may18_KAZ_m2_sp1_10.2_rev_15,1,0,,,1,30,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,3.6111,0.061168,0.7359,59,2,2,5jun18_21may18_KAZ_m2_sp1_10.2_rev_2,1,0,,,1,46,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,3.3898,0.040999,0.75621,83,2,3,5jun18_21may18_KAZ_m2_sp1_10.2_rev_3,1,1,,first foci very faint,2,30,66,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,6.4642,0.13483,0.72279,48,1,4,5jun18_21may18_KAZ_m2_sp1_10.2_rev_4,1,1,,,1,46,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,4.3645,0.061972,0.7348,70,5,5,5jun18_21may18_KAZ_m2_sp1_10.2_rev_5,1,0,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,7.9231,0.089585,0.70609,88,7,6,5jun18_21may18_KAZ_m2_sp1_10.2_rev_6,1,0,,,1,28,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,2.5397,0.024349,0.75165,104,7,7,5jun18_21may18_KAZ_m2_sp1_10.2_rev_7,0,,X,XY,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,7.3294,0.05227,0.69515,140,1,8,5jun18_21may18_KAZ_m2_sp1_10.2_rev_8,0,,X,merged,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,4.3478,0.043372,0.64172,100,2,9,5jun18_21may18_KAZ_m2_sp1_10.2_rev_9,1,0,,,1,94,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,7.0031,0.092019,0.61296,76,1,1,5jun18_21may18_KAZ_m2_sp1_10.3_rev_1,1,1,,,1,71,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,4.5155,0.039972,0.5365,113,2,11,5jun18_21may18_KAZ_m2_sp1_10.3_rev_11,1,1,,,2,21,107,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,7.3522,0.085541,0.55385,86,1,13,5jun18_21may18_KAZ_m2_sp1_10.3_rev_13,1,1,,,1,72,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,3.9832,0.051011,0.56217,78,1,14,5jun18_21may18_KAZ_m2_sp1_10.3_rev_14,1,1,,,1,66,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,5.9215,0.076953,0.59423,77,2,2,5jun18_21may18_KAZ_m2_sp1_10.3_rev_2,1,0,,,1,67,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,4.7492,0.049854,0.61674,95,2,5,5jun18_21may18_KAZ_m2_sp1_10.3_rev_5,0,0,X,merged,,,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,5.8596,0.067624,0.62253,87,2,6,5jun18_21may18_KAZ_m2_sp1_10.3_rev_6,1,0,,,1,68,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,4.4775,0.058854,0.61538,76,1,7,5jun18_21may18_KAZ_m2_sp1_10.3_rev_7,0,,X,merged,,,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,3.5294,0.071466,0.56732,49,4,9,5jun18_21may18_KAZ_m2_sp1_10.3_rev_9,1,,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,3.8409,0.05758,0.4278,67,1,1,5jun18_21may18_KAZ_m2_sp1_10.4_rev_1,1,1,,,1,63,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.6745,0.042929,0.37564,109,3,10,5jun18_21may18_KAZ_m2_sp1_10.4_rev_10,1,0,,,2,24,100,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.7059,0.034536,0.41791,136,8,12,5jun18_21may18_KAZ_m2_sp1_10.4_rev_12,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,6.9674,0.099532,0.43574,70,1,13,5jun18_21may18_KAZ_m2_sp1_10.4_rev_13,1,1,,,1,56,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,9.7575,0.092385,0.44834,106,3,3,5jun18_21may18_KAZ_m2_sp1_10.4_rev_3,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,3.6881,0.026462,0.43958,139,2,4,5jun18_21may18_KAZ_m2_sp1_10.4_rev_4,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.1176,0.046684,0.41455,88,7,5,5jun18_21may18_KAZ_m2_sp1_10.4_rev_5,1,0,,,1,79,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.7711,0.098987,0.43489,48,1,6,5jun18_21may18_KAZ_m2_sp1_10.4_rev_6,1,1,,,1,38,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.5577,0.034764,0.41692,131,1,8,5jun18_21may18_KAZ_m2_sp1_10.4_rev_8,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,6.5253,0.073751,0.62238,88,1,1,5jun18_21may18_KAZ_m2_sp1_11_rev_1,1,1,,,1,82,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.127,0.088214,0.63233,47,1,10,5jun18_21may18_KAZ_m2_sp1_11_rev_10,1,1,,,1,30,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.4776,0.046682,0.5962,96,6,11,5jun18_21may18_KAZ_m2_sp1_11_rev_11,1,0,,,1,68,,
5jun18_21may18_KAZ_m2_sp1_11_rev,5.2663,0.051112,0.58505,103,3,12,5jun18_21may18_KAZ_m2_sp1_11_rev_12,1,1,,faint middle foci,3,21,66,93
5jun18_21may18_KAZ_m2_sp1_11_rev,7.1098,0.060801,0.61155,117,3,13,5jun18_21may18_KAZ_m2_sp1_11_rev_13,1,0,,,1,39,,
5jun18_21may18_KAZ_m2_sp1_11_rev,3.4489,0.051674,0.60863,67,4,14,5jun18_21may18_KAZ_m2_sp1_11_rev_14,0,,X,,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,2.4242,0.025244,0.59488,96,6,15,5jun18_21may18_KAZ_m2_sp1_11_rev_15,1,0,,,1,41,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.1788,0.053332,0.60425,78,1,16,5jun18_21may18_KAZ_m2_sp1_11_rev_16,1,1,,,1,35,,
5jun18_21may18_KAZ_m2_sp1_11_rev,3.3333,0.054779,0.59753,61,1,17,5jun18_21may18_KAZ_m2_sp1_11_rev_17,1,1,,,1,56,,
5jun18_21may18_KAZ_m2_sp1_11_rev,7.1359,0.087995,0.61637,81,1,2,5jun18_21may18_KAZ_m2_sp1_11_rev_2,1,1,,,1,26,,
5jun18_21may18_KAZ_m2_sp1_11_rev,9.3687,0.061744,0.61694,152,15,3,5jun18_21may18_KAZ_m2_sp1_11_rev_3,0,,,XY,,,,
