fileName,boxNumber,blobjectClass,chromosomeLength,centromere_ABS_Position,hand.foci.count,Foci1,Foci2,Foci3,curation.notes
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob16,,87.591,2.236,2,9.285,,83.442,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob4,2CO,84.792,2.236,2,16.333,,82.434,
5jun18_21may18_KAZ_m2_sp1_19.2_rev,blob2,,103.86,2.236,2,16.941,,99.661,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob5,2CO,106.257,4,2,17.17,,101.912,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob7,2CO,101.73,50.64,2,18.66,,99.734,
5jun18_21may18_KAZ_m2_sp1_18_rev,blob3,,80.591,5.099,1,19.971,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob1,1CO,71.782,3.236,1,22.593,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,blob4,,91.531,5.02,2,23.253,,89.214,
26jan18_11jan18_KAZ_m3_sp1_8_rev,blob2,,72.856,3.236,1,24.147,,,
26jan18_11jan18_KAZ_m3_sp1_8_rev,blob1,,54.732,3,1,25.784,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,blob1,,92.028,5,1,27.566,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,blob1,,92.384,4,2,29.727,,85.3,
5jun18_21may18_KAZ_m2_sp1_19.2_rev,blob3,,95.29,6.434,2,29.929,,80.581,
5jun18_21may18_KAZ_m2_sp1_1_rev,blob2,,64.113,5.398,1,30.647,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob12,,87.912,2.828,1,35.229,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob11,,49.727,4.243,1,38.66,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob15,,66.211,3.606,1,38.742,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,blob3,,45.553,4.472,1,39.582,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,blob2,,122.61,6.403,1,39.849,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,blob5,,53.888,2.828,1,42.861,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,blob6,,93.836,3.606,1,43.445,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob9,,58.7,4.236,1,43.749,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,blob1,,79.971,3.162,1,45.226,,,
5jun18_21may18_KAZ_m2_sp1_19.2_rev,blob4,,54.471,4.472,1,45.526,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,blob4,,68.876,4.243,1,45.901,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob19,,79.797,3.606,1,47.556,,,
5jun18_21may18_KAZ_m2_sp1_13_rev,blob2,,135.483,3.162,1,48.736,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob10,,56.577,5.398,1,49.48,,,
5jun18_21may18_KAZ_m2_sp1_1_rev,blob1,,55.659,4.123,1,52.788,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob17,,96.617,3,1,53.297,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,blob3,,59.994,3.606,1,55.83,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob2,1CO,85.942,6.434,1,56.55,,,
26jan18_11jan18_KAZ_m3_sp1_6_rev,blob3,,68.465,2.828,1,62.165,,,
5jun18_21may18_KAZ_m2_sp1_1_rev,blob3,,95.731,4.123,1,62.294,,,
26jan18_11jan18_KAZ_m3_sp1_6_rev,blob2,,67.254,3.606,1,62.339,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob3,1CO,73.601,3,1,64.343,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,blob1,,72.965,5.842,1,69.633,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob6,1CO,101.215,3.606,1,69.786,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,blob2,,90.268,4.243,1,70.456,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob18,,74.258,5.398,1,70.697,,,
5jun18_21may18_KAZ_m2_sp1_19.2_rev,blob1,,79.568,2.828,1,71.769,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob13,,119.789,5.831,1,76.385,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob14,,92.566,5,1,76.985,,,
26jan18_11jan18_KAZ_m3_sp1_6_rev,blob1,,92.055,5,1,77.434,,,
5jun18_21may18_KAZ_m2_sp1_2_rev.tif,blob20,,83.81,4.243,1,80.246,,,
26jan18_11jan18_KAZ_m3_sp1_8_rev,blob3,,82.909,2.236,1,81,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,blob2,,94.831,5.398,1,90.759,,,
5jun18_21may18_KAZ_m2_sp1_1_rev,blob4,,95.721,3,1,90.811,,,
5jun18_21may18_KAZ_m2_sp1_13_rev,blob1,,121.167,3.606,1,108.798,,,
