fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,Obj.ID,mouse,category,strain,sex,subsp
20jul15_18may15_PWD_m2_sp1_10.2_rev,49,1.2698,0.026131,0.55504,2,10,20jul15_18may15_PWD_m2_sp1_10.2_rev_10,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,47,6.9065,0.14813,0.60048,5,11,20jul15_18may15_PWD_m2_sp1_10.2_rev_11,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_11,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,73,7.422,0.10152,0.57639,1,12,20jul15_18may15_PWD_m2_sp1_10.2_rev_12,1,1,1,,1,66,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_12,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,65,3.3306,0.051236,0.53906,3,13,20jul15_18may15_PWD_m2_sp1_10.2_rev_13,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,58,4.1267,0.071373,0.50961,2,14,20jul15_18may15_PWD_m2_sp1_10.2_rev_14,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_14,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,87,4.9668,0.05716,0.56517,9,18,20jul15_18may15_PWD_m2_sp1_10.2_rev_18,1,0,0,,1,33,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_18,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,99,3.9463,0.039757,0.51695,6,19,20jul15_18may15_PWD_m2_sp1_10.2_rev_19,1,0,0,,2,28,75,,20jul15_18may15_PWD_m2_sp1_10.2_rev_19,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,101,4.8415,0.048012,0.49217,3,20,20jul15_18may15_PWD_m2_sp1_10.2_rev_20,1,0,0,,2,50,82,,20jul15_18may15_PWD_m2_sp1_10.2_rev_20,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,89,4.5684,0.051291,0.54005,7,3,20jul15_18may15_PWD_m2_sp1_10.2_rev_3,?,,strange segmentation,,,,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_3,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,49,3.4286,0.069962,0.60838,2,6,20jul15_18may15_PWD_m2_sp1_10.2_rev_6,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_10.2_rev_6,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_10.2_rev,123,10.9271,0.088492,0.52442,6,8,20jul15_18may15_PWD_m2_sp1_10.2_rev_8,1,0,0,,2,23,96,,20jul15_18may15_PWD_m2_sp1_10.2_rev_8,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,87,9.5071,0.10991,0.75461,6,10,20jul15_18may15_PWD_m2_sp1_11_rev_10,1,0,0,,2,23,72,,20jul15_18may15_PWD_m2_sp1_11_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,72,5.9231,0.082059,0.81449,1,12,20jul15_18may15_PWD_m2_sp1_11_rev_12,1,1,1,,1,48,,,20jul15_18may15_PWD_m2_sp1_11_rev_12,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,40,4.4867,0.11168,0.70541,2,13,20jul15_18may15_PWD_m2_sp1_11_rev_13,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,106,6.1263,0.057525,0.7714,3,15,20jul15_18may15_PWD_m2_sp1_11_rev_15,1,0,0,,1,82,,,20jul15_18may15_PWD_m2_sp1_11_rev_15,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,126,4.5304,0.035892,0.73691,2,16,20jul15_18may15_PWD_m2_sp1_11_rev_16,1,0,0,,1,82,,,20jul15_18may15_PWD_m2_sp1_11_rev_16,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,87,6.8772,0.079445,0.73835,3,17,20jul15_18may15_PWD_m2_sp1_11_rev_17,1,0,0,,2,15,81,,20jul15_18may15_PWD_m2_sp1_11_rev_17,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,83,5.2706,0.063799,0.75619,2,18,20jul15_18may15_PWD_m2_sp1_11_rev_18,1,0,0,,1,63,,,20jul15_18may15_PWD_m2_sp1_11_rev_18,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,60,4.974,0.083068,0.86571,4,2,20jul15_18may15_PWD_m2_sp1_11_rev_2,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_2,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,47,5.6739,0.12125,0.74785,2,21,20jul15_18may15_PWD_m2_sp1_11_rev_21,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_21,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,111,6.8575,0.061682,0.64038,4,22,20jul15_18may15_PWD_m2_sp1_11_rev_22,1,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_22,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,108,4.7604,0.044208,0.67702,7,23,20jul15_18may15_PWD_m2_sp1_11_rev_23,1,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_23,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,98,4,0.040979,0.64317,5,26,20jul15_18may15_PWD_m2_sp1_11_rev_26,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_26,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,35,2.8169,0.079421,0.80998,2,3,20jul15_18may15_PWD_m2_sp1_11_rev_3,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_3,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,41,6.1229,0.1507,0.69328,4,30,20jul15_18may15_PWD_m2_sp1_11_rev_30,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_30,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,129,5.4501,0.04218,0.63653,2,36,20jul15_18may15_PWD_m2_sp1_11_rev_36,1,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_36,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,75,7.143,0.094967,0.68506,2,39,20jul15_18may15_PWD_m2_sp1_11_rev_39,1,0,0,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_39,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,31,6.1538,0.19711,0.684,2,40,20jul15_18may15_PWD_m2_sp1_11_rev_40,0,,mulitple cells,,,,,,20jul15_18may15_PWD_m2_sp1_11_rev_40,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,118,3.6923,0.031354,0.81186,7,5,20jul15_18may15_PWD_m2_sp1_11_rev_5,1,0,0,,2,28,85,,20jul15_18may15_PWD_m2_sp1_11_rev_5,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,148,5.2346,0.035376,0.76685,5,6,20jul15_18may15_PWD_m2_sp1_11_rev_6,1,0,0,,2,22,135,,20jul15_18may15_PWD_m2_sp1_11_rev_6,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,84,7.0875,0.084049,0.84274,1,7,20jul15_18may15_PWD_m2_sp1_11_rev_7,1,1,1,,1,59,,,20jul15_18may15_PWD_m2_sp1_11_rev_7,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_11_rev,126,4,0.031855,0.81222,4,8,20jul15_18may15_PWD_m2_sp1_11_rev_8,1,0,0,,2,45,118,,20jul15_18may15_PWD_m2_sp1_11_rev_8,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,89,5.8324,0.065701,0.67814,5,1,20jul15_18may15_PWD_m2_sp1_13_rev_1,1,0,0,,2,17,84,,20jul15_18may15_PWD_m2_sp1_13_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,90,5.2709,0.058856,0.70815,3,10,20jul15_18may15_PWD_m2_sp1_13_rev_10,1,0,0,,2,19,80,,20jul15_18may15_PWD_m2_sp1_13_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,28,2.4615,0.0881,0.66737,4,11,20jul15_18may15_PWD_m2_sp1_13_rev_11,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_13_rev_11,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,111,6.3119,0.057107,0.57828,2,13,20jul15_18may15_PWD_m2_sp1_13_rev_13,1,1,1,,2,56,104,,20jul15_18may15_PWD_m2_sp1_13_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,52,7.5685,0.1469,0.58417,2,15,20jul15_18may15_PWD_m2_sp1_13_rev_15,1,0,0,,1,46,,,20jul15_18may15_PWD_m2_sp1_13_rev_15,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,130,2.3881,0.018301,0.57804,3,16,20jul15_18may15_PWD_m2_sp1_13_rev_16,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_13_rev_16,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,91,3.6364,0.040023,0.60477,7,18,20jul15_18may15_PWD_m2_sp1_13_rev_18,1,0,,,2,28,81,,20jul15_18may15_PWD_m2_sp1_13_rev_18,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,88,7.4854,0.085303,0.56705,8,19,20jul15_18may15_PWD_m2_sp1_13_rev_19,1,0,,,1,36,,,20jul15_18may15_PWD_m2_sp1_13_rev_19,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,60,6.8056,0.11361,0.66639,1,2,20jul15_18may15_PWD_m2_sp1_13_rev_2,1,1,1,,1,49,,,20jul15_18may15_PWD_m2_sp1_13_rev_2,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,62,8.7585,0.14039,0.76024,9,3,20jul15_18may15_PWD_m2_sp1_13_rev_3,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_13_rev_3,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,83,4.2945,0.051984,0.62142,1,4,20jul15_18may15_PWD_m2_sp1_13_rev_4,1,1,1,might be strange twist in the SC,1,58,,,20jul15_18may15_PWD_m2_sp1_13_rev_4,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,112,3.6674,0.032856,0.6567,4,6,20jul15_18may15_PWD_m2_sp1_13_rev_6,1,0,0,,2,21,102,,20jul15_18may15_PWD_m2_sp1_13_rev_6,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,80,4.8466,0.060451,0.71185,2,7,20jul15_18may15_PWD_m2_sp1_13_rev_7,1,1,1,,2,14,77,,20jul15_18may15_PWD_m2_sp1_13_rev_7,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_13_rev,126,4.018,0.032014,0.65241,2,9,20jul15_18may15_PWD_m2_sp1_13_rev_9,1,1,1,,2,40,121,,20jul15_18may15_PWD_m2_sp1_13_rev_9,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,105,5.6943,0.054047,0.44522,2,1,20jul15_18may15_PWD_m2_sp1_14.2_rev_1,1,1,1,,2,18,100,,20jul15_18may15_PWD_m2_sp1_14.2_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,118,4.9072,0.041685,0.46191,2,10,20jul15_18may15_PWD_m2_sp1_14.2_rev_10,1,1,1,,2,36,110,,20jul15_18may15_PWD_m2_sp1_14.2_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,44,1.4493,0.033142,0.43556,1,13,20jul15_18may15_PWD_m2_sp1_14.2_rev_13,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_14.2_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,123,7.0123,0.056836,0.46904,2,2,20jul15_18may15_PWD_m2_sp1_14.2_rev_2,1,1,1,,2,56,110,,20jul15_18may15_PWD_m2_sp1_14.2_rev_2,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,133,10.8684,0.081554,0.43601,2,4,20jul15_18may15_PWD_m2_sp1_14.2_rev_4,1,1,1,,2,32,111,,20jul15_18may15_PWD_m2_sp1_14.2_rev_4,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,110,4.847,0.044095,0.48919,3,5,20jul15_18may15_PWD_m2_sp1_14.2_rev_5,1,0,0,,2,38,95,,20jul15_18may15_PWD_m2_sp1_14.2_rev_5,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,63,5.533,0.087232,0.48605,3,6,20jul15_18may15_PWD_m2_sp1_14.2_rev_6,1,0,0,,1,28,,,20jul15_18may15_PWD_m2_sp1_14.2_rev_6,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_14.2_rev,67,4.6284,0.069267,0.49336,1,9,20jul15_18may15_PWD_m2_sp1_14.2_rev_9,1,1,1,,1,38,,,20jul15_18may15_PWD_m2_sp1_14.2_rev_9,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,85,4.4245,0.052202,0.6863,3,1,20jul15_18may15_PWD_m2_sp1_15.1_rev_1,,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,114,4.4401,0.038966,0.70293,7,10,20jul15_18may15_PWD_m2_sp1_15.1_rev_10,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,97,4.2254,0.043504,0.68354,5,13,20jul15_18may15_PWD_m2_sp1_15.1_rev_13,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,126,3.8904,0.030782,0.6142,7,15,20jul15_18may15_PWD_m2_sp1_15.1_rev_15,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_15,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,80,10.0881,0.12643,0.69107,9,16,20jul15_18may15_PWD_m2_sp1_15.1_rev_16,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_16,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,103,3.662,0.035604,0.68816,7,17,20jul15_18may15_PWD_m2_sp1_15.1_rev_17,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_17,18may15_PWD_m2,PWD male,PWD,male,Musc
