fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,mouse,strain,sex,category
20jul15_18may15_PWD_m1_sp1_15_rev,3.9922,0.14259,0.78127,28,2,10,20jul15_18may15_PWD_m1_sp1_15_rev_10,0,,,"2 cells, but still some good segmentation",,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,5.8421,0.05188,0.82407,113,4,12,20jul15_18may15_PWD_m1_sp1_15_rev_12,1,0,,,2,11,107,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,7.0894,0.095681,0.81661,74,3,13,20jul15_18may15_PWD_m1_sp1_15_rev_13,1,0,,,1,18,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,7.1671,0.078106,0.80645,92,3,14,20jul15_18may15_PWD_m1_sp1_15_rev_14,1,0,,,2,17,82,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,4.5472,0.051795,0.80596,88,2,15,20jul15_18may15_PWD_m1_sp1_15_rev_15,1,1,,,2,28,76,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,6.5879,0.12502,0.79077,53,2,16,20jul15_18may15_PWD_m1_sp1_15_rev_16,1,0,,,1,26,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,3.871,0.050481,0.73117,77,6,17,20jul15_18may15_PWD_m1_sp1_15_rev_17,1,0,,,2,15,75,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,3.7811,0.049094,0.70877,77,1,18,20jul15_18may15_PWD_m1_sp1_15_rev_18,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,6.5728,0.097865,0.71299,67,3,19,20jul15_18may15_PWD_m1_sp1_15_rev_19,1,0,,,1,54,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,5.4438,0.057307,0.82418,95,4,2,20jul15_18may15_PWD_m1_sp1_15_rev_2,1,0,,,2,13,90,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,4.8455,0.076196,0.73931,64,2,20,20jul15_18may15_PWD_m1_sp1_15_rev_20,1,0,,,1,56,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,6.1513,0.10631,0.77622,58,5,22,20jul15_18may15_PWD_m1_sp1_15_rev_22,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,4.3866,0.046944,0.66677,93,4,23,20jul15_18may15_PWD_m1_sp1_15_rev_23,1,0,,,2,17,90,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,14.6269,0.1558,0.66096,94,4,24,20jul15_18may15_PWD_m1_sp1_15_rev_24,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,3.2923,0.056496,0.75798,58,3,27,20jul15_18may15_PWD_m1_sp1_15_rev_27,1,0,,,1,47,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_15_rev,7.9758,0.12999,0.6088,61,3,29,20jul15_18may15_PWD_m1_sp1_15_rev_29,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
