fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,foci_ABS_Position_1,mouse,strain,sex,category,Obj.ID
26jan18_11jan18_KAZ_m3_sp1_1_rev,62,3.6923,0.059512,0.7225,1,1,26jan18_11jan18_KAZ_m3_sp1_1_rev_1,1,1,1,multi cell,1,47,,,47,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_1
26jan18_11jan18_KAZ_m3_sp1_1_rev,139,9.5348,0.068785,0.67653,12,10,26jan18_11jan18_KAZ_m3_sp1_1_rev_10,0,,,,,,,,0,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_10
26jan18_11jan18_KAZ_m3_sp1_1_rev,114,8.0473,0.070877,0.55236,3,11,26jan18_11jan18_KAZ_m3_sp1_1_rev_11,1,0,0,,1,68,,,68,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_11
26jan18_11jan18_KAZ_m3_sp1_1_rev,88,2.7273,0.03114,0.58557,2,12,26jan18_11jan18_KAZ_m3_sp1_1_rev_12,1,0,0,,1,68,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_12
26jan18_11jan18_KAZ_m3_sp1_1_rev,81,6.4098,0.079057,0.56755,4,13,26jan18_11jan18_KAZ_m3_sp1_1_rev_13,1,0,0,,1,72,,,6,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_13
26jan18_11jan18_KAZ_m3_sp1_1_rev,94,4.8036,0.051078,0.5717,2,14,26jan18_11jan18_KAZ_m3_sp1_1_rev_14,1,0,0,,1,25,,,11,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_14
26jan18_11jan18_KAZ_m3_sp1_1_rev,58,2.5806,0.044306,0.6513,2,15,26jan18_11jan18_KAZ_m3_sp1_1_rev_15,1,0,0,,1,45,,,38,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_15
26jan18_11jan18_KAZ_m3_sp1_1_rev,77,4.1938,0.05453,0.43387,2,18,26jan18_11jan18_KAZ_m3_sp1_1_rev_18,1,0,0,,1,24,,,5,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_18
26jan18_11jan18_KAZ_m3_sp1_1_rev,81,4.9459,0.060954,0.7028,2,2,26jan18_11jan18_KAZ_m3_sp1_1_rev_2,1,0,0,,1,75,,,9,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_2
26jan18_11jan18_KAZ_m3_sp1_1_rev,76,3.9751,0.052514,0.52336,4,20,26jan18_11jan18_KAZ_m3_sp1_1_rev_20,1,,,,,,,,19,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_20
26jan18_11jan18_KAZ_m3_sp1_1_rev,52,5.0965,0.098418,0.45871,1,21,26jan18_11jan18_KAZ_m3_sp1_1_rev_21,1,1,1,,1,35,,,35,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_21
26jan18_11jan18_KAZ_m3_sp1_1_rev,64,4.438,0.068998,0.59511,4,25,26jan18_11jan18_KAZ_m3_sp1_1_rev_25,1,,,,,,,,35,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_25
26jan18_11jan18_KAZ_m3_sp1_1_rev,86,2.8249,0.032772,0.47573,6,26,26jan18_11jan18_KAZ_m3_sp1_1_rev_26,1,0,0,,2,28,73,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_26
26jan18_11jan18_KAZ_m3_sp1_1_rev,96,6.1813,0.064154,0.45404,5,28,26jan18_11jan18_KAZ_m3_sp1_1_rev_28,1,,,,,,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_28
26jan18_11jan18_KAZ_m3_sp1_1_rev,76,4.5428,0.059607,0.62322,5,29,26jan18_11jan18_KAZ_m3_sp1_1_rev_29,1,0,0,,0,,,,0,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_29
26jan18_11jan18_KAZ_m3_sp1_1_rev,111,3.5413,0.032013,0.65853,4,3,26jan18_11jan18_KAZ_m3_sp1_1_rev_3,1,0,0,,2,38,86,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_3
26jan18_11jan18_KAZ_m3_sp1_1_rev,60,2.3529,0.039323,0.52413,4,30,26jan18_11jan18_KAZ_m3_sp1_1_rev_30,0,,,,,,,,6,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_30
26jan18_11jan18_KAZ_m3_sp1_1_rev,56,2.8986,0.051662,0.44743,1,32,26jan18_11jan18_KAZ_m3_sp1_1_rev_32,1,,,,,,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_32
26jan18_11jan18_KAZ_m3_sp1_1_rev,78,5.767,0.073466,0.54232,3,33,26jan18_11jan18_KAZ_m3_sp1_1_rev_33,1,0,0,,2,2,74,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_33
