fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1.pos,Foci2.pos,Foci3.pos,mouse,strain,sex,category
5jun18_21may18_KAZ_m2_sp1_1_rev,89,3.3846,0.037828,0.61249,6,1,5jun18_21may18_KAZ_m2_sp1_1_rev_1,1,0,,,1,75,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,87,6.4766,0.074736,0.5853,2,10,5jun18_21may18_KAZ_m2_sp1_1_rev_10,1,0,,,1,64,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,74,5.5136,0.074425,0.57683,3,11,5jun18_21may18_KAZ_m2_sp1_1_rev_11,1,,,(foci pretty faint),,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,97,4.1791,0.043114,0.59334,1,12,5jun18_21may18_KAZ_m2_sp1_1_rev_12,1,1,,,1,28,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,62,10.2012,0.16523,0.60584,4,13,5jun18_21may18_KAZ_m2_sp1_1_rev_13,0,,X,XY merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,91,3.8806,0.042808,0.57523,5,14,5jun18_21may18_KAZ_m2_sp1_1_rev_14,1,0,,,1,39,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,52,4.7216,0.091659,0.58696,3,15,5jun18_21may18_KAZ_m2_sp1_1_rev_15,1,0,,,1,42,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,47,2.6866,0.057133,0.57863,3,16,5jun18_21may18_KAZ_m2_sp1_1_rev_16,1,0,,foci very faint,1,32,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,79,4.2757,0.054255,0.56464,1,17,5jun18_21may18_KAZ_m2_sp1_1_rev_17,1,1,,,1,73,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,80,2.8169,0.035022,0.61688,3,2,5jun18_21may18_KAZ_m2_sp1_1_rev_2,1,0,,,1,70,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,77,3.4783,0.045327,0.61141,2,3,5jun18_21may18_KAZ_m2_sp1_1_rev_3,1,1,,,2,29,70,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,71,3.9441,0.055691,0.61873,1,4,5jun18_21may18_KAZ_m2_sp1_1_rev_4,1,1,,,1,54,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_1_rev,73,6.5125,0.089401,0.61911,3,5,5jun18_21may18_KAZ_m2_sp1_1_rev_5,1,0,,two foci very close together,2,14,20,,21may18_KAZ_m2,KAZ,male,KAZ male
