fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,obj_ID,SC.pass,foci.pass,curated.1pass.0fail,curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
10jun15_24mar15_G_m1_sp1_1_rev,72,3.0495,0.042493,1,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,98,1.6901,0.017321,10,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,81,3.4882,0.042929,11,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,56,3.2639,0.057946,12,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,78,3.8644,0.049781,15,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,71,3.0966,0.043672,16,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,64,1.8182,0.028247,17,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,94,6.424,0.068667,2,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,95,6.3208,0.06668,3,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,100,3.3314,0.03326,4,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,78,6.34,0.081433,7,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,79,2.5879,0.032924,8,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_1_rev,89,2.503,0.028267,9,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,84,5.1596,0.06155,1,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,79,3.9789,0.050129,11,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,68,4.2422,0.062044,13,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,59,4.4832,0.075479,2,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,85,4.8412,0.056852,3,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,54,4.4755,0.083265,4,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,61,4.0037,0.065913,5,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,73,4.2153,0.057598,7,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,73,3.7106,0.05092,8,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_10_rev,72,5.1138,0.070922,9,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,78,3.1604,0.04051,1,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,93,3.0637,0.033113,10,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,58,9.0285,0.15505,11,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,61,3.7341,0.061394,13,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,71,4.3775,0.061312,14,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,69,2.8907,0.041953,15,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,87,4.5655,0.052237,3,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,58,3.8356,0.065668,4,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,98,4.4902,0.045589,5,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,75,1.791,0.023939,6,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_11_rev,165,2.6923,0.016341,8,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,69,4.9207,0.071715,1,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,122,1.8182,0.014904,10,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,92,4.1774,0.045387,11,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,82,2.9925,0.036628,2,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,95,4.9026,0.051862,3,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,81,4.0929,0.050612,4,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,93,4.4232,0.047434,5,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,58,3.9706,0.068222,6,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,78,2.1875,0.028196,7,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_12_rev,84,2.3529,0.028134,9,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,62,3.2107,0.051968,1,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,72,5.7452,0.079385,10,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,81,10.9959,0.13657,11,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,115,2.4242,0.021008,12,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,100,3.6341,0.036163,13,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,61,4.975,0.082066,3,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,97,2.9412,0.030279,5,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,69,2.9239,0.042181,6,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,119,2.9412,0.024801,7,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,132,3.8303,0.029121,8,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_13_rev,91,2.9412,0.03245,9,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_14_rev,49,2.864,0.057983,1,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_14_rev,85,4.7906,0.056674,11,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_14_rev,76,3.3128,0.043847,12,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_14_rev,78,4.1325,0.053157,13,,,,,,,,,,
10jun15_24mar15_G_m1_sp1_14_rev,54,2.3529,0.043785,14,,,,,,,,,,
