fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated.1pass.0fail,curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
21nov17_16nov17_MSM_f3_sp1_10_rev,74,13.3858,0.1807,18,21nov17_16nov17_MSM_f3_sp1_10_rev_18,0,,,,,,,,bad segmentation
21nov17_16nov17_MSM_f3_sp1_10_rev,70,3.2836,0.047041,4,21nov17_16nov17_MSM_f3_sp1_10_rev_4,0,,,,,,,,strange bend
21nov17_16nov17_MSM_f3_sp1_12_rev,99,3.2475,0.032738,14,21nov17_16nov17_MSM_f3_sp1_12_rev_14,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_12_rev,87,4.0278,0.046073,7,21nov17_16nov17_MSM_f3_sp1_12_rev_7,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_12_rev,77,3.6542,0.047499,8,21nov17_16nov17_MSM_f3_sp1_12_rev_8,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_12_rev,136,4.1312,0.030375,9,21nov17_16nov17_MSM_f3_sp1_12_rev_9,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_14_rev,35,5.1552,0.1478,1,21nov17_16nov17_MSM_f3_sp1_14_rev_1,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_15.2_rev,138,3.75,0.027249,16,21nov17_16nov17_MSM_f3_sp1_15.2_rev_16,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_15.2_rev,80,6.0932,0.076396,17,21nov17_16nov17_MSM_f3_sp1_15.2_rev_17,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_15.2_rev,99,4.9645,0.050185,2,21nov17_16nov17_MSM_f3_sp1_15.2_rev_2,0,,,,,,,,
21nov17_16nov17_MSM_f3_sp1_15.2_rev,136,24.1981,0.17795,20,21nov17_16nov17_MSM_f3_sp1_15.2_rev_20,0,,,,,,,,
