fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated.1pass.0fail,curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
29nov16_13nov16_MSM_m2_sp1_1_rev,120,3.5892,0.029892,1,29nov16_13nov16_MSM_m2_sp1_1_rev_1,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_1_rev,88,8.7673,0.099618,2,29nov16_13nov16_MSM_m2_sp1_1_rev_2,1,1,1,,2,24,81,,
29nov16_13nov16_MSM_m2_sp1_1_rev,89,4.8546,0.054587,4,29nov16_13nov16_MSM_m2_sp1_1_rev_4,1,0,,,1,64,,,foci doesn't overlap
29nov16_13nov16_MSM_m2_sp1_1_rev,134,21.533,0.1603,6,29nov16_13nov16_MSM_m2_sp1_1_rev_6,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_11_rev,64,6.3801,0.099561,2,29nov16_13nov16_MSM_m2_sp1_11_rev_2,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_11_rev,95,3.6327,0.038345,5,29nov16_13nov16_MSM_m2_sp1_11_rev_5,1,0,0,,2,40,89,,
29nov16_13nov16_MSM_m2_sp1_11_rev,87,7.5964,0.087271,7,29nov16_13nov16_MSM_m2_sp1_11_rev_7,1,1,1,,1,60,,,
29nov16_13nov16_MSM_m2_sp1_12_rev,54,5.2773,0.098516,2,29nov16_13nov16_MSM_m2_sp1_12_rev_2,1,1,1,,1,45,,,
29nov16_13nov16_MSM_m2_sp1_12_rev,106,6.574,0.061946,4,29nov16_13nov16_MSM_m2_sp1_12_rev_4,1,0,0,,1,59,,,
29nov16_13nov16_MSM_m2_sp1_12_rev,107,6.1424,0.057357,5,29nov16_13nov16_MSM_m2_sp1_12_rev_5,1,0,0,,1,90,,,
29nov16_13nov16_MSM_m2_sp1_12_rev,107,7.0423,0.065854,7,29nov16_13nov16_MSM_m2_sp1_12_rev_7,1,1,1,,2,18,84,,
29nov16_13nov16_MSM_m2_sp1_12_rev,85,7.8634,0.09261,8,29nov16_13nov16_MSM_m2_sp1_12_rev_8,1,1,1,,1,50,,,
29nov16_13nov16_MSM_m2_sp1_13_rev,68,3.8808,0.057045,3,29nov16_13nov16_MSM_m2_sp1_13_rev_3,1,1,1,,1,27,,,
29nov16_13nov16_MSM_m2_sp1_13_rev,85,9.351,0.11043,5,29nov16_13nov16_MSM_m2_sp1_13_rev_5,1,0,0,,2,28,73,,
29nov16_13nov16_MSM_m2_sp1_13_rev,79,7.1771,0.091097,6,29nov16_13nov16_MSM_m2_sp1_13_rev_6,1,0,0,,1,64,,,faint foci near centromere
29nov16_13nov16_MSM_m2_sp1_13_rev,64,3.4862,0.05443,7,29nov16_13nov16_MSM_m2_sp1_13_rev_7,1,1,1,,2,14,55,,
29nov16_13nov16_MSM_m2_sp1_13_rev,116,4.149,0.035657,8,29nov16_13nov16_MSM_m2_sp1_13_rev_8,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_13_rev,55,4.9277,0.090307,9,29nov16_13nov16_MSM_m2_sp1_13_rev_9,1,1,1,,1,48,,,
29nov16_13nov16_MSM_m2_sp1_14_rev,53,3.8235,0.071797,4,29nov16_13nov16_MSM_m2_sp1_14_rev_4,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_14_rev,76,4.8175,0.06362,5,29nov16_13nov16_MSM_m2_sp1_14_rev_5,1,0,0,,2,16,47,,
29nov16_13nov16_MSM_m2_sp1_14_rev,100,5.2684,0.052473,8,29nov16_13nov16_MSM_m2_sp1_14_rev_8,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_17_rev,79,5.9493,0.074855,1,29nov16_13nov16_MSM_m2_sp1_17_rev_1,1,1,1,,1,66,,,
29nov16_13nov16_MSM_m2_sp1_17_rev,94,4.4039,0.04662,3,29nov16_13nov16_MSM_m2_sp1_17_rev_3,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_17_rev,132,4.3077,0.032581,4,29nov16_13nov16_MSM_m2_sp1_17_rev_4,0,,,,,,,,
29nov16_13nov16_MSM_m2_sp1_17_rev,64,11.9092,0.18682,5,29nov16_13nov16_MSM_m2_sp1_17_rev_5,0,,,,,,,,
