fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,
27mar16_6mar16_PWD_m1_sp1_1_rev,68,2.8571,0.041717,1,27mar16_6mar16_PWD_m1_sp1_1_rev_1,1,0,0,,1,57,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,65,5.7334,0.087616,10,27mar16_6mar16_PWD_m1_sp1_1_rev_10,1,0,0,,1,48,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,52,6.0549,0.11739,12,27mar16_6mar16_PWD_m1_sp1_1_rev_12,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,113,8.7135,0.077364,15,27mar16_6mar16_PWD_m1_sp1_1_rev_15,1,1,1,,2,47,110,,
27mar16_6mar16_PWD_m1_sp1_1_rev,90,4.2351,0.046992,16,27mar16_6mar16_PWD_m1_sp1_1_rev_16,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,70,1.8462,0.026346,4,27mar16_6mar16_PWD_m1_sp1_1_rev_4,1,0,0,,1,40,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,118,4.5376,0.038585,5,27mar16_6mar16_PWD_m1_sp1_1_rev_5,1,0,,,2,23,110,,
27mar16_6mar16_PWD_m1_sp1_1_rev,128,4.5963,0.036006,6,27mar16_6mar16_PWD_m1_sp1_1_rev_6,1,0,,,2,42,125,,
27mar16_6mar16_PWD_m1_sp1_1_rev,84,2.8125,0.033443,7,27mar16_6mar16_PWD_m1_sp1_1_rev_7,0,,,kink might make bad SC estimate,,,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,46,3.7736,0.08223,8,27mar16_6mar16_PWD_m1_sp1_1_rev_8,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_1_rev,92,5.0578,0.054921,9,27mar16_6mar16_PWD_m1_sp1_1_rev_9,0,,,,,,,,
