fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber.y,Obj.ID,SC.pass,foci.pass,curated.1pass.0fail,curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
10jun19_31may19_SKIVE_f6_sp1_1_rev,121,12.6272,0.10437,10,10jun19_31may19_SKIVE_f6_sp1_1_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,127,5.4882,0.043077,11,10jun19_31may19_SKIVE_f6_sp1_1_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,101,4.0829,0.040434,13,10jun19_31may19_SKIVE_f6_sp1_1_rev_13,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,130,3.9785,0.030553,14,10jun19_31may19_SKIVE_f6_sp1_1_rev_14,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,180,2.0588,0.011446,15,10jun19_31may19_SKIVE_f6_sp1_1_rev_15,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,64,6.4055,0.099517,16,10jun19_31may19_SKIVE_f6_sp1_1_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,91,0.32258,0.0035557,17,10jun19_31may19_SKIVE_f6_sp1_1_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,47,3.5337,0.075443,20,10jun19_31may19_SKIVE_f6_sp1_1_rev_20,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,135,1.8182,0.013514,22,10jun19_31may19_SKIVE_f6_sp1_1_rev_22,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,175,4.4118,0.025186,5,10jun19_31may19_SKIVE_f6_sp1_1_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,69,0.60606,0.0087751,6,10jun19_31may19_SKIVE_f6_sp1_1_rev_6,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,145,13.0924,0.090454,8,10jun19_31may19_SKIVE_f6_sp1_1_rev_8,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_1_rev,82,2.3881,0.029223,9,10jun19_31may19_SKIVE_f6_sp1_1_rev_9,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,86,8.5292,0.098631,13,10jun19_31may19_SKIVE_f6_sp1_10_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,88,2.3188,0.026215,14,10jun19_31may19_SKIVE_f6_sp1_10_rev_14,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,46,4.5701,0.099853,15,10jun19_31may19_SKIVE_f6_sp1_10_rev_15,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,64,2.2857,0.035456,5,10jun19_31may19_SKIVE_f6_sp1_10_rev_5,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,93,5.9662,0.064481,1,10jun19_31may19_SKIVE_f6_sp1_10_rev_1,1,1,,,2,16,85,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,130,3.0556,0.023422,10,10jun19_31may19_SKIVE_f6_sp1_10_rev_10,1,0,,,1,78,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,106,2.0588,0.019366,11,10jun19_31may19_SKIVE_f6_sp1_10_rev_11,1,0,,,1,33,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,86,5.2108,0.060363,12,10jun19_31may19_SKIVE_f6_sp1_10_rev_12,1,1,,,1,52,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,79,5.6509,0.071255,16,10jun19_31may19_SKIVE_f6_sp1_10_rev_16,1,0,,,1,42,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,111,3.0769,0.027838,17,10jun19_31may19_SKIVE_f6_sp1_10_rev_17,1,0,,,1,55,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,105,1.791,0.017032,18,10jun19_31may19_SKIVE_f6_sp1_10_rev_18,1,0,,,1,84,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,98,3.2787,0.033323,19,10jun19_31may19_SKIVE_f6_sp1_10_rev_19,1,1,,,1,28,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,122,2.9851,0.024382,2,10jun19_31may19_SKIVE_f6_sp1_10_rev_2,1,0,,,1,90,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,62,6.8917,0.11143,20,10jun19_31may19_SKIVE_f6_sp1_10_rev_20,1,1,,,1,43,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,73,3.0303,0.041788,22,10jun19_31may19_SKIVE_f6_sp1_10_rev_22,1,0,,,1,44,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,158,7.2763,0.045985,4,10jun19_31may19_SKIVE_f6_sp1_10_rev_4,1,0,,,1,75,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,95,2.5,0.026179,7,10jun19_31may19_SKIVE_f6_sp1_10_rev_7,1,1,,,1,43,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,116,3.7351,0.032302,8,10jun19_31may19_SKIVE_f6_sp1_10_rev_8,1,0,,,2,55,114,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,82,4.5098,0.054718,9,10jun19_31may19_SKIVE_f6_sp1_10_rev_9,1,0,,,1,23,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,104,3.2926,0.031608,1,10jun19_31may19_SKIVE_f6_sp1_11_rev_1,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,36,9.51,0.26629,10,10jun19_31may19_SKIVE_f6_sp1_11_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,51,19.4554,0.3836,12,10jun19_31may19_SKIVE_f6_sp1_11_rev_12,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,128,3.4783,0.027218,15,10jun19_31may19_SKIVE_f6_sp1_11_rev_15,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,135,4.7328,0.03515,16,10jun19_31may19_SKIVE_f6_sp1_11_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,103,3.2909,0.031926,17,10jun19_31may19_SKIVE_f6_sp1_11_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,174,4.3424,0.025012,2,10jun19_31may19_SKIVE_f6_sp1_11_rev_2,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,107,3.1529,0.029403,20,10jun19_31may19_SKIVE_f6_sp1_11_rev_20,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,58,3.5196,0.060304,21,10jun19_31may19_SKIVE_f6_sp1_11_rev_21,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,135,5.3074,0.039234,4,10jun19_31may19_SKIVE_f6_sp1_11_rev_4,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,27,2.3881,0.088772,5,10jun19_31may19_SKIVE_f6_sp1_11_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,170,43.9086,0.25801,8,10jun19_31may19_SKIVE_f6_sp1_11_rev_8,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_11_rev,82,5.5409,0.067637,9,10jun19_31may19_SKIVE_f6_sp1_11_rev_9,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,94,3.9469,0.042145,1,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_1,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,154,4.457,0.029028,10,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,123,2.5,0.020279,14,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_14,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,111,1.9048,0.017237,16,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,121,3.8488,0.031928,17,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,105,10.2489,0.097605,18,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_18,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,70,3.2427,0.046569,19,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_19,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,165,3.4813,0.021072,2,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_2,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,75,12.5119,0.16783,3,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_3,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,202,3.2787,0.016257,5,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,121,3.4601,0.028574,6,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_6,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,101,2.3529,0.023286,7,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_7,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.1_rev,50,15.5163,0.31212,8,10jun19_31may19_SKIVE_f6_sp1_13.1_rev_8,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,116,3.6575,0.031434,1,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_1,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,114,4.0932,0.036052,10,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,161,2.7893,0.017368,11,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,133,2.4722,0.018572,13,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_13,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,130,1.8182,0.014021,14,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_14,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,118,1.9718,0.016726,16,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,26,7.2517,0.27444,17,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,150,2.9944,0.019917,18,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_18,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,56,3.8995,0.06922,19,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_19,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,85,2.5397,0.029806,2,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_2,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,26,12.4545,0.48728,20,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_20,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,68,2.3881,0.034881,22,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_22,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,64,21.4532,0.33693,23,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_23,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,119,4.4074,0.036886,24,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_24,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,112,3.4351,0.030575,3,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_3,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,56,26.3129,0.47191,4,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_4,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,137,6.7282,0.04911,5,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,75,5.9783,0.079288,6,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_6,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,149,4.2337,0.028377,7,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_7,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,112,3.0191,0.026868,8,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_8,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13.2_rev,73,4.1499,0.056786,9,10jun19_31may19_SKIVE_f6_sp1_13.2_rev_9,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,94,4.1504,0.044365,1,10jun19_31may19_SKIVE_f6_sp1_13_rev_1,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,154,3.7778,0.024573,11,10jun19_31may19_SKIVE_f6_sp1_13_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,123,3.2512,0.026372,16,10jun19_31may19_SKIVE_f6_sp1_13_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,85,2.2222,0.026099,17,10jun19_31may19_SKIVE_f6_sp1_13_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,111,3.4047,0.030541,18,10jun19_31may19_SKIVE_f6_sp1_13_rev_18,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,165,3.9943,0.024254,2,10jun19_31may19_SKIVE_f6_sp1_13_rev_2,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,110,1.9048,0.017258,20,10jun19_31may19_SKIVE_f6_sp1_13_rev_20,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,56,26.5266,0.47476,21,10jun19_31may19_SKIVE_f6_sp1_13_rev_21,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,138,7.1274,0.051687,22,10jun19_31may19_SKIVE_f6_sp1_13_rev_22,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,76,5.9798,0.078763,23,10jun19_31may19_SKIVE_f6_sp1_13_rev_23,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,149,4.3732,0.029284,24,10jun19_31may19_SKIVE_f6_sp1_13_rev_24,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,112,3.0647,0.027325,25,10jun19_31may19_SKIVE_f6_sp1_13_rev_25,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,73,4.5008,0.061877,26,10jun19_31may19_SKIVE_f6_sp1_13_rev_26,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,121,3.499,0.028965,27,10jun19_31may19_SKIVE_f6_sp1_13_rev_27,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,161,3.4611,0.021556,29,10jun19_31may19_SKIVE_f6_sp1_13_rev_29,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,53,19.6181,0.37224,3,10jun19_31may19_SKIVE_f6_sp1_13_rev_3,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,65,6.2903,0.096919,31,10jun19_31may19_SKIVE_f6_sp1_13_rev_31,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,69,3.1975,0.046162,32,10jun19_31may19_SKIVE_f6_sp1_13_rev_32,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,133,2.4722,0.018573,33,10jun19_31may19_SKIVE_f6_sp1_13_rev_33,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,130,1.8182,0.014022,34,10jun19_31may19_SKIVE_f6_sp1_13_rev_34,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,118,1.6901,0.014341,36,10jun19_31may19_SKIVE_f6_sp1_13_rev_36,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,151,2.9111,0.019322,37,10jun19_31may19_SKIVE_f6_sp1_13_rev_37,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,64,5.8824,0.091561,40,10jun19_31may19_SKIVE_f6_sp1_13_rev_40,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,69,10.4478,0.15165,41,10jun19_31may19_SKIVE_f6_sp1_13_rev_41,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,120,3.6445,0.030493,42,10jun19_31may19_SKIVE_f6_sp1_13_rev_42,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,64,19.8415,0.31007,43,10jun19_31may19_SKIVE_f6_sp1_13_rev_43,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,202,3.1239,0.015462,5,10jun19_31may19_SKIVE_f6_sp1_13_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,121,3.4666,0.02875,6,10jun19_31may19_SKIVE_f6_sp1_13_rev_6,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_13_rev,49,14.9079,0.30171,9,10jun19_31may19_SKIVE_f6_sp1_13_rev_9,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,92,4.4351,0.048337,1,10jun19_31may19_SKIVE_f6_sp1_14_rev_1,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,37,10.2489,0.28063,10,10jun19_31may19_SKIVE_f6_sp1_14_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,88,5.4493,0.061638,11,10jun19_31may19_SKIVE_f6_sp1_14_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,74,3.3846,0.045577,12,10jun19_31may19_SKIVE_f6_sp1_14_rev_12,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,84,2,0.023766,13,10jun19_31may19_SKIVE_f6_sp1_14_rev_13,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,71,1.4706,0.020856,14,10jun19_31may19_SKIVE_f6_sp1_14_rev_14,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,62,2.5714,0.041207,15,10jun19_31may19_SKIVE_f6_sp1_14_rev_15,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,81,1.5873,0.019666,16,10jun19_31may19_SKIVE_f6_sp1_14_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,123,2.3188,0.018845,17,10jun19_31may19_SKIVE_f6_sp1_14_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,81,2.6471,0.03272,18,10jun19_31may19_SKIVE_f6_sp1_14_rev_18,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,77,4.3333,0.056503,2,10jun19_31may19_SKIVE_f6_sp1_14_rev_2,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,81,3.9888,0.048981,20,10jun19_31may19_SKIVE_f6_sp1_14_rev_20,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,68,7.1819,0.10623,21,10jun19_31may19_SKIVE_f6_sp1_14_rev_21,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,44,4.5052,0.10264,22,10jun19_31may19_SKIVE_f6_sp1_14_rev_22,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,65,4.3847,0.067922,3,10jun19_31may19_SKIVE_f6_sp1_14_rev_3,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,62,4.8769,0.078437,4,10jun19_31may19_SKIVE_f6_sp1_14_rev_4,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,72,34.0911,0.47626,5,10jun19_31may19_SKIVE_f6_sp1_14_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,77,6.873,0.088906,6,10jun19_31may19_SKIVE_f6_sp1_14_rev_6,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,80,4.2424,0.052976,7,10jun19_31may19_SKIVE_f6_sp1_14_rev_7,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,62,5.273,0.085711,8,10jun19_31may19_SKIVE_f6_sp1_14_rev_8,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_14_rev,76,6.966,0.092221,9,10jun19_31may19_SKIVE_f6_sp1_14_rev_9,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,88,1.1329,0.012819,13,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,88,1.1329,0.012819,13,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,25,12.4161,0.5057,4,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_4,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,125,2.2857,0.018215,12,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_12,1,0,,,2,29,97,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,103,2.5352,0.024505,17,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_17,1,1,,,1,66,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,135,2.7692,0.02058,18,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_18,1,0,,,3,36,71,117,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,209,6.9457,0.033278,2,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_2,1,1,,,2,90,185,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,127,0.30303,0.0023861,9,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_9,1,1,,,2,39,113,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,42,1.3699,0.032821,10,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,34,3.4147,0.10076,11,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,211,6.4615,0.030618,15,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_15,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,101,4.601,0.04552,16,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,70,2.9078,0.041395,5,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,109,47.7149,0.4368,10,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,115,6.1712,0.053772,11,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,31,6.3767,0.20874,12,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_12,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,84,3.0242,0.036047,14,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_14,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,123,3.1264,0.025409,16,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_16,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,42,3.6769,0.087353,17,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_17,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,51,4.7492,0.094008,18,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_18,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,76,30.4774,0.40218,19,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_19,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,134,1.8462,0.013816,2,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_2,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,56,3.5547,0.06372,20,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_20,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,60,3.0303,0.050756,21,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_21,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,109,5.1837,0.047606,22,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_22,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,78,5.0783,0.064864,23,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_23,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,51,8.053,0.15667,3,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_3,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,28,10.408,0.37818,4,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_4,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,78,3.729,0.047858,5,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_5,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,38,3.0986,0.081961,6,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_6,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,81,5.2285,0.064511,7,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_7,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.2_rev,46,2.1875,0.047636,9,10jun19_31may19_SKIVE_f6_sp1_16.2_rev_9,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,37,16.1972,0.44274,1,10jun19_31may19_SKIVE_f6_sp1_16_rev_1,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,249,1.6438,0.0066055,10,10jun19_31may19_SKIVE_f6_sp1_16_rev_10,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,127,0.30303,0.0023833,11,10jun19_31may19_SKIVE_f6_sp1_16_rev_11,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,42,1.0959,0.026241,12,10jun19_31may19_SKIVE_f6_sp1_16_rev_12,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,34,4.0474,0.11798,13,10jun19_31may19_SKIVE_f6_sp1_16_rev_13,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,126,2,0.015879,14,10jun19_31may19_SKIVE_f6_sp1_16_rev_14,,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16_rev,89,0.83841,0.0094491,15,10jun19_31may19_SKIVE_f6_sp1_16_rev_15,,,,,,,,,
