fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated.1pass.0fail,curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
10apr15_31mar15_WSB_m1_sp1_1_rev,58,2.5806,0.044424,1,10apr15_31mar15_WSB_m1_sp1_1_rev_1,1,0,,,1,55,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,61,1.4925,0.024384,10,10apr15_31mar15_WSB_m1_sp1_1_rev_10,1,1,,,1,54,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,90,4.6892,0.052077,12,10apr15_31mar15_WSB_m1_sp1_1_rev_12,1,1,,,2,36,76,,
10apr15_31mar15_WSB_m1_sp1_1_rev,54,2.3529,0.043229,13,10apr15_31mar15_WSB_m1_sp1_1_rev_13,1,1,,,1,36,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,47,3.581,0.075448,15,10apr15_31mar15_WSB_m1_sp1_1_rev_15,1,1,,,1,42,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,84,3.5052,0.041629,17,10apr15_31mar15_WSB_m1_sp1_1_rev_17,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,55,3.7052,0.066895,19,10apr15_31mar15_WSB_m1_sp1_1_rev_19,1,1,,,1,45,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,90,2.623,0.029176,2,10apr15_31mar15_WSB_m1_sp1_1_rev_2,1,1,,,2,23,82,,
10apr15_31mar15_WSB_m1_sp1_1_rev,63,4.4196,0.070586,20,10apr15_31mar15_WSB_m1_sp1_1_rev_20,1,1,,,1,56,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,56,5.0645,0.08967,21,10apr15_31mar15_WSB_m1_sp1_1_rev_21,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,39,1.9048,0.049379,3,10apr15_31mar15_WSB_m1_sp1_1_rev_3,1,1,,,1,33,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,69,4.7875,0.06923,4,10apr15_31mar15_WSB_m1_sp1_1_rev_4,1,1,,,1,35,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,51,3.7529,0.073761,5,10apr15_31mar15_WSB_m1_sp1_1_rev_5,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,78,0.84507,0.010816,6,10apr15_31mar15_WSB_m1_sp1_1_rev_6,1,1,,,2,12,66,,
10apr15_31mar15_WSB_m1_sp1_1_rev,61,11.5625,0.19019,7,10apr15_31mar15_WSB_m1_sp1_1_rev_7,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_1_rev,59,0.61538,0.010509,9,10apr15_31mar15_WSB_m1_sp1_1_rev_9,1,1,,,1,19,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,71,2.1212,0.029902,1,10apr15_31mar15_WSB_m1_sp1_2.1_rev_1,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,40,1.4072,0.035223,10,10apr15_31mar15_WSB_m1_sp1_2.1_rev_10,1,1,,,1,14,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,65,3.1368,0.04796,11,10apr15_31mar15_WSB_m1_sp1_2.1_rev_11,1,0,,,2,51,64,,faint foci near cent
10apr15_31mar15_WSB_m1_sp1_2.1_rev,72,8.8397,0.12228,12,10apr15_31mar15_WSB_m1_sp1_2.1_rev_12,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,89,4.8394,0.054469,13,10apr15_31mar15_WSB_m1_sp1_2.1_rev_13,1,1,,,1,63,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,89,4.7546,0.053718,15,10apr15_31mar15_WSB_m1_sp1_2.1_rev_15,1,0,,,2,10,77,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,59,4.7636,0.080945,2,10apr15_31mar15_WSB_m1_sp1_2.1_rev_2,1,0,,,1,51,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,65,4.3333,0.067181,3,10apr15_31mar15_WSB_m1_sp1_2.1_rev_3,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,132,2.2581,0.017086,5,10apr15_31mar15_WSB_m1_sp1_2.1_rev_5,0,,,,,,,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,64,7.873,0.12283,7,10apr15_31mar15_WSB_m1_sp1_2.1_rev_7,1,1,,,2,52,61,,
10apr15_31mar15_WSB_m1_sp1_2.1_rev,67,6.7363,0.10091,8,10apr15_31mar15_WSB_m1_sp1_2.1_rev_8,1,1,,,1,55,,,
10apr15_31mar15_WSB_m1_sp1_2.2_rev,79,3.7548,0.047652,1,10apr15_31mar15_WSB_m1_sp1_2.2_rev_1,0,,,,,,,,kink at the end
