"fileName"	"chromosomeLength"	"centromere_ABS_Position"	"centromere_PER_Position"	"avergeRED"	"numberCrossOvers"	"boxNumber"	"foci_ABS_Position_1"	"foci_PER_Position_25"	"foci_intensity_25"	"Obj.ID"	"mouse"	"strain"	"subsp"	"sex"	"category"	"SC.pass"	"foci.pass"	"curated.1pass.0fail"	"curation.notes"	"hand.foci.count"	"Foci1"	"Foci2"	"Foci3"	"notes"
"10apr15_31mar15_WSB_m1_sp1_1_rev"	58	2.5806	0.044424	0.36842	2	1	40	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_1"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	61	1.4925	0.024384	0.38601	1	10	54	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_10"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	90	4.6892	0.052077	0.34531	2	12	36	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_12"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	54	2.3529	0.043229	0.34297	1	13	36	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_13"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	47	3.581	0.075448	0.35088	1	15	42	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_15"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	84	3.5052	0.041629	0.44308	3	17	5	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_17"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	55	3.7052	0.066895	0.30205	1	19	45	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_19"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	90	2.623	0.029176	0.34743	2	2	23	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_2"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	63	4.4196	0.070586	0.3507	1	20	56	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_20"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
"10apr15_31mar15_WSB_m1_sp1_1_rev"	56	5.0645	0.08967	0.35055	1	21	40	NA	NA	"10apr15_31mar15_WSB_m1_sp1_1_rev_21"	"31mar15_WSB_m1"	"WSB"	"Dom"	"male"	"WSB male"	""	""	""	""	""	""	""	""	""
