fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
11mar15_28feb15_PWD_f1_sp1_10.2_rev,171,3.438,0.020121,12,11mar15_28feb15_PWD_f1_sp1_10.2_rev_12,0,,,,,,,,
11mar15_28feb15_PWD_f1_sp1_10.2_rev,72,8.2155,0.11392,21,11mar15_28feb15_PWD_f1_sp1_10.2_rev_21,0,,,,,,,,
11mar15_28feb15_PWD_f1_sp1_10.2_rev,91,9.6488,0.10569,22,11mar15_28feb15_PWD_f1_sp1_10.2_rev_22,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,30,3.9061,0.1302,2,11mar15_28feb15_PWD_f5_sp1_2_rev_2,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,76,7.6773,0.1011,6,11mar15_28feb15_PWD_f5_sp1_2_rev_6,0,,might have broken piece off to the side,,1,48,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,144,7.3553,0.051139,7,11mar15_28feb15_PWD_f5_sp1_2_rev_7,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,57,11.1185,0.19507,10,11mar15_28feb15_PWD_f5_sp1_2_rev_10,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,66,6.832,0.10316,12,11mar15_28feb15_PWD_f5_sp1_2_rev_12,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,57,8.1446,0.14282,18,11mar15_28feb15_PWD_f5_sp1_2_rev_18,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,230,7.717,0.033483,19,11mar15_28feb15_PWD_f5_sp1_2_rev_19,0,,,,,,,,
11mar15_28feb15_PWD_f5_sp1_2_rev,72,7.2486,0.10109,23,11mar15_28feb15_PWD_f5_sp1_2_rev_23,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_18_rev,50,2.6471,0.053362,3,16feb18_1feb18_KAZ_f4_sp1_18_rev_3,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_18_rev,89,8.9831,0.10101,5,16feb18_1feb18_KAZ_f4_sp1_18_rev_5,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_4_rev,191,5.8989,0.030865,4,16feb18_1feb18_KAZ_f4_sp1_4_rev_4,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_4_rev,33,4.6333,0.13925,16,16feb18_1feb18_KAZ_f4_sp1_4_rev_16,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_6_rev,121,3.6093,0.029858,2,16feb18_1feb18_KAZ_f4_sp1_6_rev_2,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_6_rev,96,15.5389,0.16269,12,16feb18_1feb18_KAZ_f4_sp1_6_rev_12,0,,end of chrm turned,,,,,,
16feb18_1feb18_KAZ_f4_sp1_6_rev,46,5.8284,0.12774,14,16feb18_1feb18_KAZ_f4_sp1_6_rev_14,0,,,,,,,,
16feb18_1feb18_KAZ_f4_sp1_6_rev,216,5.9415,0.027563,15,16feb18_1feb18_KAZ_f4_sp1_6_rev_15,0,,,,,,,,
1mar18_1feb18_KAZ_f3_sp1_1_rev,63,2.0588,0.032468,5,1mar18_1feb18_KAZ_f3_sp1_1_rev_5,0,,,,,,,,
1mar18_1feb18_KAZ_f3_sp1_1_rev,81,7.5577,0.093398,17,1mar18_1feb18_KAZ_f3_sp1_1_rev_17,0,,twist at the tip,,,,,,
1mar18_1feb18_KAZ_f3_sp1_1_rev,38,2.9851,0.077658,18,1mar18_1feb18_KAZ_f3_sp1_1_rev_18,0,,think it's broken piece of chrm,,,,,,
1mar18_1feb18_KAZ_f3_sp1_14_rev,129,3.7079,0.02883,3,1mar18_1feb18_KAZ_f3_sp1_14_rev_3,0,,,,,,,,
1mar18_1feb18_KAZ_f3_sp1_2_rev,90,4.0444,0.044939,7,1mar18_1feb18_KAZ_f3_sp1_2_rev_7,0,,twist at the end,,,,,,
20apr18_11jan18_KAZ_f1_sp1_9_rev,80,5.6888,0.071416,1,20apr18_11jan18_KAZ_f1_sp1_9_rev_1,0,,,,,,,,
20apr18_11jan18_KAZ_f1_sp1_9_rev,93,5.6003,0.060387,4,20apr18_11jan18_KAZ_f1_sp1_9_rev_4,0,,broken piece,,,,,,
20apr18_11jan18_KAZ_f1_sp1_9_rev,58,8.1897,0.14188,5,20apr18_11jan18_KAZ_f1_sp1_9_rev_5,0,,,,,,,,
20apr18_11jan18_KAZ_f1_sp1_9_rev,31,5.6381,0.18339,6,20apr18_11jan18_KAZ_f1_sp1_9_rev_6,0,,,,,,,,
20apr18_11jan18_KAZ_f1_sp1_9_rev,34,3.1746,0.093238,19,20apr18_11jan18_KAZ_f1_sp1_9_rev_19,0,,,,,,,,
20apr18_11jan18_KAZ_f1_sp1_9_rev,90,9.5979,0.10669,20,20apr18_11jan18_KAZ_f1_sp1_9_rev_20,0,,twist at the end,,,,,,
5jul15_23apr15_PWD_f1_sp1_16_rev,45,7.8203,0.17402,9,5jul15_23apr15_PWD_f1_sp1_16_rev_9,0,,broken blon,,,,,,
5jul15_23apr15_PWD_f1_sp1_16_rev,27,1.791,0.066924,17,5jul15_23apr15_PWD_f1_sp1_16_rev_17,0,,broken blo,,,,,,
5jul15_23apr15_PWD_f1_sp1_18_rev,305,4.7971,0.015733,2,5jul15_23apr15_PWD_f1_sp1_18_rev_2,0,,,,,,,,
5jul15_23apr15_PWD_f1_sp1_18_rev,108,10.9375,0.10116,15,5jul15_23apr15_PWD_f1_sp1_18_rev_15,0,,,,,,,,
7feb18_11jan18_KAZ_f3_sp1_8_rev,128,4.913,0.038275,5,7feb18_11jan18_KAZ_f3_sp1_8_rev_5,0,,"should be merged chrm, but I think it's single",,,,,,
7feb18_11jan18_KAZ_f3_sp1_8_rev,135,6.151,0.045628,10,7feb18_11jan18_KAZ_f3_sp1_8_rev_10,0,,,,,,,,
7feb18_11jan18_KAZ_f3_sp1_8_rev,137,5.0564,0.037,17,7feb18_11jan18_KAZ_f3_sp1_8_rev_17,0,,,,,,,,
8apr15_1apr15_PWD_f1_sp1_1_rev,66,10,0.15057,20,8apr15_1apr15_PWD_f1_sp1_1_rev_20,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_10_rev,58,3.0696,0.052896,2,8feb18_1feb18_KAZ_f1_sp1_10_rev_2,0,,,strange shape,,,,,
8feb18_1feb18_KAZ_f1_sp1_10_rev,123,5.9513,0.048504,14,8feb18_1feb18_KAZ_f1_sp1_10_rev_14,0,,,bad bend,,,,,
8feb18_1feb18_KAZ_f1_sp1_10_rev,147,3.6939,0.0252,20,8feb18_1feb18_KAZ_f1_sp1_10_rev_20,0,,,"partially broken, incomplete",,,,,
8feb18_1feb18_KAZ_f1_sp1_10_rev,83,4.2249,0.051147,21,8feb18_1feb18_KAZ_f1_sp1_10_rev_21,0,,,broken incomplete,,,,,
8feb18_1feb18_KAZ_f1_sp1_10_rev,63,2.2857,0.036051,22,8feb18_1feb18_KAZ_f1_sp1_10_rev_22,0,,,broken,,,,,
8feb18_1feb18_KAZ_f1_sp1_12_rev,76,2.3696,0.031045,4,8feb18_1feb18_KAZ_f1_sp1_12_rev_4,0,,,"should be 2 merged, but just a single bivalent",,,,,
8feb18_1feb18_KAZ_f1_sp1_12_rev,169,5.468,0.032344,9,8feb18_1feb18_KAZ_f1_sp1_12_rev_9,0,,,2 bivalents,,,,,
8feb18_1feb18_KAZ_f1_sp1_16_rev,230,28.1994,0.1225,3,8feb18_1feb18_KAZ_f1_sp1_16_rev_3,0,,,strange extra broken piece,,,,,
8feb18_1feb18_KAZ_f1_sp1_16_rev,124,7.021,0.056661,6,8feb18_1feb18_KAZ_f1_sp1_16_rev_6,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_16_rev,115,13.2184,0.11525,9,8feb18_1feb18_KAZ_f1_sp1_16_rev_9,0,,,broken,,,,,
8feb18_1feb18_KAZ_f1_sp1_17_rev,57,2.1538,0.037922,8,8feb18_1feb18_KAZ_f1_sp1_17_rev_8,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_17_rev,81,2.0121,0.024894,12,8feb18_1feb18_KAZ_f1_sp1_17_rev_12,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,101,4.5855,0.045213,2,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_2,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,80,9.7024,0.12181,4,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_4,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,86,4.7763,0.055655,9,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_9,0,,,broken,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,161,12.673,0.078625,15,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_15,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,61,6.4231,0.10506,17,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_17,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,48,8.038,0.16887,18,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_18,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,41,4.0966,0.099319,21,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_21,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_18.2_rev,30,3.2258,0.10924,22,8feb18_1feb18_KAZ_f1_sp1_18.2_rev_22,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_20_rev,55,3.2432,0.059053,6,8feb18_1feb18_KAZ_f1_sp1_20_rev_6,0,,,broken sc,,,,,
8feb18_1feb18_KAZ_f1_sp1_20_rev,68,6.6257,0.097017,7,8feb18_1feb18_KAZ_f1_sp1_20_rev_7,0,,,might be broken sc,,,,,
8feb18_1feb18_KAZ_f1_sp1_20_rev,114,5.5897,0.049087,11,8feb18_1feb18_KAZ_f1_sp1_20_rev_11,0,,,broken sc,,,,,
8feb18_1feb18_KAZ_f1_sp1_20_rev,74,3.8087,0.051131,12,8feb18_1feb18_KAZ_f1_sp1_20_rev_12,0,,,might be broken SC,,,,,
8feb18_1feb18_KAZ_f1_sp1_20_rev,39,6.2603,0.15945,16,8feb18_1feb18_KAZ_f1_sp1_20_rev_16,0,,,broken SC,,,,,
8feb18_1feb18_KAZ_f1_sp1_21_rev,122,5.3392,0.043927,10,8feb18_1feb18_KAZ_f1_sp1_21_rev_10,0,,,broken SC,,,,,
8feb18_1feb18_KAZ_f1_sp1_21_rev,53,2.6087,0.049555,22,8feb18_1feb18_KAZ_f1_sp1_21_rev_22,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_21_rev,20,2.5,0.12517,23,8feb18_1feb18_KAZ_f1_sp1_21_rev_23,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_22_rev,30,5.1295,0.17009,9,8feb18_1feb18_KAZ_f1_sp1_22_rev_9,0,,,"broken piece, not sure which it belongs to",,,,,
8feb18_1feb18_KAZ_f1_sp1_22_rev,92,6.3662,0.069433,17,8feb18_1feb18_KAZ_f1_sp1_22_rev_17,0,,,maybe broken SC,,,,,
8feb18_1feb18_KAZ_f1_sp1_26_rev,22,4.1856,0.18962,8,8feb18_1feb18_KAZ_f1_sp1_26_rev_8,0,,,,,,,,
