fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3
27mar16_6mar16_PWD_m1_sp1_3_rev,2.8125,0.026908,0.71923,105,3,15,27mar16_6mar16_PWD_m1_sp1_3_rev_15,1,0,0,,0,,,
7mar15_1mar15_PWD_m1_sp4_24.1_rev,3.6066,0.037002,0.59352,97,7,4,7mar15_1mar15_PWD_m1_sp4_24.1_rev_4,1,0,0,,0,,,
7mar15_1mar15_PWD_m1_sp4_4_rev,6.0076,0.064964,0.58214,92,13,13,7mar15_1mar15_PWD_m1_sp4_4_rev_13,1,,,,0,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.4384,0.039669,0.43732,87,5,11,5jun18_21may18_KAZ_m2_sp1_12_rev_11,1,0,,foci too faint,0,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,5.0404,0.06749,0.4528,75,4,14,5jun18_21may18_KAZ_m2_sp1_12_rev_14,1,0,,foci too faint,0,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.4783,0.045,0.46002,77,5,6,5jun18_21may18_KAZ_m2_sp1_12_rev_6,1,0,,foci too faint,0,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,4.5022,0.062034,0.55019,73,3,8,5jun18_21may18_KAZ_m2_sp1_14_rev_8,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.75,0.065438,0.66312,57,6,1,5jun18_21may18_KAZ_m2_sp1_15.2_rev_1,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,5.0501,0.065233,0.53753,77,2,10,5jun18_21may18_KAZ_m2_sp1_18_rev_10,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,4.375,0.059803,0.52505,73,4,4,5jun18_21may18_KAZ_m2_sp1_18_rev_4,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_19.2_rev,3.7143,0.064936,0.55294,57,4,18,5jun18_21may18_KAZ_m2_sp1_19.2_rev_18,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_21_rev,4.6034,0.093049,0.59296,49,4,13,5jun18_21may18_KAZ_m2_sp1_21_rev_13,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_21_rev,4.8905,0.085722,0.62229,57,4,2,5jun18_21may18_KAZ_m2_sp1_21_rev_2,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_21_rev,4.6016,0.047,0.60332,98,6,6,5jun18_21may18_KAZ_m2_sp1_21_rev_6,1,0,,faint foci,0,,,
5jun18_21may18_KAZ_m2_sp1_4_rev,3.3745,0.047617,0.6889,71,5,6,5jun18_21may18_KAZ_m2_sp1_4_rev_6,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_7_rev,5.5738,0.094656,0.6782,59,4,1,5jun18_21may18_KAZ_m2_sp1_7_rev_1,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_7_rev,5.5861,0.074559,0.67,75,9,2,5jun18_21may18_KAZ_m2_sp1_7_rev_2,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_8.2_rev,4.2458,0.060668,0.61437,70,8,14,5jun18_21may18_KAZ_m2_sp1_8.2_rev_14,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_8.2_rev,2.5,0.030353,0.65503,82,6,9,5jun18_21may18_KAZ_m2_sp1_8.2_rev_9,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_8.3_rev,4.4924,0.055892,0.50768,80,4,2,5jun18_21may18_KAZ_m2_sp1_8.3_rev_2,1,0,,foci vry faint,0,,,
5jun18_21may18_KAZ_m2_sp1_9.2_rev,2.8986,0.057331,0.50714,51,5,17,5jun18_21may18_KAZ_m2_sp1_9.2_rev_17,1,0,,,0,,,
26jan18_11jan18_KAZ_m3_sp1_1_rev,4.5428,0.059607,0.62322,76,5,29,26jan18_11jan18_KAZ_m3_sp1_1_rev_29,1,0,0,,0,,,
26jan18_11jan18_KAZ_m3_sp1_3_rev,2.807,0.050002,0.58864,56,3,2,26jan18_11jan18_KAZ_m3_sp1_3_rev_2,1,0,0,foci too faint,0,,,
26jan18_11jan18_KAZ_m3_sp1_9.1_rev,3.5826,0.063831,0.69583,56,4,10,26jan18_11jan18_KAZ_m3_sp1_9.1_rev_10,1,,,,0,,,
26jan18_11jan18_KAZ_m3_sp1_9.2_rev,8.1556,0.093474,0.54423,87,8,7,26jan18_11jan18_KAZ_m3_sp1_9.2_rev_7,1,0,0,,0,,,
20jul15_18may15_PWD_m1_sp1_15_rev,7.0894,0.095681,0.81661,74,3,13,20jul15_18may15_PWD_m1_sp1_15_rev_13,1,0,,,1,18,,
20jul15_18may15_PWD_m1_sp1_15_rev,6.5879,0.12502,0.79077,53,2,16,20jul15_18may15_PWD_m1_sp1_15_rev_16,1,0,,,1,26,,
20jul15_18may15_PWD_m1_sp1_15_rev,6.5728,0.097865,0.71299,67,3,19,20jul15_18may15_PWD_m1_sp1_15_rev_19,1,0,,,1,54,,
20jul15_18may15_PWD_m1_sp1_15_rev,4.8455,0.076196,0.73931,64,2,20,20jul15_18may15_PWD_m1_sp1_15_rev_20,1,0,,,1,56,,
20jul15_18may15_PWD_m1_sp1_15_rev,3.2923,0.056496,0.75798,58,3,27,20jul15_18may15_PWD_m1_sp1_15_rev_27,1,0,,,1,47,,
20jul15_18may15_PWD_m1_sp1_15_rev,4.9065,0.079931,0.85004,61,4,3,20jul15_18may15_PWD_m1_sp1_15_rev_3,1,0,,,1,55,,
20jul15_18may15_PWD_m1_sp1_15_rev,5.8908,0.10387,0.73333,57,1,33,20jul15_18may15_PWD_m1_sp1_15_rev_33,1,1,,,1,25,,
20jul15_18may15_PWD_m1_sp1_15_rev,11.3052,0.17858,0.76207,63,1,4,20jul15_18may15_PWD_m1_sp1_15_rev_4,1,1,,,1,41,,
20jul15_18may15_PWD_m1_sp1_17_rev,2.8147,0.043635,0.80585,65,2,10,20jul15_18may15_PWD_m1_sp1_17_rev_10,1,0,,,1,56,,
20jul15_18may15_PWD_m1_sp1_17_rev,3.0297,0.040641,0.78065,75,2,13,20jul15_18may15_PWD_m1_sp1_17_rev_13,1,0,,,1,30,,
20jul15_18may15_PWD_m1_sp1_17_rev,2.1538,0.028535,0.75341,75,2,14,20jul15_18may15_PWD_m1_sp1_17_rev_14,1,0,,,1,19,,
20jul15_18may15_PWD_m1_sp1_17_rev,3.1071,0.044557,0.7933,70,3,23,20jul15_18may15_PWD_m1_sp1_17_rev_23,1,0,,,1,42,,
20jul15_18may15_PWD_m1_sp1_17_rev,3.9558,0.077914,0.7956,51,1,24,20jul15_18may15_PWD_m1_sp1_17_rev_24,1,1,,,1,45,,
20jul15_18may15_PWD_m1_sp1_17_rev,2.5613,0.044522,0.70588,58,2,25,20jul15_18may15_PWD_m1_sp1_17_rev_25,1,0,,,1,13,,
20jul15_18may15_PWD_m1_sp1_17_rev,5.3389,0.048772,0.68309,109,3,31,20jul15_18may15_PWD_m1_sp1_17_rev_31,1,0,,,1,63,,
20jul15_18may15_PWD_m1_sp1_17_rev,4.5952,0.096351,0.70057,48,1,32,20jul15_18may15_PWD_m1_sp1_17_rev_32,1,1,,,1,22,,
20jul15_18may15_PWD_m1_sp1_17_rev,6.119,0.097011,0.69063,63,1,33,20jul15_18may15_PWD_m1_sp1_17_rev_33,1,1,,,1,55,,
20jul15_18may15_PWD_m1_sp1_17_rev,5.8847,0.06978,0.78868,84,1,9,20jul15_18may15_PWD_m1_sp1_17_rev_9,1,1,,,1,42,,
20jul15_18may15_PWD_m1_sp1_19_rev,9.0374,0.12114,0.70689,75,1,7,20jul15_18may15_PWD_m1_sp1_19_rev_7,1,1,1,,1,56,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,1.5213,0.017308,0.8119,88,6,1,20jul15_18may15_PWD_m1_sp1_20.2_rev_1,1,0,,,1,79,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.1186,0.045933,0.67804,90,4,10,20jul15_18may15_PWD_m1_sp1_20.2_rev_10,1,0,,,1,42,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.5621,0.059204,0.77906,77,4,2,20jul15_18may15_PWD_m1_sp1_20.2_rev_2,1,0,,,1,69,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.4925,0.045678,0.75432,98,1,3,20jul15_18may15_PWD_m1_sp1_20.2_rev_3,1,1,,,1,77,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.9743,0.043031,0.73468,92,4,4,20jul15_18may15_PWD_m1_sp1_20.2_rev_4,1,1,,,1,45,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.0103,0.037837,0.77383,80,3,6,20jul15_18may15_PWD_m1_sp1_20.2_rev_6,1,0,,,1,30,,
20jul15_18may15_PWD_m1_sp1_20.2_rev,1.2698,0.013596,0.75031,93,2,7,20jul15_18may15_PWD_m1_sp1_20.2_rev_7,1,0,,,1,90,,
20jul15_18may15_PWD_m1_sp1_21_rev,3.0986,0.050232,0.79032,62,1,1,20jul15_18may15_PWD_m1_sp1_21_rev_1,1,1,,,1,50,,
20jul15_18may15_PWD_m1_sp1_21_rev,7.4041,0.078838,0.70538,94,2,11,20jul15_18may15_PWD_m1_sp1_21_rev_11,1,0,,,1,88,,
20jul15_18may15_PWD_m1_sp1_21_rev,4,0.046763,0.69531,86,2,12,20jul15_18may15_PWD_m1_sp1_21_rev_12,1,0,,,1,58,,
20jul15_18may15_PWD_m1_sp1_21_rev,3.2312,0.045272,0.71432,71,3,14,20jul15_18may15_PWD_m1_sp1_21_rev_14,1,0,,,1,47,,
20jul15_18may15_PWD_m1_sp1_21_rev,1.2121,0.011829,0.7293,102,2,5,20jul15_18may15_PWD_m1_sp1_21_rev_5,1,0,,,1,77,,
20jul15_18may15_PWD_m1_sp1_22_rev,3.1856,0.059035,0.74201,54,4,10,20jul15_18may15_PWD_m1_sp1_22_rev_10,1,0,,,1,30,,
20jul15_18may15_PWD_m1_sp1_22_rev,4.5625,0.060186,0.74257,76,6,3,20jul15_18may15_PWD_m1_sp1_22_rev_3,1,0,0,,1,22,,
20jul15_18may15_PWD_m1_sp1_22_rev,6.1938,0.090015,0.74093,69,2,4,20jul15_18may15_PWD_m1_sp1_22_rev_4,1,0,0,,1,62,,
20jul15_18may15_PWD_m1_sp1_22_rev,6.6277,0.061597,0.71002,108,6,5,20jul15_18may15_PWD_m1_sp1_22_rev_5,1,0,0,,1,55,,
20jul15_18may15_PWD_m1_sp1_22_rev,2.6029,0.034221,0.74608,76,5,8,20jul15_18may15_PWD_m1_sp1_22_rev_8,1,0,0,,1,62,,
