fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber.y,Obj.ID,SC.pass,foci.pass,curated.1pass.0fail,curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
10jun19_31may19_SKIVE_f6_sp1_10_rev,86,8.5292,0.098631,13,10jun19_31may19_SKIVE_f6_sp1_10_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,88,2.3188,0.026215,14,10jun19_31may19_SKIVE_f6_sp1_10_rev_14,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,46,4.5701,0.099853,15,10jun19_31may19_SKIVE_f6_sp1_10_rev_15,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_10_rev,64,2.2857,0.035456,5,10jun19_31may19_SKIVE_f6_sp1_10_rev_5,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,88,1.1329,0.012819,13,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,88,1.1329,0.012819,13,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_16.1_rev,25,12.4161,0.5057,4,10jun19_31may19_SKIVE_f6_sp1_16.1_rev_4,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_21_rev,74,2.5649,0.034862,10,10jun19_31may19_SKIVE_f6_sp1_21_rev_10,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_21_rev,48,4.5693,0.095535,13,10jun19_31may19_SKIVE_f6_sp1_21_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_21_rev,102,3.6138,0.035448,7,10jun19_31may19_SKIVE_f6_sp1_21_rev_7,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_25_rev,322,5.0884,0.015791,14,10jun19_31may19_SKIVE_f6_sp1_25_rev_14,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_32.2_rev,58,4.7011,0.080898,13,10jun19_31may19_SKIVE_f6_sp1_32.2_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_34_rev,73,0.247,0.0034052,11,10jun19_31may19_SKIVE_f6_sp1_34_rev_11,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_34_rev,63,3.9437,0.062909,24,10jun19_31may19_SKIVE_f6_sp1_34_rev_24,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_34_rev,81,2.0896,0.025687,7,10jun19_31may19_SKIVE_f6_sp1_34_rev_7,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_43_rev,53,2.932,0.055417,11,10jun19_31may19_SKIVE_f6_sp1_43_rev_11,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_45_rev,113,2.4242,0.021386,2,10jun19_31may19_SKIVE_f6_sp1_45_rev_2,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_45_rev,84,4.0625,0.048247,4,10jun19_31may19_SKIVE_f6_sp1_45_rev_4,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_47_rev,140,2.4242,0.017354,5,10jun19_31may19_SKIVE_f6_sp1_47_rev_5,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_55_rev,56,3.6464,0.064782,12,10jun19_31may19_SKIVE_f6_sp1_55_rev_12,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_55_rev,84,6.068,0.071951,18,10jun19_31may19_SKIVE_f6_sp1_55_rev_18,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_56_rev,115,2.2222,0.019277,11,10jun19_31may19_SKIVE_f6_sp1_56_rev_11,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_56_rev,103,13.7466,0.13294,13,10jun19_31may19_SKIVE_f6_sp1_56_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_56_rev,164,4.4663,0.027234,3,10jun19_31may19_SKIVE_f6_sp1_56_rev_3,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_59.1_rev,69,4.6863,0.067626,20,10jun19_31may19_SKIVE_f6_sp1_59.1_rev_20,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_60_rev,143,4.3375,0.030407,1,10jun19_31may19_SKIVE_f6_sp1_60_rev_1,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_60_rev,95,16.8865,0.17744,9,10jun19_31may19_SKIVE_f6_sp1_60_rev_9,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_7_rev,85,12.2218,0.14462,10,10jun19_31may19_SKIVE_f6_sp1_7_rev_10,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_7_rev,62,8.3689,0.13466,28,10jun19_31may19_SKIVE_f6_sp1_7_rev_28,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_7_rev,57,3.9261,0.069382,31,10jun19_31may19_SKIVE_f6_sp1_7_rev_31,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_7_rev,89,3.3987,0.038372,7,10jun19_31may19_SKIVE_f6_sp1_7_rev_7,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_7_rev,58,2.7491,0.047355,8,10jun19_31may19_SKIVE_f6_sp1_7_rev_8,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_8_rev,58,7.7121,0.13293,1,10jun19_31may19_SKIVE_f6_sp1_8_rev_1,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_8_rev,47,4.3528,0.092013,13,10jun19_31may19_SKIVE_f6_sp1_8_rev_13,0,,,,,,,,
10jun19_31may19_SKIVE_f6_sp1_8_rev,48,0.27027,0.0056596,8,10jun19_31may19_SKIVE_f6_sp1_8_rev_8,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_1.1_rev,81,1.5385,0.018941,2,11jan19_27oct18_SKIVE_m1_sp1_1.1_rev_2,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_12.1_rev,138,2.1212,0.015399,16,11jan19_27oct18_SKIVE_m1_sp1_12.1_rev_16,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_16.2_rev,69,2.9973,0.043639,7,11jan19_27oct18_SKIVE_m1_sp1_16.2_rev_7,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_16.2_rev,111,3.5821,0.032413,9,11jan19_27oct18_SKIVE_m1_sp1_16.2_rev_9,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_2.1_rev,101,4.0406,0.039895,10,11jan19_27oct18_SKIVE_m1_sp1_2.1_rev_10,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_2.1_rev,66,3.2491,0.049045,11,11jan19_27oct18_SKIVE_m1_sp1_2.1_rev_11,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_2.1_rev,86,2.5,0.029162,4,11jan19_27oct18_SKIVE_m1_sp1_2.1_rev_4,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_2.1_rev,114,1.8182,0.016019,6,11jan19_27oct18_SKIVE_m1_sp1_2.1_rev_6,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_2.1_rev,67,2.3333,0.034628,9,11jan19_27oct18_SKIVE_m1_sp1_2.1_rev_9,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_2.2_rev,110,3.5942,0.032732,13,11jan19_27oct18_SKIVE_m1_sp1_2.2_rev_13,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_20.1_rev,51,3.4921,0.068533,10,11jan19_27oct18_SKIVE_m1_sp1_20.1_rev_10,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_20.1_rev,140,4.7652,0.034003,5,11jan19_27oct18_SKIVE_m1_sp1_20.1_rev_5,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_20.1_rev,86,5.2373,0.061031,6,11jan19_27oct18_SKIVE_m1_sp1_20.1_rev_6,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_21_rev,83,4.2144,0.050761,10,11jan19_27oct18_SKIVE_m1_sp1_21_rev_10,0,,,,,,,,
11jan19_27oct18_SKIVE_m1_sp1_21_rev,68,2.9628,0.043452,11,11jan19_27oct18_SKIVE_m1_sp1_21_rev_11,0,,,,,,,,
