"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","avergeRED","numberCrossOvers","boxNumber","foci_ABS_Position_1","Obj.ID","mouse","strain","subsp","sex","category","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",98,5.4084,0.055255,0.56619,2,10,19,"12oct18_26sep18_CZECH_m1_sp1_1_rev_10","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_1_rev",129,5.557,0.043022,0.56002,3,11,44,"12oct18_26sep18_CZECH_m1_sp1_1_rev_11","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_1_rev",97,9.582,0.098315,0.56286,2,12,38,"12oct18_26sep18_CZECH_m1_sp1_1_rev_12","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_1_rev",74,6.3994,0.085931,0.7295,3,2,8,"12oct18_26sep18_CZECH_m1_sp1_1_rev_2","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_1_rev",98,6.139,0.06276,0.72129,2,6,46,"12oct18_26sep18_CZECH_m1_sp1_1_rev_6","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_1_rev",85,5.9235,0.069731,0.6519,7,7,7,"12oct18_26sep18_CZECH_m1_sp1_1_rev_7","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_1_rev",113,4.038,0.035736,0.69002,2,8,27,"12oct18_26sep18_CZECH_m1_sp1_1_rev_8","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_10_rev",95,6.0248,0.063171,0.42872,3,2,5,"12oct18_26sep18_CZECH_m1_sp1_10_rev_2","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_10_rev",119,9.7528,0.082284,0.41364,5,3,5,"12oct18_26sep18_CZECH_m1_sp1_10_rev_3","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_10_rev",66,8.575,0.12899,0.42037,5,6,10,"12oct18_26sep18_CZECH_m1_sp1_10_rev_6","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
