category,type,value,sex,strain
AST male,per0CO,NA,male,AST
AST male,per1CO,0.684210526,male,AST
AST male,per2CO,0.280701754,male,AST
AST male,per3CO,NA,male,AST
AST male,per4CO,NA,male,AST
G female,per0CO,0.025,female,G
G female,per1CO,0.6,female,G
G female,per2CO,0.35,female,G
G female,per3CO,0.025,female,G
G female,per4CO,NA,female,G
G male,per0CO,NA,male,G
G male,per1CO,0.684210526,male,G
G male,per2CO,0.263157895,male,G
G male,per3CO,NA,male,G
G male,per4CO,NA,male,G
KAZ female,per0CO,NA,female,KAZ
KAZ female,per1CO,0.675,female,KAZ
KAZ female,per2CO,0.26875,female,KAZ
KAZ female,per3CO,NA,female,KAZ
KAZ female,per4CO,NA,female,KAZ
KAZ male,per0CO,NA,male,KAZ
KAZ male,per1CO,0.787610619,male,KAZ
KAZ male,per2CO,0.168141593,male,KAZ
KAZ male,per3CO,NA,male,KAZ
KAZ male,per4CO,NA,male,KAZ
LEW female,per0CO,0.116666667,female,LEW
LEW female,per1CO,0.633333333,female,LEW
LEW female,per2CO,0.241666667,female,LEW
LEW female,per3CO,NA,female,LEW
LEW female,per4CO,NA,female,LEW
LEW male,per0CO,NA,male,LEW
LEW male,per1CO,0.684210526,male,LEW
LEW male,per2CO,0.278195489,male,LEW
LEW male,per3CO,NA,male,LEW
LEW male,per4CO,NA,male,LEW
MOLF male,per0CO,0.052631579,male,MOLF
MOLF male,per1CO,0.596491228,male,MOLF
MOLF male,per2CO,0.350877193,male,MOLF
MOLF male,per3CO,NA,male,MOLF
MOLF male,per4CO,NA,male,MOLF
MSM female,per0CO,NA,female,MSM
MSM female,per1CO,0.580508475,female,MSM
MSM female,per2CO,0.36440678,female,MSM
MSM female,per3CO,NA,female,MSM
MSM female,per4CO,NA,female,MSM
MSM male,per0CO,NA,male,MSM
MSM male,per1CO,0.42042042,male,MSM
MSM male,per2CO,0.537537538,male,MSM
MSM male,per3CO,NA,male,MSM
MSM male,per4CO,NA,male,MSM
PWD female,per0CO,0.035211268,female,PWD
PWD female,per1CO,0.683098592,female,PWD
PWD female,per2CO,0.246478873,female,PWD
PWD female,per3CO,0.028169014,female,PWD
PWD female,per4CO,0.007042254,female,PWD
PWD male,per0CO,0.021505376,male,PWD
PWD male,per1CO,0.424731183,male,PWD
PWD male,per2CO,0.548387097,male,PWD
PWD male,per3CO,0.005376344,male,PWD
PWD male,per4CO,0,male,PWD
SKIVE female,per0CO,0.016759777,female,SKIVE
SKIVE female,per1CO,0.597765363,female,SKIVE
SKIVE female,per2CO,0.374301676,female,SKIVE
SKIVE female,per3CO,0.011173184,female,SKIVE
SKIVE female,per4CO,0,female,SKIVE
SKIVE male,per0CO,NA,male,SKIVE
SKIVE male,per1CO,0.545454545,male,SKIVE
SKIVE male,per2CO,0.439393939,male,SKIVE
SKIVE male,per3CO,NA,male,SKIVE
SKIVE male,per4CO,NA,male,SKIVE
TOM male,per0CO,NA,male,TOM
TOM male,per1CO,0.631578947,male,TOM
TOM male,per2CO,0.342105263,male,TOM
TOM male,per3CO,NA,male,TOM
TOM male,per4CO,NA,male,TOM
WSB female,per0CO,NA,female,WSB
WSB female,per1CO,0.6,female,WSB
WSB female,per2CO,0.3,female,WSB
WSB female,per3CO,NA,female,WSB
WSB female,per4CO,NA,female,WSB
WSB male,per0CO,NA,male,WSB
WSB male,per1CO,0.815789474,male,WSB
WSB male,per2CO,NA,male,WSB
WSB male,per3CO,NA,male,WSB
WSB male,per4CO,NA,male,WSB
