mouse,repeat.good,age,sp1,sp2,sp3,sp1 cells,sp2 cells,sp3 cells
27oct18_PERC_m1,,,5jan19_MLH1,,,,,
27oct18_PERC_m2,,,5jan19_MLH1,,,,,
27oct18_PERC_m3,,,29oct18_MLH1-2,,,,,
27oct18_MOLF_m1,,,5jan19_MLH1,,,,,
27oct18_MOLF_m2,,,29oct18_MLH1-1,,,,,
27oct18_MOLF_m3,,,5jan19_MLH1,,,,,
27oct18_SKIVE_m1,,,29oct18_MLH1-1,,,,,
27oct18_SKIVE_m2,,,29oct18_MLH1-1,,,,,
,,,,,,,,
26oct18_MOLF_m1,,,5jan19_MLH1,,,,,
26oct18_CZECH_m1,,,,,,,,
26oct18_SKIVE_m1,,,,,,,,
26oct18_SKIVE_f1,,,29oct18_MLH1-1,,,,,
26oct18_SKIVE_f2,,,29oct18_MLH1-2,,,,,
26oct18_SKIVE_f3,,,29oct18_MLH1-1,,,,,
26oct18_SKIVE_f4,,,29oct18_MLH1-2,,,,,
28sep18_MOLF_m1,,,7oct18_MLH1,,,,,
28sep18_MOLF_m2,,,29oct18_MLH1-2,,,,,
28sep18_CZECH_m1,,,7oct18_MLH1,,,,,
28sep18_CZECH_m2,,,29oct18_MLH1-2,,,,,
28sep18_CZECH_m3,,,29oct18_MLH1-2,,,,,
28sep18_TOM_m1,,,7oct18_MLH1,,,,,
,,,,,,,,
20sep18_LL_m1,20sep18_LL_m1,,26sep18_MLH1-2,,,,,
13sep18_LL_m2,13sep18_LL_m2,,26sep18_MLH1-1,,,,,
13sep18_LL_m3,13sep18_LL_m3,,26sep18_MLH1-2,,,,,
13sep18_LL_m4,13sep18_LL_m4,,26sep18_MLH1-1,,,,,
13sep18_LL_m5,13sep18_LL_m5,,26sep18_MLH1-1,,,,,
13sep18_LL_m6,13sep18_LL_m6,,26sep18_MLH1-1,7oct18_MLH1,,,,
13sep18_LL_m7,13sep18_LL_m7,,26sep18_MLH1-2,,,,,
13sep18_LL_m8,13sep18_LL_m8,,26sep18_MLH1-2,,,,,
13sep18_LL_m9,13sep18_LL_m9,,26sep18_MLH1-2,7oct18_MLH1,,,,
13sep18_LL_m10,13sep18_LL_m10,,26sep18_MLH1-1,,,,,
13sep18_BW_m1,13sep18_BW_m1,,26sep18_MLH1-1,,,,,
13sep18_BW_m2,13sep18_BW_m2,,7oct18_MLH1,,,,,
13sep18_BW_m3,13sep18_BW_m3,,26sep18_MLH1-2,,,,,
,,,,,,,,
3sep18_AST_m1,,,12sep18_MLH1-1,,,,,
3sep18_TOM_m1,,,12sep18_MLH1-1,,,,,
3sep18_TOM_m2,,,12sep18_MLH1-1,,,,,
3sep18_HMI_m1,,,12sep18_MLH1-1,,,,,
3sep18_HMI_m2,,,12sep18_MLH1-2,,,,,
3sep18_HMI_m3,,,12sep18_MLH1-1,,,,,
28aug18_LEW_f1,,,12sep18_MLH1-2,,,,,
28aug18_MSM_f1,,,12sep18_MLH1-2,,,,,
28aug18_CZECH_f1,,,12sep18_MLH1-2,,,,,
28aug18_CZECH_f2,,,12sep18_MLH1-2,,,,,
28aug18_CZECH_f3,,,12sep18_MLH1-2,,,,,
,,,,,,,,
27aug18_SPRET_m1,,,28aug18_MLH1-2,,,,,
27aug18_AST_m1,,,28aug18_MLH1-1,,,,,
27aug18_HMI_m1,,,28aug18_MLH1-2,,,,,
27aug18_HMI_m2,,,28aug18_MLH1-1,,,,,
27aug18_CZECH_m1,,,28aug18_MLH1-1,,,,,
,,,,,,,,
7aug18_SPIC_m1,,,,,,,,
