Original.Name,DOB,M stained,imaged,MLH1 quality,total images,good images,quant batch,pass.manual,D.stained,D.quality
7nov17_KAZ_m1,,17nov17_MLH1,yes,,33,33,batch7,pass,8dec17_DMC1,
4dec17_KAZ_m1,10/3/2017,10dec17_MLH1,yes,,36,35,batch7,pass,26dec17_DMC1_sp2,
1feb18_KAZ_m1,,4feb18_MLH1-1,yes,,31,26,batch9,pass,,
11jan18_KAZ_m1,,22jan18_MLH1-1,yes,good,,,batch9,,12feb18_DMC1-2,
11jan18_KAZ_m2,11/4/2017,22jan18_MLH1-1,yes,,,,batch9,,12feb18_DMC1-2,
11jan18_KAZ_m3,11/4/2017,22jan18_MLH1-1,yes,,,,batch9,,12feb18_DMC1-2,
11jan18_KAZ_m4,11/4/2017,22jan18_MLH1-1,yes,,,,batch9,,12feb18_DMC1-2,
19may18_KAZ_m1,12/30/2017,11jun18_MLH1,yes,,33,28,Batch11,,,
19may18_KAZ_m2,10/3/2017,,,,,,,,,
21may18_KAZ_m1,3/12/2018,22jun18_MLH1-1,,,,,,,,
21may18_KAZ_m2,4/2/2018,1jun18_MLH1_sp1,yes,good,30,25,Batch11,,,
30may18_KAZ_m1,4/2/2018,6jun18_MLH1_sp1,no?,,,,,,,
30may18_KAZ_m2,,,,,,,,,,
30may18_KAZ_m3,,,,,,,,,,
9apr18_KAZ_m1,4/12/2018,22jun18_MLH1-1,,bad?,,,,,,
9apr18_KAZ_m2,3/15/2017,1jun18_MLH1_sp1,,,,,,,,
1feb18_KAZ_f1,,4feb18_MLH1-1,yes,,31,22,batch10,,,
1feb18_KAZ_f2,,4feb18_MLH1-1,yes,,32,26,batch10,pass,,
1feb18_KAZ_f3,,4feb18_MLH1-2,yes,,15,10,batch10,,,
1feb18_KAZ_f4,,4feb18_MLH1-1,yes,,26,22,batch10,pass,,
1feb18_KAZ_f5,,4feb18_MLH1-1,yes,,31,24,batch14,,,
1feb18_KAZ_f6,,4feb18_MLH1-2,yes,,33,29,batch14,,,
11jan18_KAZ_f1,1/11/2018,22jan18_MLH1-2,yes,,31,29,batch14,,12feb18_DMC1-2,X
11jan18_KAZ_f2,1/11/2018,22jan18_MLH1-2,yes,good,28,28,batch12,,,
11jan18_KAZ_f3,1/11/2018,22jan18_MLH1-2,yes,,31,26,batch12,pass,12feb18_DMC1-2,X
