,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
X,3sep18_27aug18_HMI_m1_sp1_6_rev.tif,29405-19777-23612.tif,5,20,15,no,,,0,
X,5jun18_21may18_KAZ_m2_sp1_10.1_rev.tif,22423-23466-14621.tif,,20,15,no,,,,
X,3sep18_27aug18_HMI_m1_sp1_17_rev.tif,26327-7310-2936.tif,,20?,16,yes,,,,signal not that good
X,29aug18_30oct17_HMI_m1_sp3_3_rev.tif,18417-20382-1006.tif,5,20,18,no,yes,,0,
X,9mar18_13oct17_SPRET_m1_sp1_3.4_rev.tif,5473-8105-9836.tif,3,20,26,no,?,,0,
X,3sep18_27aug18_HMI_m1_sp1_29_rev.tif,22384-14016-8170.tif,5,20,?,no,yes,,0,
X,13sep18_28jun18_MOLF_m1_sp1_18.1_rev.tif,26084-16752-20913.tif,5,20,12?,,,,,
X,22jun18_24aug17_PERC_m1_sp1_28.1_rev.tif,4575-14618-5830.tif,,20,12?,no,,,,
X,29aug18_30oct17_HMI_m1_sp3_8_rev.tif,7463-24599-6642.tif,5?,20,12?,,,,,signal not the best
X,3sep18_27aug18_HMI_m1_sp1_3.2_rev.tif,23446-4417-8434.tif,5,20,15?,no,yes,3?,0,
X,3sep18_27aug18_HMI_m1_sp1_26.1_rev.tif,19673-32216-2692.tif,,20,15?,no,yes,,0,
X,3sep18_27aug18_HMI_m1_sp1_30.2_rev.tif,22219-31515-1245.tif,5?,20,16?,no,yes,2?,0,
X,13sep18_28jun18_MOLF_m1_sp1_25.2_rev.tif,1851-14950-10961.tif,4?5?,20,17?,yes,yes,,,telomere end join
X,13sep18_28jun18_MOLF_m1_sp1_31_rev.tif,24502-26828-4491.tif,5?,20,17?,,yes,,,
X,25jun18_8jun18_SPIC_m2_sp1_4.2_rev.tif,1947-10487-17151.tif,,20,17?,no,yes,,0,
X,29aug18_7aug18_AST_m1_sp1_11_rev.tif,10821-20090-9468.tif,,20,17?,no,yes,2?,0,
X,3mar15_13jan17_LEW_m1_sp1_12_rev.tif,21275-4545-31579.tif,,20,18?,,yes,,0,
X,28jul17_30may17_SPRET_m1_sp1_8_rev.tif,23127-32125-20295.tif,5,20,19?,no,no,,0,
X,13sep18_28jun18_MOLF_m1_sp1_7.1_rev.tif,224-26862-6101.tif,4?5?,20,19?,,yes?,,,signal not that strong
X,13sep18_28jun18_MOLF_m1_sp1_21.2_rev.tif,15946-14820-3480.tif,,,,,,,,
X,29aug18_30oct17_HMI_m1_sp3_4_rev.tif,1766-22645-26071.tif,4?5?,20,,,,,,
X,3sep18_27aug18_HMI_m1_sp1_22_rev.tif,17673-19893-22667.tif,,20,,,no,,,
X,3jul18_19may18_KAZ_m1_sp1_14_rev.tif,18158-19289-27011.tif,,,,,,,,
X,25jun18_8jun18_SPIC_m2_sp1_9_rev.tif,18555-24423-27192.tif,5?,20,,,,,,
X,22jun18_24aug17_PERC_m1_sp1_17.1_rev.tif,18555-9926-27200.tif,,,,,,,,
X,29aug18_30oct17_HMI_m1_sp3_12.1_rev.tif,23195-13097-32671.tif,5?,20,,,,,,
X,13sep18_28jun18_MOLF_m1_sp1_3_rev.tif,25280-1655-10298.tif,,,,,,,,
X,3sep18_27aug18_HMI_m1_sp1_9_rev.tif,25865-14554-1131.tif,5,20,,,,,,
X,13sep18_28jun18_MOLF_m1_sp1_9.1_rev.tif,26394-29138-707.tif,,,,yes,,,,
X,13sep18_28jun18_MOLF_m1_sp1_29_rev.tif,26775-31380-25154.tif,,,,,,,,signal bad
X,3sep18_27aug18_HMI_m1_sp1_27_rev.tif,27063-3898-6350.tif,5?4?,20,,no,yes,,0,
X,3sep18_27aug18_HMI_m1_sp1_12.1_rev.tif,28913-16792-4866.tif,5,20,,,,,,signal not very good
X,29aug18_7aug18_AST_m1_sp1_7.1_rev.tif,29331-26306-12563.tif,,,,,,,,
X,3mar15_13jan17_LEW_m1_sp1_16_rev.tif,3051-9082-32119.tif,,,,,,,,
X,27jun18_8jun18_AST_m1_sp1_3_rev.tif,3123-1524-4294.tif,,,,,,,,
X,31aug18_1mar18_CAROLI_m1_sp3_21.3_rev.tif,32542-30714-17962.tif,,21?,,,,,,
X,29aug18_30oct17_HMI_m1_sp3_14_rev.tif,3918-14041-22806.tif,5,20,,,,,,
