Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes,N shape XY
Batch15,X,19nov17_30oct17_SPIC_m2_sp1_2_rev.tif,146-26603-8086.tif,,18,,no,yes,,0,,
Batch15,X,5jun19_27oct18_MOLF_m3_sp1_17_rev.tif,23182-27900-21809.tif,,19,,no,yes?,,,,
Batch15,X,4jun19_28sep18_MOLF_m1_sp1_10.3_rev.tif,30466-27902-10370.tif,,19,,no,yes,,,,
Batch15,X,8jan15_30dec14_WSB_m2_sp1_27.1_rev.tif,32316-2394-14573.tif,,19,,yes,yes,,0,,
Batch15,X,5jun19_27oct18_MOLF_m3_sp1_16.2_rev.tif,3144-26350-10157.tif,,19,,no,,,,,
Batch15,X,4jun19_28sep18_TOM_m1_sp1_33.2_rev.tif,3023-14078-15463.tif,5,19,,no,,,,,
Batch15,X,19nov17_30oct17_SPIC_m2_sp1_4_rev.tif,15248-11692-27770.tif,,20,13,no,yes,,0,,
Batch15,X,6jun19_27oct18_MOLF_m1_sp1_30.1_rev.tif,16238-344-5467.tif,5,20,13,no,yes,,0,,
Batch15,X,6jun19_28jun18_SPIC_m2_sp1_15_rev.tif,19793-22471-31124.tif,,20,15,no,,,0,,
Batch15,X,5jun19_27oct18_MOLF_m3_sp1_4_rev.tif,7893-26590-29991.tif,5?,20,10?,no,yes,,,,
Batch15,X,19nov17_30oct17_SPIC_m2_sp1_10_rev.tif,6451-4622-2442.tif,5?,20,11?,yes,yes,,0,,
Batch15,X,4jun19_28sep18_MOLF_m1_sp1_21.1_rev.tif,0-5227-22854.tif,,20,15?,no,yes,,0,,
Batch15,X,6jun19_28jun18_SPIC_m2_sp1_2_rev.tif,4931-58-25389.tif,,20,16?,no,,,,,
Batch15,X,9mar15_24sep14_WSB_m1_sp1_7.5_rev.tif,26261-15178-28365.tif,,20,17?,no,no,,0,,
Batch15,X,5jun19_27oct18_MOLF_m3_sp1_7_rev.tif,2602-26206-2971.tif,,20,18?,no,yes,4?,0,,
Batch15,X,6jun19_27oct18_MOLF_m1_sp1_18.1_rev.tif,1605-15115-28985.tif,,20,19?,no,yes,,0,potential duplicate,y
Batch15,X,19nov17_30oct17_SPIC_m2_sp1_8_rev.tif,12363-3151-21129.tif,,20,,no,yes,,0,,
Batch15,X,4jun19_28sep18_TOM_m1_sp1_28.2_rev.tif,13600-10130-14943.tif,,20,,no,,,0,,
Batch15,X,19nov17_30oct17_SPIC_m2_sp1_11_rev.tif,157-14266-24208.tif,,20,,no,yes,,,,y
Batch15,X,19nov17_30oct17_SPIC_m2_sp1_7_rev.tif,16201-15420-14081.tif,5,20,,no,,,0,,
Batch15,X,4jun19_28sep18_MOLF_m1_sp1_1_rev.tif,17160-28385-24009.tif,5,20,,no,,,,,
Batch15,X,4jun19_28sep18_TOM_m1_sp1_13_rev.tif,17468-18577-18135.tif,5,20,,no,no,,0,,
Batch15,X,2sep15_10mar15_WSB_m2_sp1_13.1_rev.tif,19379-2215-719.tif,5?,20,,no,yes,,,,
Batch15,X,4jun19_28sep18_TOM_m1_sp1_8_rev.tif,19738-22416-18667.tif,,20,,no,yes,,0,,
Batch15,X,9mar15_24sep14_WSB_m1_sp1_10.1_rev.tif,20282-30980-23680.tif,,20,,no,no,,,,
Batch15,X,6jun19_27oct18_MOLF_m1_sp1_4_rev.tif,20803-26151-31829.tif,5,20,,no,yes,,,,
Batch15,X,5jun19_27oct18_MOLF_m3_sp1_5_rev.tif,21265-11055-948.tif,,20,,no,,,,,
Batch15,X,26sep18_19may18_SPIC_m2_sp1_15.2_rev.tif,21777-16967-20253.tif,,20,,no,no,,0,,
