Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_10_rev.tif,11796-27171-27536.tif,5,20,21,,,0,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_11_rev.tif,20587-2211-1300.tif,5,20,26,,,0,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_12.1_rev.tif,21543-16048-18684.tif,4,20,23,,,0,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_12.2_rev.tif,6350-14309-24301.tif,5,20,18,,,4,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_14.1_rev.tif,3353-18487-30636.tif,2,20,25,,,1,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_14.2_rev.tif,29138-10495-5391.tif,4,20,23,,,0,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_15_rev.tif,21707-8129-7826.tif,5,20,29,,,0,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_2_rev.tif,9378-17924-11402.tif,5,20,26,,,0,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_22_rev.tif,6402-10112-4063.tif,5,20,23,,,2,0,
Batch17,,22jul19_26oct18_SKIVE_f3_sp1_7_rev.tif,21991-19503-13997.tif,5,20,23,,,2,0,
Batch17,,27jul19_26oct18_SKIVE_f1_sp1_12_rev.tif,467-22364-24374.tif,3,20,23,,,0,1,
Batch17,,27jul19_26oct18_SKIVE_f1_sp1_14_rev.tif,9595-5024-14083.tif,4,20,24,,,1,0,
Batch17,,27jul19_26oct18_SKIVE_f1_sp1_15.2_rev.tif,12628-19241-191.tif,4,20,25,,,1,0,
Batch17,,27jul19_26oct18_SKIVE_f1_sp1_16_rev.tif,15980-29452-12646.tif,3,20,29,,,1,0,
Batch17,,27jul19_26oct18_SKIVE_f1_sp1_19_rev.tif,12827-19297-338.tif,4,20,24,,,1,0,
