Batch,,Original.Name,Random.Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch4,,12jan17_4jan17_LEW_f1_sp1_10_rev.tif,16150-18768-4384.tif,3,20,27,,,1,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_11_rev.tif,26981-26605-21247.tif,2,20,29,,,1,0,
Batch4,X,12jan17_4jan17_LEW_f1_sp1_12_rev.tif,10171-18911-7130.tif,5,,17,,,,,
Batch4,,12jan17_4jan17_LEW_f1_sp1_14_rev.tif,28767-30820-24780.tif,1,20,30,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_15_rev.tif,12956-14021-11625.tif,1,20,23,,,1,0,
Batch4,X,12jan17_4jan17_LEW_f1_sp1_16_rev.tif,12370-25224-3267.tif,5,,,,,,,bad signal
Batch4,,12jan17_4jan17_LEW_f1_sp1_17_rev.tif,13928-16296-21454.tif,5,20,27,,,2,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_18_rev.tif,88-5556-17123.tif,1,20,34,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_19_rev.tif,30974-19813-7418.tif,4,20,23,,,4,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_21_rev.tif,29965-20683-10336.tif,3,20,30,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_22_rev.tif,23845-22648-29966.tif,2,20,34,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_23_rev.tif,8524-19838-20817.tif,3,20,30,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_24_rev.tif,6926-13033-28184.tif,2,20,37,,,0,1,
Batch4,,12jan17_4jan17_LEW_f1_sp1_25_rev.tif,20088-26878-21032.tif,4,20,28,,,1,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_26_rev.tif,26987-29839-17607.tif,1,20,38,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_27_rev.tif,4577-31039-32594.tif,3,20,26,,,2,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_28_rev.tif,8-11976-4812.tif,2,20,30,,,1,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_29_rev.tif,19750-1371-6046.tif,3,20,24,,,1,2,
Batch4,,12jan17_4jan17_LEW_f1_sp1_3_rev.tif,24996-66-18155.tif,1,20,27,,,1,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_30_rev.tif,7711-18676-27355.tif,3,20,24,yes,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_31_rev.tif,17828-15551-9783.tif,1,20,25,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_32_rev.tif,3555-31061-25489.tif,4,20,25,,,1,0,
Batch4,X,DUP12jan17_4jan17_LEW_f1_sp1_34_rev.tif,9044-7192-12116.tif,1,20,49,,,0,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_36_rev.tif,19449-17963-11689.tif,3,20,29,,,1,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_6_rev.tif,21717-26903-1856.tif,1,20,22,,,1,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_7.1_rev.tif,7466-18094-4873.tif,4,20,24,,,4,0,
Batch4,,12jan17_4jan17_LEW_f1_sp1_7.2_rev.tif,29491-25397-285.tif,2,20,23,,,0,1,
Batch4,,12jan17_4jan17_LEW_f1_sp1_8_rev.tif,16205-22511-932.tif,4,20,21,,,3,3,
Batch4,,12jan17_4jan17_LEW_f3_sp1_1_rev.tif,5690-27985-16087.tif,5,20,26,,,2,1,postential tangle
Batch4,,12jan17_4jan17_LEW_f3_sp1_10_rev.tif,4647-6760-27706.tif,4,20,22,,,4,0,
