Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch6,X,16aug17_31jul17_HMI_m1_sp1_23_rev.tif,21600-28634-13326.tif,,18,24,,,,,
Batch6,X,16aug17_31jul17_HMI_m1_sp1_27_rev.tif,1516-25731-12505.tif,,18,,,,,,bad signal
Batch6,,16aug17_5jul17_MSM_m1_sp1_1_rev.tif,267-30320-26529.tif,1,19,34,no,,0,0,
Batch6,X,8feb17_20dec16_LEW_m1_sp1_11_rev.tif,6654-19822-18467.tif,5,19,27,,,,,green signal not very good
Batch6,X,24may17_8may17_SPRET_m1_sp1_36_rev.tif,27319-25708-13357.tif,5,19,,,,,,"tangled bivalents, hard to distinguish"
Batch6,X,8feb17_20dec16_LEW_m1_sp1_20.1_rev.tif,17721-25439-12924.tif,5,20,13,,,,,X bad green signa;
Batch6,X,16aug17_31jul17_HMI_m1_sp1_1_rev.tif,14545-11353-14402.tif,5,20,14,,,,,signal not good
Batch6,X,16aug17_31jul17_HMI_m1_sp1_26_rev.tif,5327-6064-30463.tif,,20,14,,,,,geren signal not bright enough
Batch6,,16aug17_31jul17_HMI_m1_sp1_4_rev.tif,13534-12399-20494.tif,5,20,15,no,,3,0,
Batch6,X,8feb17_20dec16_LEW_m1_sp1_3.1_rev.tif,15156-28028-1344.tif,5,20,16,,,,,X signal pretty bad
Batch6,,2jul17_20dec16_LEW_m2_sp1_8_rev.tif,8128-21338-23210.tif,5,20,16,yes,,3,0,
Batch6,X,2jul17_20dec16_LEW_m2_sp1_20_rev.tif,31739-21651-29085.tif,5,20,17,,,,,
Batch6,X,9may17_4jan17_LEW_m1_sp1_17_rev.tif,30445-2406-31284.tif,,20,17,,,,,
Batch6,,2jul17_20dec16_LEW_m2_sp1_14_rev.tif,31274-7533-9759.tif,4,20,17,no,,5,0,
Batch6,X,24may17_8may17_SPRET_m1_sp1_24.2_rev.tif,5910-4921-16637.tif,5,20,18,,,4,0,green signal not uniform
Batch6,X,9may17_4jan17_LEW_m1_sp1_6_rev.tif,27443-12570-10190.tif,,20,18,,,,,
Batch6,,3aug17_8may17_LEW_m2_sp1_35.1_rev.tif,1697-8604-26534.tif,5,20,18,no,,1,0,
Batch6,,24may17_8may17_SPRET_m1_sp1_7_rev.tif,27106-13682-20694.tif,2,20,19,no,,3,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_16_rev.tif,24291-26027-20025.tif,3,20,19,no,,1,0,possible diplicate?
Batch6,,3aug17_30may17_MSM_m1_sp1_4_rev.tif,1148-2903-17791.tif,5,20,19,no,,5,0,pretty bad
Batch6,,8feb17_20dec16_LEW_m1_sp1_25_rev.tif,7280-27285-30156.tif,5,20,19,no,,1,0,
Batch6,,16aug17_31jul17_HMI_m1_sp1_22.2_rev.tif,27220-15204-28761.tif,5,20,20,no,,0,0,
Batch6,X,16aug17_31jul17_HMI_m1_sp1_13_rev.tif,19291-29944-16534.tif,5,20,21,no,,,,pretty bad signal
Batch6,,3aug17_8may17_LEW_m2_sp1_32_rev.tif,29370-2535-7591.tif,1,20,21,no,,1,0,
Batch6,,2jul17_20dec16_LEW_m3_sp1_2_rev.tif,15813-20540-6700.tif,2,20,21,no,,0,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_9_rev.tif,18935-10387-14331.tif,2,20,21,no,,1,0,
Batch6,,2jul17_20dec16_LEW_m3_sp1_9_rev.tif,30827-21580-21151.tif,2,20,21,no,,0,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_30.1_rev.tif,11860-734-11573.tif,3,20,21,no,,1,0,
Batch6,,24may17_8may17_SPRET_m1_sp1_13_rev.tif,25468-6050-271.tif,3,20,21,no,,1,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_15_rev.tif,6267-29304-20550.tif,4,20,21,no,,0,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_3.2_rev.tif,11408-15227-19992.tif,5,20,21,yes,,2,0,
Batch6,,9may17_4jan17_LEW_m1_sp1_11_rev.tif,30372-23031-12986.tif,1,20,22,no,,0,0,
Batch6,,24may17_8may17_SPRET_m1_sp1_34_rev.tif,5463-1445-13739.tif,1,20,22,no,,0,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_23.2_rev.tif,10623-4494-14573.tif,3,20,22,no,,1,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_31_rev.tif,24383-31521-487.tif,3,20,22,no,,3,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_24.1_rev.tif,7681-9940-3283.tif,3,20,22,no,,2,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_22_rev.tif,16309-25776-4314.tif,4,20,22,no,,2,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_16_rev.tif,27705-20025-17627.tif,4,20,22,no,,0,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_13_rev.tif,29865-17941-1548.tif,4,20,22,no,,1,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_26_rev.tif,32607-23606-475.tif,4,20,22,no,,2,0,
Batch6,,24may17_8may17_SPRET_m1_sp1_14_rev.tif,8354-9738-16990.tif,5,20,22,no,,3,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_1_rev.tif,21925-6014-24163.tif,3,20,22,yes,,1,0,
Batch6,,3aug17_8may17_LEW_m2_sp1_24.2_rev.tif,31567-13256-416.tif,4,20,22,yes,,3,0,
Batch6,,8feb17_20dec16_LEW_m1_sp1_15.2_rev.tif,8788-25254-7311.tif,4,20,22,yes,,1,0,
Batch6,,3aug17_30may17_MSM_m1_sp1_29_rev.tif,16734-9452-3939.tif,5,20,22,yes,,1,0,
