Var1	Var2	Freq	ID	strain	DOB	notes	mouse.1	euth.date	age.days	age.weeks	subsp	sex	category
7aug18_AST_m1	Batch11	28	AST_3	AST	4/12/2017		7aug18_AST_m1	8/7/2018	482	68.85714286	other	male	AST male
8jun18_AST_m1	Batch11	36		AST	NA		8jun18_AST_m1	6/8/2018	NA	NA	other	male	AST male
27aug18_AST_m1	NA	NA		AST	4/12/2017		27aug18_AST_m1	8/27/2018	502	71.71428571	other	male	AST male
1mar18_CAROLI_m1	Batch11	35		CAROLI	7/20/2017		1mar18_CAROLI_m1	3/1/2018	224	32	Caroli	male	CAROLI male
9apr18_CAROLI_m1	NA	NA		CAROLI	7/20/2017		9apr18_CAROLI_m1	4/9/2018	263	37.57142857	Caroli	male	CAROLI male
1mar17_CAST_f1	batch8	3		CAST	3/1/2017		1mar17_CAST_f1	3/1/2017	0	0	Cast	female	CAST female
8may17_CAST_f1	NA	NA		CAST	5/8/2017	neonate	8may17_CAST_f1	5/8/2017	0	0	Cast	female	CAST female
30jun16_CAST_m1	Batch1	31		CAST	4/27/2016	~9w	30jun16_CAST_m1	6/30/2016	64	9.142857143	Cast	male	CAST male
30jun16_CAST_m3	Batch1	34		CAST	11/24/2015	~21w	30jun16_CAST_m3	6/30/2016	219	31.28571429	Cast	male	CAST male
23sep17_CAST_m1	NA	NA		CAST	10/25/2016		23sep17_CAST_m1	9/23/2017	333	47.57142857	Cast	male	CAST male
23sep17_CAST_m2	NA	NA		CAST	10/25/2016		23sep17_CAST_m2	9/23/2017	333	47.57142857	Cast	male	CAST male
24aug17_CAST_m1	NA	NA		CAST	4/27/2016		24aug17_CAST_m1	8/24/2017	484	69.14285714	Cast	male	CAST male
30jun16_CAST_m2	NA	NA		CAST	4/27/2016	~9w	30jun16_CAST_m2	6/30/2016	64	9.142857143	Cast	male	CAST male
5jul17_CAST_m1	NA	NA		CAST	11/24/2015		5jul17_CAST_m1	7/5/2017	589	84.14285714	Cast	male	CAST male
28aug18_CZECH_f1	NA	NA		CZECH	8/27/2018		28aug18_CZECH_f1	8/28/2018	1	0.142857143	other	female	CZECH female
28aug18_CZECH_f2	NA	NA		CZECH	8/27/2018		28aug18_CZECH_f2	8/28/2018	1	0.142857143	other	female	CZECH female
28aug18_CZECH_f3	NA	NA		CZECH	8/27/2018		28aug18_CZECH_f3	8/28/2018	1	0.142857143	other	female	CZECH female
27aug18_CZECH_m1	Batch13	15		CZECH	4/26/2018		27aug18_CZECH_m1	8/27/2018	123	17.57142857	other	male	CZECH male
20dec18_CZECH_m1	NA	NA		CZECH	1/23/2018			12/20/2018	331	47.28571429	other	male	CZECH male
26oct18_CZECH_m1	NA	NA		CZECH	8/31/2018		26oct18_CZECH_m1	10/26/2018	56	8	other	male	CZECH male
28sep18_CZECH_m1	NA	NA		CZECH	8/6/2018		28sep18_CZECH_m1	9/28/2018	53	7.571428571	other	male	CZECH male
28sep18_CZECH_m2	NA	NA		CZECH	8/6/2018		28sep18_CZECH_m2	9/28/2018	53	7.571428571	other	male	CZECH male
28sep18_CZECH_m3	NA	NA		CZECH	6/25/2018		28sep18_CZECH_m3	9/28/2018	95	13.57142857	other	male	CZECH male
3dec18_CZECH_m1	NA	NA		CZECH	1/23/2018			12/3/2018	314	44.85714286	other	male	CZECH male
8jun18_CZECH_m1	NA	NA		CZECH	4/1/2018		8jun18_CZECH_m1	6/8/2018	68	9.714285714	other	male	CZECH male
8jun18_CZECH_m2	NA	NA		CZECH	4/1/2018		8jun18_CZECH_m2	6/8/2018	68	9.714285714	other	male	CZECH male
13oct14_G_f1	Batch14	66		G	NA		13oct14_G_f1	10/13/2014	NA	NA	Dom	female	G female
13oct14_G_f2	Batch14	34		G	NA		13oct14_G_f2	10/13/2014	NA	NA	Dom	female	G female
16jan16_G_f1	Batch4	11		G	1/16/2016	neonates	16jan16_G_f1	1/16/2016	0	0	Dom	female	G female
16jan16_G_f1	Batch0	6		G	1/16/2016	neonates	16jan16_G_f1	1/16/2016	0	0	Dom	female	G female
16jan16_G_f2	Batch0	17		G	1/16/2016		16jan16_G_f2	1/16/2016	0	0	Dom	female	G female
16jan16_G_f2	Batch2	46		G	1/16/2016		16jan16_G_f2	1/16/2016	0	0	Dom	female	G female
17mar16_G_f1	Batch2	50		G	3/17/2016	neonate 5	17mar16_G_f1	3/17/2016	0	0	Dom	female	G female
17mar16_G_f1	Batch0	7		G	3/17/2016	neonate 5	17mar16_G_f1	3/17/2016	0	0	Dom	female	G female
17mar16_G_f2	Batch14	10		G	3/17/2016		17mar16_G_f2	3/17/2016	0	0	Dom	female	G female
17mar16_G_f3	Batch0	25		G	3/17/2016		17mar16_G_f3	3/17/2016	0	0	Dom	female	G female
17mar16_G_f4	Batch5	31		G	3/17/2016		17mar16_G_f4	3/17/2016	0	0	Dom	female	G female
17mar16_G_f4	Batch4	12		G	3/17/2016		17mar16_G_f4	3/17/2016	0	0	Dom	female	G female
17mar16_G_f4	Batch0	12		G	3/17/2016		17mar16_G_f4	3/17/2016	0	0	Dom	female	G female
17mar16_G_f5	Batch4	10		G	3/17/2016		17mar16_G_f5	3/17/2016	0	0	Dom	female	G female
17mar16_G_f5	Batch5	17		G	3/17/2016		17mar16_G_f5	3/17/2016	0	0	Dom	female	G female
17mar16_G_f5	Batch2	14		G	3/17/2016		17mar16_G_f5	3/17/2016	0	0	Dom	female	G female
17mar16_G_f5	Batch0	2		G	3/17/2016		17mar16_G_f5	3/17/2016	0	0	Dom	female	G female
