mouse,ID,strain,DOB,age of mie,maternal_DOB,paternal_DOB,mat_ID,notes,gonad pairs collected,slides made,meiocyte incubation,staining
,,,,,,,,,,,,
,,,,,,,,,,,,
27oct18_PERC_m1,,,5/25/2018,,,,,,,,,
27oct18_PERC_m2,,,5/24/2018,,,,,,,,,
27oct18_PERC_m3,,,,,,,,march,,,,
27oct18_SKIVE_m1,,,9/3/2018,,BP2,,BP2,,,,,
27oct18_SKIVE_m2,BP2,,1/13/2018,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
27oct18_MOLF_m1,,,5/17/2018,,BP1,BP1,,,,,,
27oct18_MOLF_m2,,,9/25/2018,,6/22/2018,6/22/2018,,,,,,
27oct18_MOLF_m3,,,9/18/2018,,5/17/2018,5/24/2018,,,,,,
,,,,,,,,,,,,
26oct18_MOLF_m1,,,7/23/2018,,BP1,1/12/2018,BP1,,,,,
26oct18_CZECH_m1,,,8/31/2018,,4/26/2018,4/26/2018,,,,,,
26oct18_SKIVE_m1,,,5/5/2018,,BP2,,BP2,,,,,
26oct18_SKIVE_f1,,,,,5/5/2018,,,e16.5,,,,
26oct18_SKIVE_f2,,,,,5/5/2018,,,e16.5,,,,
26oct18_SKIVE_f3,,,,,5/5/2018,,,e16.5,,,,
26oct18_SKIVE_f4,,,,,5/5/2018,,,e16.5,,,,
28sep18_MOLF_m1,,,8/20/2018,,BP2,,BP2,,,,,
28sep18_MOLF_m2,,,8/20/2018,,BP2,,BP2,,,,,
28sep18_CZECH_m1,,,8/6/2018,,6/1/2018,6/1/2018,,,,,,
28sep18_CZECH_m2,,,8/6/2018,,6/1/2018,6/1/2018,,,,,,
28sep18_CZECH_m3,,,6/25/2018,,1/23/2018,,CZECH_BP1,,,,,
28sep18_TOM_m1,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
28aug18_LEW_f1,,,8/27/2018,,11/3/2017,11/29/2018,,,,,,
28aug18_MSM_f1,,,8/27/2018,,4/27/2018,4/3/2018,,,,,,
28aug18_CZECH_f1,,,8/27/2018,,1/23/2018,,CZECH_BP1,,,,,
28aug18_CZECH_f2,,,8/27/2018,,1/23/2018,,CZECH_BP1,,,,,
28aug18_CZECH_f3,,,8/27/2018,,1/23/2018,,CZECH_BP1,,,,,
,,,,,,,,,,,,
3sep18_HMI_m1,,,,,,,,,,,,
3sep18_HMI_m2,,,,,,,,,,,,
3sep18_HMI_m3,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
27aug18_SPRET_m1,,,10/24/2017,,6/20/2017,6/20/2017,,,,,,
27aug18_AST_m1,,,4/12/2017,,NA,NA,,,,,,
27aug18_HMI_m1,,,10/30/2017,,,,,,,,,
27aug18_HMI_m2,,,10/30/2017,,,,,,,,,
27aug18_CZECH_m1,,,4/26/2018,,1/23/2018,BP1,CZECH_BP1,,,,,
,,,,,,,,,,,,
7aug18_SPIC_m1,,,7/6/2018,,10/30/2017,10/30/2017,,,,,,
7aug18_LEW_m1,,,7/6/2018,,12/2/2017,12/2/2017,,,,,,
7aug18_AST_m1,AST_3,,4/12/2017,,NA,NA,,,,,,
