mouse,ID,strain,DOB,notes,mouse
10jul19_KAZ_m1,,,6/1/19,,
10jul19_KAZ_m2,,,6/1/19,,
10jul19_KAZ_m3,,,6/1/19,,
10jul19_KAZ_m4,,,6/1/19,,
,,,,,
31may19_SKIVE_m1,,,4/22/19,,
31may19_SKIVE_m2,,,2/8/19,might be a duplicate name (duplicate name?),
31may19_SKIVE_f1,,,5/30/19,,
31may19_SKIVE_f2,,,5/30/19,,
31may19_SKIVE_f3,,,5/30/19,,
31may19_SKIVE_f4,,,5/31/19,,
31may19_SKIVE_f5,,,5/31/19,,
31may19_SKIVE_f6,,,5/31/19,,
31may19_SKIVE_m3,,,,,
,,,,,
23may19_SKIVE_f1,,,5/23/19,,
23may19_SKIVE_f2,,,5/22/19,,
23may19_SKIVE_f3,,,5/22/19,,
,,,,,
1mar19_MOLF_f1,,,2/26/19,,
1mar19_MOLF_f2,,,2/26/19,,
1mar19_MOLF_f3,,,2/26/19,,
1mar19_MOLF_f4,,,2/27/19,,
1mar19_LEW_f1,,,3/1/19,,
1mar19_LEW_f2,,,3/1/19,,
1mar19_LEW_f3,,,3/1/19,,
1mar19_MOLF_m1,,,9/17/18,,
1mar19_LEW_m1,,,10/22/18,,
4feb19_MSM_m1,,,10/1/18,,
4feb19_MSM_m2,,,7/7/18,,
4feb19_MSM_m3,,,4/3/18,,
4feb19_MSM_m4,,,7/29/18,,
4feb19_SKIVE_m1,,,1/31/18,,
4feb19_MOLF_m1,,,5/24/18,,
,,,,,
20dec18_CZECH_m1,,,1/23/18,,
20dec18_PWD_m1,,,(juvi),,
,,,,,
3dec18_PWD_m1,,,11/2/18,,
3dec18_PWD_m2,,,11/2/18,,
3dec18_CZECH_m1,,,1/23/18,,
,,,,,
27oct18_PERC_m1,,,5/25/2018,,27oct18_PERC_m1
27oct18_PERC_m2,,,5/24/2018,,27oct18_PERC_m2
27oct18_PERC_m3,,,march,,27oct18_PERC_m3
27oct18_SKIVE_m1,,,9/3/2018,,27oct18_SKIVE_m1
27oct18_SKIVE_m2,BP2,,1/13/2018,,27oct18_SKIVE_m2
,"Using cell sorting to isolate subpopulations with various expression levels, we show",,,,
,that spontaneous HR rate is highly heterogeneous from cell-to-cell in clonal populations,,,,
27oct18_MOLF_m1,depending on the cellular amount of proteins affecting HR activity.,,5/17/2018,,27oct18_MOLF_m1
27oct18_MOLF_m2,,,9/25/2018,,27oct18_MOLF_m2
27oct18_MOLF_m3,,,9/18/2018,,27oct18_MOLF_m3
,,,,,
26oct18_MOLF_m1,,,7/23/2018,,26oct18_MOLF_m1
26oct18_CZECH_m1,,,8/31/2018,,26oct18_CZECH_m1
26oct18_SKIVE_m1,,,5/5/2018,,26oct18_SKIVE_m1
26oct18_SKIVE_f1,,,,e16.5,26oct18_SKIVE_f1
26oct18_SKIVE_f2,,,,e16.5,26oct18_SKIVE_f2
26oct18_SKIVE_f3,,,,e16.5,26oct18_SKIVE_f3
26oct18_SKIVE_f4,,,,e16.5,26oct18_SKIVE_f4
28sep18_MOLF_m1,,,8/20/2018,,28sep18_MOLF_m1
28sep18_MOLF_m2,,,8/20/2018,,28sep18_MOLF_m2
28sep18_CZECH_m1,,,8/6/2018,,28sep18_CZECH_m1
28sep18_CZECH_m2,,,8/6/2018,,28sep18_CZECH_m2
28sep18_CZECH_m3,,,6/25/2018,,28sep18_CZECH_m3
28sep18_TOM_m1,,,,,28sep18_TOM_m1
,,,,,
,,,,,
28aug18_LEW_f1,,,8/27/2018,,28aug18_LEW_f1
28aug18_MSM_f1,,,8/27/2018,,28aug18_MSM_f1
28aug18_CZECH_f1,,,8/27/2018,,28aug18_CZECH_f1
28aug18_CZECH_f2,,,8/27/2018,,28aug18_CZECH_f2
28aug18_CZECH_f3,,,8/27/2018,,28aug18_CZECH_f3
,,,,,
3sep18_HMI_m1,,,,,3sep18_HMI_m1
3sep18_HMI_m2,,,,,3sep18_HMI_m2
3sep18_HMI_m3,,,,,3sep18_HMI_m3
,,,,,
,,,,,
,,,,,
27aug18_SPRET_m1,,,10/24/2017,,27aug18_SPRET_m1
27aug18_AST_m1,,,4/12/2017,,27aug18_AST_m1
27aug18_HMI_m1,,,10/30/2017,,27aug18_HMI_m1
27aug18_HMI_m2,,,10/30/2017,,27aug18_HMI_m2
27aug18_CZECH_m1,,,4/26/2018,,27aug18_CZECH_m1
,,,,,
7aug18_SPIC_m1,,,7/6/2018,,7aug18_SPIC_m1
7aug18_LEW_m1,,,7/6/2018,,7aug18_LEW_m1
7aug18_AST_m1,AST_3,,4/12/2017,,7aug18_AST_m1
7aug18_SPRET_m1,,,6/20/2017,,7aug18_SPRET_m1
7aug18_SPRET_m2,,,6/20/2017,,7aug18_SPRET_m2
2aug18_SPIC_m1,,,6/22/2018,,2aug18_SPIC_m1
2aug18_SPRET_m1,,,9/25/2017,,2aug18_SPRET_m1
,,,,,
3jul18_SKIVE_f1,,,7/2/2018,,3jul18_SKIVE_f1
3jul18_SKIVE_f2,,,7/2/2018,,3jul18_SKIVE_f2
3jul18_TOM_m1,,,4/26/2017,,3jul18_TOM_m1
4jul18_MAD_m23,,,NA,,4jul18_MAD_m23
4jul18_MAD_m24,,,NA,,4jul18_MAD_m24
28jun18_MOLF_m1,,,5/24/2018,,28jun18_MOLF_m1
28jun18_TOM_m1,,,4/26/2017,,28jun18_TOM_m1
28jun18_HMI_m1,,,10/30/2017,,28jun18_HMI_m1
28jun18_SPIC_m1,,,5/7/2018,,28jun18_SPIC_m1
28jun18_SPIC_m2,,,5/7/2018,,28jun18_SPIC_m2
28jun18_SPIC_m3,,,5/7/2018,,28jun18_SPIC_m3
28jun18_MAD_19,,,NA,,28jun18_MAD_19
28jun18_MAD_18,,,NA,,28jun18_MAD_18
,,,,,
8jun18_CZECH_m1,,,4/1/2018,,8jun18_CZECH_m1
8jun18_CZECH_m2,,,4/1/2018,,8jun18_CZECH_m2
8jun18_AST_m1,,,,,8jun18_AST_m1
8jun18_SPIC_m1,,,2/19/2018,,8jun18_SPIC_m1
8jun18_SPIC_m2,,,2/19/2018,,8jun18_SPIC_m2
,,,,,
8jun18_SKIVE_f1,,,6/7/2018,,8jun18_SKIVE_f1
8jun18_SKIVE_f2,,,6/7/2018,,8jun18_SKIVE_f2
8jun18_SKIVE_f3,,,6/7/2018,,8jun18_SKIVE_f3
,,,,,
