anon batch, rand_name, bin_size, skel_size
anon_batch0, 1001-17808-8581.tif, 23731, 2354
anon_batch0, 10034-25636-20369.tif, 17722, 1903
anon_batch0, 10063-21348-9548.tif, 14139, 1367
anon_batch0, 10089-10539-8393.tif, 19610, 1914
anon_batch0, 10116-28900-28604.tif, 18599, 1733
anon_batch0, 10133-30283-20700.tif, 18388, 1873
anon_batch0, 10191-28660-23075.tif, 17556, 1705
anon_batch0, 10199-22230-1251.tif, 13235, 1331
anon_batch0, 10199-9710-5960.tif, 18566, 1877
anon_batch0, 10243-32047-52.tif, 18434, 1948
anon_batch0, 10245-11199-28624.tif, 25533, 2307
anon_batch0, 10309-4443-27060.tif, 16321, 1696
anon_batch0, 1038-29185-12184.tif, 18737, 1743
anon_batch0, 10385-14491-27692.tif, 33078, 3422
anon_batch0, 10412-28589-17120.tif, 16353, 1409
anon_batch0, 1042-15774-24596.tif, 24205, 2255
anon_batch0, 10481-22372-12471.tif, 21025, 2122
anon_batch0, 10579-28162-23101.tif, 25083, 2376
anon_batch0, 1060-8797-31961.tif, 21076, 2069
anon_batch0, 10607-18245-4579.tif, 16989, 1460
anon_batch0, 10648-22989-29300.tif, 20117, 1795
anon_batch0, 10650-1709-17314.tif, 13193, 1218
anon_batch0, 10723-6382-7259.tif, 13053, 1221
anon_batch0, 10755-32067-5141.tif, 17640, 1721
anon_batch0, 10809-15767-23310.tif, 16431, 1418
anon_batch0, 10823-16577-23426.tif, 13328, 1208
anon_batch0, 10846-2310-4721.tif, 17478, 1733
anon_batch0, 10865-7057-4230.tif, 21515, 1940
anon_batch0, 10887-30766-20245.tif, 15365, 1487
anon_batch0, 10931-17138-2131.tif, 31592, 3044
anon_batch0, 10997-15561-5617.tif, 15319, 1443
anon_batch0, 10997-512-16107.tif, 18348, 1770
anon_batch0, 11014-17027-8958.tif, 15937, 1587
anon_batch0, 1105-292-1990.tif, 17724, 1685
anon_batch0, 11101-22289-11771.tif, 20141, 1894
anon_batch0, 11112-1101-1648.tif, 15694, 1552
anon_batch0, 11189-17789-1627.tif, 18815, 1888
anon_batch0, 11192-20083-11899.tif, 15446, 1324
anon_batch0, 11234-23283-29687.tif, 16358, 1694
anon_batch0, 11265-29053-15694.tif, 19914, 1887
anon_batch0, 11407-29799-31751.tif, 17551, 1642
anon_batch0, 11469-792-19568.tif, 20254, 1762
anon_batch0, 11470-27170-3339.tif, 14384, 1256
anon_batch0, 11526-7525-14579.tif, 14100, 1389
anon_batch0, 11568-20404-31517.tif, 26870, 2513
anon_batch0, 11575-19505-17138.tif, 18432, 1691
anon_batch0, 11693-262-6946.tif, 22622, 2137
anon_batch0, 11713-16602-2692.tif, 23750, 2253
anon_batch0, 11767-3418-16480.tif, 17485, 1598
anon_batch0, 11782-9974-28045.tif, 18525, 1837
anon_batch0, 11786-11498-22853.tif, 15573, 1505
anon_batch0, 11816-28826-12453.tif, 14509, 1279
anon_batch0, 11866-384-686.tif, 15945, 1516
anon_batch0, 11868-7558-19413.tif, 14759, 1473
anon_batch0, 11889-3377-23112.tif, 21796, 2029
anon_batch0, 11917-21483-15516.tif, 14060, 1206
anon_batch0, 11994-8785-3654.tif, 15211, 1392
anon_batch0, 12056-31432-21376.tif, 17985, 1786
anon_batch0, 12057-30016-5671.tif, 16758, 1400
anon_batch0, 12066-12150-15520.tif, 19505, 1800
anon_batch0, 12117-5071-15790.tif, 11620, 972
anon_batch0, 12140-3642-3074.tif, 16892, 1442
anon_batch0, 12153-4358-3076.tif, 17331, 1576
anon_batch0, 12224-16107-22100.tif, 18514, 1690
anon_batch0, 12254-6759-1486.tif, 13992, 1306
anon_batch0, 12265-22715-25753.tif, 21889, 2076
anon_batch0, 12291-5348-19234.tif, 17612, 1742
anon_batch0, 12344-14179-11868.tif, 18253, 1680
anon_batch0, 12344-9547-17770.tif, 14423, 1427
anon_batch0, 12348-31927-15665.tif, 19644, 1919
anon_batch0, 1237-19339-27323.tif, 14985, 1523
anon_batch0, 12373-4532-8773.tif, 24391, 2355
anon_batch0, 12472-28286-8192.tif, 18411, 1756
anon_batch0, 12504-32750-1559.tif, 16829, 1706
anon_batch0, 12507-1254-6593.tif, 13000, 1340
anon_batch0, 12536-26629-20400.tif, 113792, 113792
anon_batch0, 12543-26610-11782.tif, 14334, 1349
anon_batch0, 12600-3802-17433.tif, 21259, 2013
anon_batch0, 12603-28038-23599.tif, 23372, 2413
anon_batch0, 12675-21979-6047.tif, 22399, 2106
anon_batch0, 1270-32172-29034.tif, 19767, 1859
anon_batch0, 12711-22752-7495.tif, 13767, 1385
anon_batch0, 12835-23620-24389.tif, 14162, 1252
anon_batch0, 12857-17009-9989.tif, 22961, 2120
anon_batch0, 1292-10414-13675.tif, 17561, 1791
anon_batch0, 12951-16261-3242.tif, 19798, 1930
anon_batch0, 12953-5907-26995.tif, 17767, 1708
anon_batch0, 12968-20500-5799.tif, 18354, 1737
anon_batch0, 12978-9900-16281.tif, 35721, 35721
anon_batch0, 13050-28392-32128.tif, 19945, 1849
anon_batch0, 13069-341-437.tif, 14334, 1310
anon_batch0, 13083-18987-6160.tif, 17884, 1697
anon_batch0, 13196-25273-2843.tif, 24667, 2383
anon_batch0, 13268-9142-22558.tif, 13279, 1290
anon_batch0, 13299-2011-23640.tif, 15832, 1552
anon_batch0, 13324-12721-5974.tif, 13991, 1429
anon_batch0, 13339-28272-11080.tif, 18598, 1680
anon_batch0, 13366-11305-1193.tif, 17805, 1622
anon_batch0, 13400-27720-30194.tif, 18489, 1715
anon_batch0, 13447-22816-25882.tif, 16349, 1433
anon_batch0, 13473-7941-20350.tif, 13722, 1256
anon_batch0, 13496-3555-14399.tif, 22202, 2030
anon_batch0, 13588-18998-28090.tif, 19516, 1763
anon_batch0, 13606-24795-11085.tif, 25091, 2469
anon_batch0, 13615-25721-15981.tif, 33033, 3276
anon_batch0, 13750-16331-18405.tif, 19631, 1884
anon_batch0, 13876-11157-13639.tif, 21068, 2047
anon_batch0, 13889-6172-31032.tif, 18536, 1606
anon_batch0, 13899-23315-12812.tif, 19696, 1824
anon_batch0, 14053-21953-13475.tif, 14953, 1373
anon_batch0, 1409-26868-2966.tif, 17237, 1677
anon_batch0, 14179-22247-1888.tif, 12969, 1194
anon_batch0, 14186-10918-6009.tif, 16953, 1460
anon_batch0, 14188-13526-16229.tif, 21992, 2252
anon_batch0, 14210-2130-16821.tif, 17589, 1563
anon_batch0, 14280-11584-10287.tif, 14816, 1407
anon_batch0, 14291-21887-16564.tif, 19169, 1866
anon_batch0, 14294-22301-18884.tif, 16075, 1508
anon_batch0, 14314-1776-23820.tif, 16692, 1659
anon_batch0, 14530-21791-4544.tif, 18076, 1635
anon_batch0, 14551-1921-23312.tif, 20879, 1980
anon_batch0, 14659-902-7924.tif, 20238, 2036
anon_batch0, 1466-16128-21887.tif, 24057, 2225
anon_batch0, 14668-6038-29399.tif, 18166, 1733
anon_batch0, 14672-7364-29983.tif, 18608, 1883
anon_batch0, 14701-20732-32062.tif, 18423, 1647
anon_batch0, 14721-8324-20824.tif, 13463, 1298
anon_batch0, 14862-10265-22548.tif, 19071, 1779
anon_batch0, 14882-13073-564.tif, 17237, 1717
anon_batch0, 14887-22597-5656.tif, 15583, 1415
anon_batch0, 14902-26180-4988.tif, 16359, 1353
anon_batch0, 14949-12931-57.tif, 30737, 3101
anon_batch0, 14966-11259-28867.tif, 14000, 1361
anon_batch0, 1497-7863-14123.tif, 18400, 1703
anon_batch0, 14995-27504-11687.tif, 18323, 1686
anon_batch0, 15044-2188-5625.tif, 12916, 1237
anon_batch0, 15062-19104-17855.tif, 16159, 1373
anon_batch0, 15062-1938-28261.tif, 16138, 1463
anon_batch0, 15070-10184-15812.tif, 23420, 2351
anon_batch0, 15076-21345-7181.tif, 21093, 2084
anon_batch0, 15119-32217-29032.tif, 14905, 1508
anon_batch0, 15197-18396-28572.tif, 18170, 1585
anon_batch0, 15204-31627-8079.tif, 24418, 2336
anon_batch0, 15362-31644-15484.tif, 21160, 2150
anon_batch0, 15414-15876-18733.tif, 19380, 1777
anon_batch0, 15487-8027-31454.tif, 20902, 2072
anon_batch0, 15570-810-13334.tif, 19375, 1912
anon_batch0, 15585-27757-21039.tif, 28850, 2881
anon_batch0, 15594-2563-12621.tif, 15680, 1730
anon_batch0, 15605-14443-18333.tif, 16684, 1482
anon_batch0, 1563-3405-26121.tif, 24825, 2611
anon_batch0, 15800-6711-19301.tif, 19135, 1907
