Batch,,Original.Name,Random.Name,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch5,,30jun17_4jan17_LEW_f3_sp1_4_rev.tif,28157-25744-2034.tif,2,20,23,no,,0,0,
Batch5,,4apr16_17mar16_G_f4_sp1_3_rev.tif,20868-12131-31749.tif,1,20,24,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_13_rev.tif,5373-21634-27467.tif,2,20,24,no,,0,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_27_rev.tif,8211-19352-30858.tif,2,20,25,no,,0,2,
Batch5,,5aug17_14jul17_MSM_f1_sp1_23_rev.tif,14155-32238-4307.tif,5,20,25,no,,0,0,good signal but broken SC
Batch5,,2jul17_17mar16_G_f4_sp1_3_rev.tif,11138-6977-17680.tif,1,20,26,no,,0,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_26_rev.tif,14903-11744-3976.tif,2,20,26,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_1_rev.tif,16490-31017-25254.tif,4,20,26,no,,0,0,"good signal, clumped chrms"
Batch5,,5aug17_14jul17_MSM_f1_sp1_6_rev.tif,31171-2280-20267.tif,4,20,26,no,,0,2,
Batch5,,24may17_17mar16_G_f5_sp1_5_rev.tif,3238-21969-15455.tif,1,20,27,no,,0,0,
Batch5,,4apr16_17mar16_G_f4_sp1_13_rev.tif,13380-4314-5433.tif,2,20,27,no,na,0,0,
Batch5,,4apr16_17mar16_G_f4_sp1_17_rev.tif,31299-25672-7836.tif,1,20,28,no,,0,0,
Batch5,,4apr16_17mar16_G_f4_sp1_15_rev.tif,12223-29370-266.tif,1,20,29,no,,0,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_24_rev.tif,12778-22209-20376.tif,1,20,29,no,,0,0,
Batch5,,2jul17_17mar16_G_f4_sp1_5_rev.tif,22340-32401-23609.tif,1,20,29,no,,0,0,
Batch5,,2jul17_17mar16_G_f4_sp1_13_rev.tif,32605-32221-13013.tif,1,20,29,no,,0,0,
Batch5,,4apr16_17mar16_G_f4_sp1_30_rev.tif,4220-27418-31654.tif,1,20,29,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_14_rev.tif,16473-26787-24150.tif,2,20,29,no,,0,0,
Batch5,,2jul17_17mar16_G_f4_sp1_7_rev.tif,23394-29828-17760.tif,2,20,29,no,,0,1,
Batch5,,4apr16_17mar16_G_f4_sp1_4_rev.tif,12748-4640-11804.tif,3,20,29,no,,0,0,
Batch5,,14jul17_4jan17_LEW_f6_sp1_3_rev.tif,7328-453-9524.tif,3,20,29,no,,0,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_21_rev.tif,30389-7619-5644.tif,4,20,29,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_6_rev.tif,9335-13084-9172.tif,1,20,30,no,,0,0,potential dup
Batch5,,5sep17_21aug17_SPI_f2_sp1_30_rev.tif,2635-6301-1138.tif,2,20,30,no,,0,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_5_rev.tif,10734-31553-3684.tif,3,20,30,no,,0,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_25_rev.tif,28656-27519-11132.tif,4,20,30,no,,0,1,broken SC pieces
Batch5,,5aug17_14jul17_MSM_f1_sp1_20_rev.tif,31734-18478-23659.tif,4,20,30,no,,0,0,some broken SC
Batch5,,8feb17_4jan17_LEW_f1_sp1_5_rev.tif,31560-31027-12026.tif,1,20,31,no,,0,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_15_rev.tif,5966-9699-18628.tif,1,20,31,no,,0,2,
Batch5,,5aug17_14jul17_MSM_f1_sp1_11_rev.tif,25915-19071-12926.tif,5,20,31,no,,0,1,"broken sc, good signal"
Batch5,,2jul17_17mar16_G_f4_sp1_11_rev.tif,5756-19926-24587.tif,1,20,32,no,,0,1,
Batch5,,4apr16_17mar16_G_f4_sp1_28_rev.tif,16966-7446-27967.tif,1,20,33,no,,0,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_19_rev.tif,4601-26897-4941.tif,2,20,33,no,,0,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_10_rev.tif,8204-31150-11666.tif,2,20,33,no,,0,0,
Batch5,,8feb17_4jan17_LEW_f1_sp1_4_rev.tif,6985-4586-26585.tif,1,20,34,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_10_rev.tif,8897-4418-29748.tif,4,20,34,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_2_rev.tif,7160-15315-12600.tif,1,20,36,no,,0,2,
Batch5,,4apr16_17mar16_G_f4_sp1_9_rev.tif,25061-19231-27637.tif,2,20,36,no,,0,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_5.2_rev.tif,6437-12389-27118.tif,2,20,37,no,,0,0,
Batch5,,4apr16_17mar16_G_f4_sp1_7_rev.tif,1483-32531-3671.tif,1,20,40,no,,0,1,
Batch5,,5aug17_14jul17_SPRET_f3_sp1_9_rev.tif,2024-17836-19141.tif,2,20,40,no,,0,0,
Batch5,,8feb17_4jan17_LEW_f1_sp1_3_rev.tif,1611-23384-12710.tif,1,20,46,no,,0,0,
Batch5,,5aug17_14jul17_SPRET_f3_sp1_11_rev.tif,16117-26781-24350.tif,4,20,25,yes,,0,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_4_rev.tif,16942-10787-20954.tif,5,20,31,yes,,0,0,broken SC
Batch5,,4apr16_17mar16_G_f4_sp1_11_rev.tif,19573-32756-23425.tif,2,20,25,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_18_rev.tif,23974-27794-13255.tif,1,20,30,no,,0,0,
Batch5,X,5sep17_21aug17_SPI_f2_sp1_25_rev.tif,29638-10367-18995.tif,3,21,34,no,,0,0,
Batch5,,24may17_17mar16_G_f5_sp1_11_rev.tif,21544-7518-15415.tif,1,20,20,no,,1,0,
Batch5,,24may17_17mar16_G_f5_sp1_8_rev.tif,26468-22645-6962.tif,1,20,21,no,,1,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_17_rev.tif,24487-25825-9488.tif,1,20,22,no,,1,0,
Batch5,,4aug17_14jul17_SPRET_f2_sp1_3_rev.tif,6211-1886-20359.tif,3,20,23,no,,1,0,
Batch5,,4apr16_17mar16_G_f4_sp1_32_rev.tif,17599-9580-2796.tif,2,20,24,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_3_rev.tif,9803-10388-845.tif,5,20,24,no,,1,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_10_rev.tif,27854-25226-2808.tif,2,20,26,no,,1,0,some broken SC
Batch5,,2jul17_17mar16_G_f4_sp1_10_rev.tif,14243-30677-25891.tif,4,20,26,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_18_rev.tif,30451-15468-17561.tif,4,20,26,no,,1,0,
Batch5,,24may17_17mar16_G_f5_sp1_12_rev.tif,3884-27393-28632.tif,1,20,27,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_2_rev.tif,10410-9127-18644.tif,5,20,27,no,,1,0,broken SC
Batch5,,5aug17_14jul17_MSM_f1_sp1_16_rev.tif,9013-32217-22136.tif,5,20,27,no,,1,0,some broken SC
Batch5,,2jul17_17mar16_G_f4_sp1_8_rev.tif,2228-15600-1470.tif,2,20,28,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_13_rev.tif,13712-28365-18444.tif,4,20,28,no,,1,0,extra res noise
Batch5,,24may17_17mar16_G_f5_sp1_4_rev.tif,15022-15915-11682.tif,1,20,29,no,,1,0,
Batch5,,4apr16_17mar16_G_f4_sp1_29_rev.tif,16486-3007-27702.tif,2,20,30,no,,1,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_2_rev.tif,17933-7819-543.tif,2,20,30,no,,1,0,
Batch5,,24may17_17mar16_G_f5_sp1_9_rev.tif,30113-4373-18020.tif,2,20,30,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_37_rev.tif,18835-12285-15209.tif,2,20,30,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_7_rev.tif,31954-1703-26286.tif,3,20,30,no,,1,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_19_rev.tif,10576-25687-23488.tif,5,20,30,no,,1,0,broken SC
Batch5,,24may17_17mar16_G_f5_sp1_17_rev.tif,21286-10752-4256.tif,3,20,32,no,,1,0,
Batch5,,4apr16_17mar16_G_f4_sp1_14_rev.tif,7463-23535-6861.tif,1,20,33,no,,1,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_12_rev.tif,12078-9124-12546.tif,2,20,33,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_22_rev.tif,32499-30350-16219.tif,3,20,34,no,,1,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_8_rev.tif,11385-20003-25075.tif,5,20,34,no,,1,0,some broken SC
Batch5,,30jun17_4jan17_LEW_f3_sp1_7_rev.tif,27492-27493-14412.tif,5,20,27,yes,,1,0,some broken SC
Batch5,,5aug17_14jul17_SPRET_f3_sp1_7_rev.tif,3641-18790-18486.tif,3,20,28,yes,,1,1,
Batch5,,4aug17_14jul17_SPRET_f2_sp1_5_rev.tif,1164-4910-7080.tif,4,21,30,no,,1,0,
Batch5,,2jul17_17mar16_G_f4_sp1_2_rev.tif,26550-24104-19013.tif,1,21,33,no,,1,2,
Batch5,,30jun17_4jan17_LEW_f3_sp1_11_rev.tif,21885-16681-2377.tif,5,20,18,no,,2,1,
Batch5,,2jul17_17mar16_G_f4_sp1_4_rev.tif,555-27189-10039.tif,5,20,19,no,,2,0,
Batch5,,4apr16_17mar16_G_f4_sp1_5_rev.tif,7535-22293-24310.tif,5,20,19,no,,2,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_6_rev.tif,30933-25187-11719.tif,4,20,20,no,,2,0,broken sc
Batch5,,5sep17_21aug17_SPI_f2_sp1_39_rev.tif,32087-27242-11339.tif,3,20,21,no,,2,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_3_rev.tif,30507-17372-30906.tif,4,20,21,no,,2,0,
Batch5,,14jul17_4jan17_LEW_f6_sp1_2_rev.tif,13997-32679-420.tif,1,20,23,no,,2,0,
Batch5,,5aug17_14jul17_SPRET_f3_sp1_8_rev.tif,24237-14018-8069.tif,2,20,23,no,,2,0,
Batch5,,4apr16_17mar16_G_f4_sp1_27_rev.tif,32141-29723-8400.tif,3,20,23,no,,2,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_16_rev.tif,6608-15312-14999.tif,4,20,23,no,,2,0,
Batch5,,24may17_17mar16_G_f5_sp1_16_rev.tif,6646-10859-13565.tif,1,20,24,no,,2,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_8_rev.tif,17541-31226-29291.tif,2,20,24,no,,2,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_21_rev.tif,13537-5166-30572.tif,5,20,24,no,,2,0,"slight broken SC, possible duplicate"
Batch5,,5aug17_14jul17_SPRET_f3_sp1_1_rev.tif,10937-10500-21936.tif,5,20,24,no,,2,2,
Batch5,,24may17_17mar16_G_f5_sp1_15_rev.tif,17078-20894-2945.tif,2,20,25,no,,2,0,
Batch5,,24may17_17mar16_G_f5_sp1_3_rev.tif,26840-30334-31789.tif,2,20,25,no,,2,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_33_rev.tif,13472-376-26628.tif,3,20,25,no,,2,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_1_rev.tif,12568-16113-5897.tif,3,20,25,no,,2,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_24_rev.tif,19037-21714-32102.tif,5,20,25,no,,2,0,some broken SC
Batch5,,5sep17_21aug17_SPI_f2_sp1_12_rev.tif,31326-18836-31127.tif,4,20,27,no,,2,0,possible duplicate?
Batch5,,4apr16_17mar16_G_f4_sp1_1_rev.tif,8755-8116-4998.tif,4,20,30,no,,2,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_15_rev.tif,2073-5250-14795.tif,3,20,31,no,,2,0,
Batch5,,14jul17_4jan17_LEW_f6_sp1_1_rev.tif,16707-18423-32498.tif,4,20,31,no,,2,0,slight broken SC
Batch5,,5sep17_21aug17_SPI_f2_sp1_11_rev.tif,22208-7593-4690.tif,3,20,32,no,,2,0,
Batch5,,5aug17_14jul17_MSM_f1_sp1_9_rev.tif,16019-4411-10826.tif,5,20,24,yes,,2,4,some broken SC and seperated chrms
Batch5,,2jul17_17mar16_G_f4_sp1_12_rev.tif,29007-21450-24499.tif,3,20,19,no,,3,2,
Batch5,,2jul17_17mar16_G_f4_sp1_9_rev.tif,6722-29088-18359.tif,4,20,19,no,,3,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_26_rev.tif,20269-17649-19641.tif,4,20,22,no,,3,0,
Batch5,,4apr16_17mar16_G_f4_sp1_18_rev.tif,23084-11460-5709.tif,2,20,23,no,,3,1,
Batch5,,5sep17_21aug17_SPI_f2_sp1_31_rev.tif,4036-2001-32334.tif,2,20,23,no,,3,0,possible duplicate
Batch5,,5aug17_14jul17_SPRET_f3_sp1_14_rev.tif,25057-9394-16668.tif,4,20,23,no,,3,0,
Batch5,,30jun17_4jan17_LEW_f3_sp1_9_rev.tif,2328-9665-19369.tif,4,20,24,no,,3,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_20_rev.tif,14755-15935-20381.tif,4,20,24,no,,3,0,slight broken SC
Batch5,,5sep17_21aug17_SPI_f2_sp1_17_rev.tif,20255-24927-29642.tif,3,20,25,no,,3,0,
Batch5,,4apr16_17mar16_G_f4_sp1_12_rev.tif,24492-25570-26001.tif,3,20,20,no,,3,1,
Batch5,,5sep17_21aug17_SPI_f2_sp1_28_rev.tif,9089-17768-18273.tif,4,20,21,no,,4,0,
Batch5,,5sep17_21aug17_SPI_f2_sp1_40_rev.tif,30491-21942-31236.tif,5,20,23,no,,4,1,
Batch5,,5sep17_21aug17_SPI_f2_sp1_29_rev.tif,4956-24291-15954.tif,5,20,23,no,,5,0,
Batch5,X,5sep17_21aug17_SPI_f2_sp1_23_rev.tif,1930-29416-8701.tif,5,20,21,no,,,,signal not strong
Batch5,,5aug17_14jul17_MSM_f1_sp1_2_rev.tif,20065-13639-3079.tif,2,20,26,no,,1,0,
Batch5,X,5aug17_14jul17_MSM_f1_sp1_7_rev.tif,5564-22703-25557.tif,5,20,,no,,,,many broken SC
Batch5,X,2jul17_17mar16_G_f4_sp1_6_rev.tif,6854-8707-10060.tif,5,20,17,,,,,green signal inconsistant
Batch5,X,4aug17_14jul17_SPRET_f2_sp1_2_rev.tif,7001-8488-14008.tif,5,20,22?,,,,,"potential duplicate, signal not good"
Batch5,x,5sep17_21aug17_SPI_f2_sp1_6_rev.tif,11109-6397-1457.tif,5,20,,,,,,noisy and broken SC.
Batch5,X,5sep17_21aug17_SPI_f2_sp1_32_rev.tif,14550-16754-2163.tif,5,20,,,,,,
Batch5,X,4apr16_17mar16_G_f4_sp1_25_rev.tif,17215-25084-19898.tif,,20,,,,,,
Batch5,X,5sep17_21aug17_SPI_f2_sp1_1_rev.tif,32384-21988-16557.tif,5,21?,,,,,,
Batch5,X,5aug17_14jul17_MSM_f1_sp1_18_rev.tif,7777-18565-31934.tif,5,,,,,,,broken SC
Batch5,X,5sep17_21aug17_SPI_f2_sp1_27_rev.tif,21655-4112-4700.tif,,,,,,,,broken SC
Batch5,X,5aug17_14jul17_MSM_f1_sp1_3_rev.tif,22363-28882-13193.tif,,,,,,,,
