Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch9,X,7feb18_11jan18_SPIC_m1_sp1_3_rev.tif,12586-13568-7067.tif,3?4?,20,,,,,,
Batch9,X,7feb18_11jan18_KAZ_m4_sp1_18.2_rev.tif,13998-20257-22060.tif,5?,20,,,,,,bad signal
Batch9,X,7feb18_11jan18_KAZ_m4_sp1_9_rev.tif,14024-32343-11583.tif,5,20,18?,no,,,,bad signal
Batch9,X,7feb18_11jan18_SPIC_m1_sp1_1.2_rev.tif,14627-18120-25294.tif,4?5?,20,,,,,,
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_9_rev.tif,14797-1808-23445.tif,3,20,21?,yes?,no?,1?,0,
Batch9,X,9mar18_11jan18_WxL.F1_m1_sp1_7.4_rev.tif,1712-25305-12015.tif,3?,20,,no,,,,bad signal
Batch9,X,26jan18_11jan18_KAZ_m3_sp1_10.3_rev.tif,26772-10185-29538.tif,4?5?,20,,,,,,bad signal
Batch9,X,7feb18_11jan18_KAZ_m4_sp1_24_rev.tif,30021-13895-9842.tif,4?3?,20,,,,,,bad signal
Batch9,X,6mar18_1feb18_LEW_m1_sp1_6.1_rev.tif,32469-20195-439.tif,,20,,,,,,bad signal
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_3.2_rev.tif,5684-5556-7277.tif,5,20,17,yes,yes,,0,bad signal
Batch9,X,27mar16_6mar16_G_m3_sp1_13.1_rev.tif,15831-9028-16714.tif,3?,21,23?,no,yes,,,wrong number of chrms
Batch9,X,6mar18_1feb18_LEW_m1_sp1_20.2_rev.tif,23806-10474-3032.tif,2,21,23,no,yes,0,0,wrong number of chrms
Batch9,X,22feb18_1feb18_KAZ_m1_sp1_14_rev.tif,10371-19741-20906.tif,,22,24?,no,yes,,0,
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_19_rev.tif,16387-1446-26536.tif,3,18?,,,,,,
Batch9,X,10jun15_24mar15_G_m1_sp1_3.2_rev.tif,11457-29611-3521.tif,,19?,19?,,,,,
Batch9,X,6mar18_1feb18_LEW_m1_sp1_20.1_rev.tif,28044-23334-867.tif,,19?,,,,,,
Batch9,X,7feb18_11jan18_SPIC_m1_sp1_1.1_rev.tif,29883-13023-18202.tif,5?,20?,,,,,,bad signal
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_14.2_rev.tif,11816-27006-7434.tif,,23?,,,,,,
Batch9,X,7feb18_11jan18_SPIC_m1_sp1_2_rev.tif,12109-22989-5445.tif,,,,,,,,bad signal
Batch9,X,6mar18_1feb18_LEW_m1_sp1_23_rev.tif,13655-22571-16035.tif,,,,,,,,mulitple cells
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_20_rev.tif,14338-17939-9737.tif,,,,,,,,redo signal
Batch9,X,22feb18_1feb18_KAZ_m1_sp1_10.5_rev.tif,15522-19903-19003.tif,,,,,,,,exrta chrms
Batch9,X,22jan18_5jul17_PERC_m1_sp1_7_rev.tif,17902-19833-26710.tif,,,,,,,,bad signal
Batch9,X,11feb18_1feb18_MSM_m1_sp1_5_rev.tif,18546-24135-4992.tif,,,,,,,,mulitple cells
Batch9,X,7feb18_11jan18_KAZ_m4_sp1_26.2_rev.tif,20528-6060-16004.tif,,,,,,,,bad signal
Batch9,X,7feb18_11jan18_SPIC_m1_sp1_4_rev.tif,26469-17258-30371.tif,5,,,,,,,bad signal
Batch9,X,9mar18_11jan18_WxL.F1_m1_sp1_2_rev.tif,2775-386-12824.tif,,,,,,,,mulitple cells
Batch9,X,22jan18_5jul17_PERC_m1_sp1_6_rev.tif,30341-32757-6415.tif,,,,,,,,bad signal
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_10.3_rev.tif,6533-1960-30071.tif,,,,,,,,
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_10.2_rev.tif,6628-3016-31506.tif,,,,,,,,
Batch9,X,16mar18_11jan18_KAZ_m1_sp1_10.1_rev.tif,9598-5872-12194.tif,,,,,,,,extra chrms
Batch9,,7feb18_11jan18_KAZ_m4_sp1_16.1_rev.tif,1019-13202-20504.tif,5,20,17,no,yes,2,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_21_rev.tif,10290-3528-9731.tif,5,20,28,yes,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_20_rev.tif,10447-22643-25379.tif,3,20,24,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_3.2_rev.tif,10504-22425-13190.tif,1,20,31,no,yes,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_14.3_rev.tif,10689-18806-16008.tif,3,20,22,no,yes,0,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_16_rev.tif,1070-3236-13858.tif,3,20,21,no,yes,0,1,
Batch9,,27mar16_6mar16_G_m3_sp1_16_rev.tif,10708-6024-22519.tif,3,20,23,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_17.1_rev.tif,10744-10810-30230.tif,2,20,25,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_24_rev.tif,10757-5700-16309.tif,2,20,21,no,yes,2,0,
Batch9,,27mar16_6mar16_G_m3_sp1_6.3_rev.tif,10831-17214-3918.tif,1,20,29,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_10.1_rev.tif,10854-204-521.tif,5,20,23,no,yes,1,0,bad signal
Batch9,,22feb18_1feb18_KAZ_m1_sp1_25.2_rev.tif,11044-29330-29324.tif,1,20,25,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_25_rev.tif,11158-19816-2724.tif,4,20,23,no,yes,2,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_25.1_rev.tif,11262-30129-30239.tif,2,20,25,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_13.2_rev.tif,11358-8453-12729.tif,3,20,20,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_8_rev.tif,1164-14860-22242.tif,3,20,20,yes,yes,2,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_7.2_rev.tif,12070-22912-24957.tif,3,20,21,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_1.1_rev.tif,12151-20059-8840.tif,4,20,25,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_15.2_rev.tif,12167-32476-29534.tif,4,20,20,no,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_32_rev.tif,12250-31231-11425.tif,4,20,21,no,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_25_rev.tif,12267-20852-1469.tif,5,20,23,yes,yes,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_21.2_rev.tif,12399-6959-20262.tif,1,20,20,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_16.3_rev.tif,12401-23219-15825.tif,2,20,30,no,yes,1,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_11.1_rev.tif,12797-23814-1838.tif,1,20,22,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_8_rev.tif,12835-23189-22669.tif,4,20,25,no,yes,0,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_18.3_rev.tif,12885-23022-22209.tif,5,20,21,no,yes,2,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_4_rev.tif,1289-28559-13020.tif,2,20,20,no,yes,1,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_13.1_rev.tif,12929-24875-20047.tif,2,20,23,no,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_20_rev.tif,13287-6076-3967.tif,5,20,18,no,yes,1,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_11.1_rev.tif,1362-1047-3640.tif,2,20,23,yes,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_27_rev.tif,13859-25913-31285.tif,3,20,21,no,yes,1,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_19_rev.tif,14005-17647-19658.tif,1,20,21,no,yes,0,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_10_rev.tif,14031-6581-13302.tif,2,20,24,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_4_rev.tif,1424-18414-22930.tif,2,20,36,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_2_rev.tif,14261-8267-32756.tif,5,20,22,no,no,2,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_12_rev.tif,143-12751-20918.tif,3,20,20,yes,yes,2,0,
Batch9,,16mar18_11jan18_KAZ_m2_sp1_2_rev.tif,14598-5904-18290.tif,5,20,21,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_24_rev.tif,14825-24940-9806.tif,5,20,17,no,yes,3,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_2_rev.tif,1489-18997-21044.tif,3,20,21,yes,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_6_rev.tif,14919-18874-16739.tif,3,20,21,no,yes,1,0,
Batch9,,27mar16_6mar16_G_m3_sp1_10.2_rev.tif,15251-22585-18999.tif,1,20,24,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_20_rev.tif,15383-12921-22532.tif,2,20,33,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_15.4_rev.tif,15435-18611-21842.tif,4,20,23,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_18.1_rev.tif,15779-24399-29557.tif,1,20,23,yes,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_16_rev.tif,1578-28124-10677.tif,2,20,26,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_22.5_rev.tif,15795-21699-4934.tif,3,20,21,no,no,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_22.2_rev.tif,15938-3561-21877.tif,4,20,20,no,yes,3,0,
Batch9,,27mar16_6mar16_G_m3_sp1_11.2_rev.tif,16076-7968-6700.tif,1,20,21,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_8_rev.tif,16079-28464-20640.tif,3,20,22,no,yes,1,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_10_rev.tif,16161-16675-21961.tif,5,20,31,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_16_rev.tif,16182-22195-12352.tif,4,20,22,no,yes,1,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_18_rev.tif,16287-16899-26031.tif,1,20,32,no,yes,0,0,
