Batch,,Original.Name,Random.Name ,quality,n,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch2,X,14oct16_12sep16_MSM_f1_sp1_7_rev.tif,31847-7297-16303.tif,5,20,20,no,,7,0,
Batch2,X,14oct16_12sep16_MSM_f1_sp1_5_rev.tif,30272-1141-19198.tif,5,20,20,no,,,,
Batch2,X,1oct16_12sep16_MSM_f3_sp1_20.1_rev.tif,27393-21077-27219.tif,5,20,15,yes,,,,
Batch2,X,21sep16_12sep16_MSM_f1_sp1_6_rev.tif,15212-14068-23077.tif,5,20,14,yes,,,,
Batch2,X,21sep16_12sep16_MSM_f1_sp1_7.3_rev.tif,19941-25289-18197.tif,5,,,yes,,,,X
Batch2,X,14oct16_12sep16_MSM_f3_sp1_4_rev.tif,25721-30068-9898.tif,5,,,yes,,,,
Batch2,X,1oct16_12sep16_MSM_f3_sp1_6_rev.tif,4893-17380-17270.tif,5,,,yes,,,,
Batch2,X,1oct16_12sep16_MSM_f3_sp1_7_rev.tif,6656-13783-26208.tif,5,,,yes,,,,
Batch2,X,1oct16_12sep16_MSM_f3_sp1_5_rev.tif,7528-2377-5421.tif,5,,,yes,,,,
Batch2,X,17nov16_17mar16_G_f1_sp1_27_rev.tif,20664-3067-26892.tif,2 cells,,,yes,,,,
Batch2,X,1oct16_12sep16_MSM_f3_sp1_13_rev.tif,20397-7786-3283.tif,5,20,16,,,0,2,some broken SC
Batch2,X,8apr15_1apr15_PWD_f1_sp1_7_rev.tif,27693-29540-14925.tif,5,21,22,,,,,2 asynapsis chrms
Batch2,X,21sep16_12sep16_MSM_f1_sp1_5_rev.tif,13481-3635-28153.tif,5,20,16,,,,,X
Batch2,X,14oct16_12sep16_MSM_f1_sp1_16_rev.tif,20034-2275-2015.tif,5,20,,,,,,X
Batch2,X,1oct16_12sep16_MSM_f3_sp1_18_rev.tif,2150-8700-12153.tif,5,20,,,,,,
Batch2,X,16nov16_17mar16_G_f5_sp1_3_rev.tif,7593-28782-19807.tif,5,20,16,,,4,0,
Batch2,X,14oct16_12sep16_MSM_f3_sp1_2_rev.tif,9449-25141-21079.tif,5,20,,,,,,
Batch2,X,21sep16_12sep16_MSM_f1_sp1_10_rev.tif,9433-6647-16873.tif,5,19,,,,,,
Batch2,X,1oct16_12sep16_MSM_f3_sp1_4_rev.tif,21355-17453-22183.tif,5,18,,,,,,
Batch2,X,29jun15_1apr15_PWD_f1_sp1_1_rev.tif,8208-4605-6934.tif,5,18,,,,,,
Batch2,X,17nov16_17mar16_G_f1_sp1_20.1_rev.tif,14113-18395-11177.tif,5,,X,,,,,X bad signal
Batch2,X,17nov16_17mar16_G_f1_sp1_20.2_rev.tif,14525-14522-4356.tif,5,,,,,,,awful signal
Batch2,X,14oct16_12sep16_MSM_f1_sp1_8_rev.tif,18596-8053-10855.tif,5,,,,,,,bad signal
Batch2,X,14oct16_12sep16_MSM_f1_sp1_15_rev.tif,30580-17139-8623.tif,5,,,,,,,
Batch2,X,21sep16_12sep16_MSM_f1_sp1_7.2_rev.tif,5726-18427-4693.tif,5,,,,,,,awful signal
Batch2,X,15mar16_16jan16_G_f2_sp1_24_rev.tif,29245-934-1817.tif,,21,27,,,,,
Batch2,X,1may16_3nov15_WSB_f1_sp2_19_rev.tif,15036-17702-6262.tif,5,20,17,,,,,
Batch2,X,17nov16_17mar16_G_f1_sp1_27.1_rev.tif,13512-3519-15371.tif,,19,31,,,,,
Batch2,,9mar16_3nov15_WSB_f1_sp3_27_rev.tif,8204-10612-9253.tif,2,20,24,n,,0,0,possible duplicate
Batch2,,27mar16_17mar16_G_f5_sp1_4_rev.tif,10207-22404-18312.tif,1,20,27,no,,0,0,
Batch2,,21nov16_16jan16_G_f2_sp1_19_rev.tif,10894-24829-32475.tif,1,20,38,no,,0,0,
Batch2,,17nov16_3nov15_WSB_f1_sp3_10_rev.tif,10958-20536-701.tif,1,20,21,no,,0,0,
Batch2,,21nov16_16jan16_G_f2_sp1_5_rev.tif,11943-17557-31290.tif,1,20,31,no,,0,0,
Batch2,,1may16_3nov15_WSB_f1_sp2_20_rev.tif,12600-30130-30517.tif,1,20,21,no,,0,0,
Batch2,,21nov16_16jan16_G_f2_sp1_6_rev.tif,13038-31770-1581.tif,1,20,30,no,,2,0,
Batch2,,17nov16_3nov15_WSB_f1_sp3_9_rev.tif,13044-28151-4166.tif,1,20,29,no,,0,0,
Batch2,,27mar16_17mar16_G_f1_sp1_15_rev.tif,13592-32448-28060.tif,1,20,30,no,,1,0,
Batch2,,21nov16_16jan16_G_f2_sp1_24_rev.tif,14015-23591-15082.tif,1,20,24,no,,1,0,
Batch2,,21nov16_16jan16_G_f2_sp1_20_rev.tif,14573-2595-10477.tif,1,20,29,no,,0,0,
Batch2,,21nov16_16jan16_G_f2_sp1_16_rev.tif,15396-32760-25919.tif,1,20,37,no,,0,0,1 broken SC. Might have nonhomolog tngleclustered centromeres
Batch2,,21nov16_16jan16_G_f2_sp1_12_rev.tif,15677-19993-9947.tif,1,20,29,no,,0,0,clustered centromeres
Batch2,,21nov16_16jan16_G_f2_sp1_17_rev.tif,16404-30924-30576.tif,1,20,25,no,,0,0,
Batch2,,17nov16_17mar16_G_f1_sp1_19_rev.tif,17022-9637-14153.tif,1,20,30,no,,0,0,
Batch2,,17nov16_3nov15_WSB_f1_sp3_13_rev.tif,21239-49-7458.tif,1,20,23,no,,0,0,
Batch2,,1may16_3nov15_WSB_f1_sp2_8_rev.tif,21863-19135-8333.tif,1,20,23,no,,0,0,
Batch2,,9mar16_3nov15_WSB_f1_sp3_17_rev.tif,22622-1622-10854.tif,1,20,29,no,,0,0,
Batch2,,15mar16_16jan16_G_f2_sp1_3_rev.tif,28270-5367-21475.tif,1,20,26,no,,0,0,
Batch2,,21nov16_16jan16_G_f2_sp1_3_rev.tif,30934-31033-22620.tif,1,20,32,no,,0,0,
Batch2,,17nov16_17mar16_G_f1_sp1_7_rev.tif,3154-24934-14995.tif,1,20,30,no,,0,0,
Batch2,,1may16_3nov15_WSB_f1_sp2_13_rev.tif,31581-4166-5502.tif,1,20,24,no,,1,0,
Batch2,,15mar16_16jan16_G_f2_sp1_5_rev.tif,5754-21437-179.tif,1,20,30,no,,0,0,
Batch2,,15mar16_16jan16_G_f2_sp1_27_rev.tif,8340-31640-26256.tif,1,20,23,no,,0,0,
Batch2,,15mar16_16jan16_G_f2_sp1_17_rev.tif,9184-30830-25366.tif,1,20,30,no,,0,0,
Batch2,,27mar16_17mar16_G_f1_sp1_12_rev.tif,15884-15615-32738.tif,1,20,32,no,,0,1,one with asynapsis
Batch2,,27mar16_17mar16_G_f5_sp1_6_rev.tif,22471-23128-10183.tif,1,20,32,no,,0,1,1 chromosome slightly mishapen
Batch2,,17nov16_17mar16_G_f1_sp1_16_rev.tif,25926-2234-20835.tif,1,20,33,no,,0,1,
Batch2,,17nov16_17mar16_G_f1_sp1_6_rev.tif,30698-27643-9581.tif,1,20,35,no,,0,1,
Batch2,,9mar16_3nov15_WSB_f1_sp3_25_rev.tif,10910-16805-22782.tif,2,20,23,no,,0,0,
Batch2,,8apr15_1apr15_PWD_f1_sp1_12_rev.tif,11028-14516-24433.tif,2,20,22,no,,0,0,
Batch2,,9mar16_3nov15_WSB_f1_sp3_18_rev.tif,11199-14533-4467.tif,2,20,24,no,,1,0,
Batch2,,15mar16_16jan16_G_f2_sp1_23_rev.tif,12049-32584-24139.tif,2,20,35,no,,0,0,
Batch2,,17nov16_17mar16_G_f1_sp1_2_rev.tif,1209-15710-11234.tif,2,20,31,no,,1,0,
Batch2,,17nov16_17mar16_G_f1_sp1_8_rev.tif,1212-18532-28020.tif,2,20,28,no,,2,0,
Batch2,,17nov16_17mar16_G_f1_sp1_18_rev.tif,12233-14121-5697.tif,2,20,27,no,,0,0,
Batch2,,17nov16_17mar16_G_f1_sp1_35_rev.tif,12252-696-22716.tif,2,20,26,no,,0,0,non-homolog tangle
Batch2,,27mar16_17mar16_G_f5_sp1_5_rev.tif,13074-21604-16530.tif,2,20,27,no,,0,0,
Batch2,,21nov16_16jan16_G_f2_sp1_18_rev.tif,13260-32206-27322.tif,2,20,25,no,,1,0,
Batch2,,8apr15_1apr15_PWD_f1_sp1_8_rev.tif,1366-25758-26253.tif,2,20,27,no,,1,0,
Batch2,,15mar16_16jan16_G_f2_sp1_25_rev.tif,14188-4452-12756.tif,2,20,26,no,,0,0,
Batch2,,15mar16_16jan16_G_f2_sp1_26_rev.tif,14311-22582-26015.tif,2,20,29,no,,1,0,
Batch2,,21nov16_16jan16_G_f2_sp1_7_rev.tif,14565-26838-4068.tif,2,20,30,no,,0,0,
Batch2,,17nov16_17mar16_G_f1_sp1_1_rev.tif,14594-6171-30070.tif,2,20,36,no,,0,0,might be duplicate
Batch2,,15mar16_16jan16_G_f2_sp1_33_rev.tif,16768-1207-31404.tif,2,20,33,no,,0,0,
Batch2,,17nov16_17mar16_G_f1_sp1_27.2_rev.tif,17854-27210-31080.tif,2,20,32,no,,0,0,
Batch2,,27mar16_17mar16_G_f5_sp1_8_rev.tif,18217-31695-9707.tif,2,20,28,no,,0,0,
Batch2,,17nov16_3nov15_WSB_f1_sp3_7_rev.tif,19555-9601-29251.tif,2,20,19,no,,2,0,
Batch2,,9mar16_3nov15_WSB_f1_sp3_5_rev.tif,21384-25655-26875.tif,2,20,21,no,,2,0,
Batch2,,17nov16_3nov15_WSB_f1_sp3_11_rev.tif,21526-29121-15947.tif,2,20,26,no,,0,0,
