mouse	ID	strain	DOB	notes	female.stage	mouse.1	euth.date	age.days	age.weeks	subsp	sex	category
20feb16_G_f1		G	NA	17.5	emb	20feb16_G_f1	2/20/2016	NA	NA	Dom	female	G female
20feb16_G_f2		G	NA	17.5	emb	20feb16_G_f2	2/20/2016	NA	NA	Dom	female	G female
20feb16_G_f3		G	NA	17.5	emb	20feb16_G_f3	2/20/2016	NA	NA	Dom	female	G female
8jun15_G_f1		G	NA	~13-18 embryonic days	emb	8jun15_G_f1	6/8/2015	NA	NA	Dom	female	G female
16jun15_WSB_f3		WSB	NA	12-16 dpc	emb	16jun15_WSB_f3	6/16/2015	NA	NA	Dom	female	WSB female
26oct18_SKIVE_f1		SKIVE	NA	e16.5	emb	26oct18_SKIVE_f1	10/26/2018	NA	NA	other	female	SKIVE female
26oct18_SKIVE_f2		SKIVE	NA	e16.5	emb	26oct18_SKIVE_f2	10/26/2018	NA	NA	other	female	SKIVE female
26oct18_SKIVE_f3		SKIVE	NA	e16.5	emb	26oct18_SKIVE_f3	10/26/2018	NA	NA	other	female	SKIVE female
26oct18_SKIVE_f4		SKIVE	NA	e16.5	emb	26oct18_SKIVE_f4	10/26/2018	NA	NA	other	female	SKIVE female
1april15_PWD_f1		PWD	NA	e16-17	emb	1april15_PWD_f1	4/1/2015	NA	NA	Musc	female	PWD female
1april15_PWD_f2		PWD	NA	e16-17	emb	1april15_PWD_f2	4/1/2015	NA	NA	Musc	female	PWD female
16jun15_WSB_f1		WSB	NA	e17	emb	16jun15_WSB_f1	6/16/2015	NA	NA	Dom	female	WSB female
16jun15_WSB_f4		WSB	NA	e17	emb	16jun15_WSB_f4	6/16/2015	NA	NA	Dom	female	WSB female
4jan17_LEW_f4		LEW	NA	e17-e19	emb	4jan17_LEW_f4	1/4/2017	NA	NA	Dom	female	LEW female
4jan17_LEW_f5		LEW	NA	e17-e19	emb	4jan17_LEW_f5	1/4/2017	NA	NA	Dom	female	LEW female
4jan17_LEW_f6		LEW	NA	e17-e19	emb	4jan17_LEW_f6	1/4/2017	NA	NA	Dom	female	LEW female
4jan17_LEW_f7		LEW	NA	e17-e19	emb	4jan17_LEW_f7	1/4/2017	NA	NA	Dom	female	LEW female
12jun15_WSB_f1		WSB	NA	e17-e21	emb	12jun15_WSB_f1	6/12/2015	NA	NA	Dom	female	WSB female
12jun15_WSB_f2		WSB	NA	e17-e21	emb	12jun15_WSB_f2	6/12/2015	NA	NA	Dom	female	WSB female
28feb15_PWD_f1		PWD	NA	e18	emb	28feb15_PWD_f1	2/28/2015	NA	NA	Musc	female	PWD female
28feb15_PWD_f2		PWD	NA	e18	emb	28feb15_PWD_f2	2/28/2015	NA	NA	Musc	female	PWD female
28feb15_PWD_f3		PWD	NA	e18	emb	28feb15_PWD_f3	2/28/2015	NA	NA	Musc	female	PWD female
28feb15_PWD_f4		PWD	NA	e18	emb	28feb15_PWD_f4	2/28/2015	NA	NA	Musc	female	PWD female
28feb15_PWD_f5		PWD	NA	e18	emb	28feb15_PWD_f5	2/28/2015	NA	NA	Musc	female	PWD female
28feb15_PWD_f6		PWD	NA	e18	emb	28feb15_PWD_f6	2/28/2015	NA	NA	Musc	female	PWD female
23apr15_WSB_f1		WSB	NA	e18-21	emb	23apr15_WSB_f1	4/23/2015	NA	NA	Dom	female	WSB female
13jan17_LEW_f1		LEW	NA	e19	emb	13jan17_LEW_f1	1/13/2017	NA	NA	Dom	female	LEW female
13jan17_LEW_f2		LEW	NA	e19	emb	13jan17_LEW_f2	1/13/2017	NA	NA	Dom	female	LEW female
13jan17_LEW_f3		LEW	NA	e19	emb	13jan17_LEW_f3	1/13/2017	NA	NA	Dom	female	LEW female
8oct14_G_f1		G	NA	emb	emb	8oct14_G_f1	10/8/2014	NA	NA	Dom	female	G female
13jul17_SPRET_f1		SPRET	NA	embryo (e18)	emb	13jul17_SPRET_f1	7/13/2017	NA	NA	Spretus	female	SPRET female
13jul17_SPRET_f2		SPRET	NA	embryo (e18)	emb	13jul17_SPRET_f2	7/13/2017	NA	NA	Spretus	female	SPRET female
13jul17_SPRET_f3		SPRET	NA	embryo (e18)	emb	13jul17_SPRET_f3	7/13/2017	NA	NA	Spretus	female	SPRET female
19dec16_LEW_f1		LEW	12/18/2016	~24	neonate	19dec16_LEW_f1	12/19/2016	1	0.142857143	Dom	female	LEW female
24nov15_WSB_f1		WSB	11/24/2015	>12 <24	neonate	24nov15_WSB_f1	11/24/2015	0	0	Dom	female	WSB female
23sep17_SPRET_f1		SPRET	9/22/2017	>24 hours	neonate	23sep17_SPRET_f1	9/23/2017	1	0.142857143	Spretus	female	SPRET female
23sep17_SPRET_f2		SPRET	9/22/2017	>24 hours	neonate	23sep17_SPRET_f2	9/23/2017	1	0.142857143	Spretus	female	SPRET female
23sep17_SPRET_f3		SPRET	9/22/2017	>24 hours	neonate	23sep17_SPRET_f3	9/23/2017	1	0.142857143	Spretus	female	SPRET female
19oct17_SPRET_f1		SPRET	10/18/2017	24 hr	neonate	19oct17_SPRET_f1	10/19/2017	1	0.142857143	Spretus	female	SPRET female
19oct17_SPRET_f2		SPRET	10/18/2017	24hr	neonate	19oct17_SPRET_f2	10/19/2017	1	0.142857143	Spretus	female	SPRET female
19oct17_SPIC_f1		SPIC	10/18/2017	24hr	neonate	19oct17_SPIC_f1	10/19/2017	1	0.142857143	Spic	female	SPIC female
19oct17_SPIC_f2		SPIC	10/18/2017	24hr	neonate	19oct17_SPIC_f2	10/19/2017	1	0.142857143	Spic	female	SPIC female
19oct17_SPIC_f3		SPIC	10/18/2017	24hr	neonate	19oct17_SPIC_f3	10/19/2017	1	0.142857143	Spic	female	SPIC female
19oct17_SPIC_f4		SPIC	10/18/2017	24hr	neonate	19oct17_SPIC_f4	10/19/2017	1	0.142857143	Spic	female	SPIC female
12oct15_WSB_f1		WSB	10/12/2015	24hr	neonate	12oct15_WSB_f1	10/12/2015	0	0	Dom	female	WSB female
1feb18_KAZ_f1		KAZ	2/1/2018	neonate	neonate	1feb18_KAZ_f1	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f2		KAZ	2/1/2018	neonate	neonate	1feb18_KAZ_f2	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f3		KAZ	2/1/2018	neonate	neonate	1feb18_KAZ_f3	2/1/2018	0	0	Musc	female	KAZ female
1feb18_KAZ_f4		KAZ	2/1/2018	neonate	neonate	1feb18_KAZ_f4	2/1/2018	0	0	Musc	female	KAZ female
