"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail.","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes","mouse","category"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",98,5.4084,0.055255,10,"12oct18_26sep18_CZECH_m1_sp1_1_rev_10","1","1","","","2","19","89","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",129,5.557,0.043022,11,"12oct18_26sep18_CZECH_m1_sp1_1_rev_11","1","0","","","2","44","106","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",97,9.582,0.098315,12,"12oct18_26sep18_CZECH_m1_sp1_1_rev_12","1","0","","","1","38","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",74,6.3994,0.085931,2,"12oct18_26sep18_CZECH_m1_sp1_1_rev_2","1","0","","","1","40","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",98,6.139,0.06276,6,"12oct18_26sep18_CZECH_m1_sp1_1_rev_6","1","1","","","2","46","71","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",113,4.038,0.035736,8,"12oct18_26sep18_CZECH_m1_sp1_1_rev_8","1","0","","","1","103","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_10_rev",95,6.0248,0.063171,2,"12oct18_26sep18_CZECH_m1_sp1_10_rev_2","1","0","","","1","58","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_10_rev",66,8.575,0.12899,6,"12oct18_26sep18_CZECH_m1_sp1_10_rev_6","1","0","","","1","36","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_10_rev",56,5.496,0.098229,8,"12oct18_26sep18_CZECH_m1_sp1_10_rev_8","1","0","","","1","52","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_10_rev",113,7.6443,0.067731,9,"12oct18_26sep18_CZECH_m1_sp1_10_rev_9","1","0","","","1","68","","","","26sep18_CZECH_m1","CZECH male"
