Batch,,Original.Name,Random.Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch3,,1mar16_3jan16_G_m2_sp1_1_rev.tif,29129-10442-17527.tif,1,20,26,n,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_10_rev.tif,22836-1877-8059.tif,1,20,23,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_11.1_rev.tif,7324-3311-7042.tif,2,20,20,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_11.2_rev.tif,19726-27851-19430.tif,1,20,23,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_12_rev.tif,8533-32693-25532.tif,1,20,24,n,yes,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_13_rev.tif,10397-31691-32448.tif,1,20,22,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_14.1_rev.tif,6800-19080-7193.tif,1,20,23,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_14.2_rev.tif,32745-5159-31953.tif,1,20,24,y,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_15_rev.tif,25940-19510-24189.tif,2,20,27,,Y?,0,0,possible entanglement
Batch3,,1mar16_3jan16_G_m2_sp1_16_rev.tif,6741-30834-11296.tif,1,20,26,n,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_17.1_rev.tif,24122-31472-31857.tif,1,20,22,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_17.2_rev.tif,24308-30852-17914.tif,1,20,22,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_18.1_rev.tif,14038-8570-3864.tif,1,20,23,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_19.1_rev.tif,665-23065-8671.tif,2,20,27,y,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_19.2_rev.tif,11946-12071-32642.tif,2,20,22,yes,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_19.3_rev.tif,1448-1924-5940.tif,1,20,23,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_2_rev.tif,13735-19305-15806.tif,1,20,26,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_20_rev.tif,12435-27458-18654.tif,1,20,21,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_21.1_rev.tif,9988-2002-4884.tif,3,20,21,,yes,1,0,
Batch3,,1mar16_3jan16_G_m2_sp1_21.2_rev.tif,18937-13885-11722.tif,1,20,26,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_22_rev.tif,1157-12510-8233.tif,1,20,24,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_23_rev.tif,9076-23416-3441.tif,1,20,20,n,y,1,0,
Batch3,,1mar16_3jan16_G_m2_sp1_24_rev.tif,19050-14335-27187.tif,4,20,20,,y,0,0,foci slightly offset
Batch3,,1mar16_3jan16_G_m2_sp1_25.2_rev.tif,31846-3933-6914.tif,1,20,27,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_3_rev.tif,24029-8794-1990.tif,2,20,24,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_4_rev.tif,6793-17948-20734.tif,2,20,20,,y,1,0,
Batch3,,1mar16_3jan16_G_m2_sp1_5_rev.tif,7159-31450-22201.tif,1,20,22,,y,0,0,possible duplicae
Batch3,,1mar16_3jan16_G_m2_sp1_6_rev.tif,29107-3185-21224.tif,1,20,26,n,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_7_rev.tif,28258-30339-6369.tif,1,20,25,n,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_8.1_rev.tif,25143-4824-16698.tif,1,20,32,,y,0,0,possible entangle
Batch3,,1mar16_3jan16_G_m2_sp1_8.2_rev.tif,693-28687-2965.tif,1,20,24,,y,0,0,
Batch3,,1mar16_3jan16_G_m2_sp1_9.1_rev.tif,25464-7390-11308.tif,1,20,22,yes,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_11_rev.tif,4017-9476-2260.tif,3,20,36,,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_13_rev.tif,17627-6773-16019.tif,1,20,33,,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_14_rev.tif,9642-28550-26687.tif,1,20,35,,yes,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_15_rev.tif,16414-25488-25721.tif,4,20,31,,y,1,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_16_rev.tif,6834-7453-30407.tif,2,20,34,,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_17_rev.tif,5746-807-9431.tif,2,,30,,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_18_rev.tif,26509-19083-30949.tif,2,20,27,,no,1,1,
Batch3,,29nov16_13nov16_MSM_m2_sp1_2_rev.tif,17-11474-454.tif,3,20,33,,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_21_rev.tif,7623-15742-6329.tif,3,20,29,,y,0,0,possbile duplicate
Batch3,,29nov16_13nov16_MSM_m2_sp1_22_rev.tif,26518-27201-8620.tif,3,20,29,n,y,0,0,SC not very good
Batch3,,29nov16_13nov16_MSM_m2_sp1_23_rev.tif,21913-8696-24664.tif,3,20,32,,y,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_25_rev.tif,26353-18796-19669.tif,2,20,32,,yes,0,0,
Batch3,,29nov16_13nov16_MSM_m2_sp1_26_rev.tif,22782-27780-22623.tif,1,20,32,,y,0,0,possible duplicate?
Batch3,,29nov16_13nov16_MSM_m2_sp1_27_rev.tif,30261-14957-3787.tif,2,20,33,,y,0,0,staggered centromere
Batch3,,29nov16_13nov16_MSM_m2_sp1_3_rev.tif,6768-20047-11212.tif,3,20,32,,y,0,0,possible duplicate?
Batch3,,29nov16_13nov16_MSM_m2_sp1_4.1_rev.tif,4088-30135-13602.tif,2,20,34,,y,0,0,possible tangle
