stage,Original Name,Random Name ,bars,left.over,total count
Z,1nov19_8sep14_PWD_m2_sp1_6.1_Z_rev.tif,10481-17634-22147.tif,8,11,171
Z,16feb17_30dec16_MSM_m1_sp1_9_Z_rev.tif,10756-19437-18967.tif,9,11,191
Z,4nov19_30dec14_WSB_m2_sp2_7.1_Z_rev.tif,11430-19971-20304.tif,7,19,159
Z,1nov19_30dec16_MSM_m1_sp1_6_Z_rev.tif,11933-17745-32192.tif,4,5,85
P,4nov19_30dec14_WSB_m2_sp2_13.1_Z_rev.tif,12907-205-7796.tif,,,0
Z,1nov19_30dec16_MSM_m1_sp1_12.1_Z_rev.tif,13783-9694-7603.tif,11,1,221
Z,4nov19_30dec14_WSB_m2_sp2_23.1_Z_rev.tif,1394-14275-13842.tif,7,5,145
Z,4nov19_30dec14_WSB_m2_sp2_3_Z_rev.tif,14690-24384-992.tif,6,7,127
Z,1nov19_8sep14_PWD_m2_sp1_21_Z_rev.tif,15608-30264-6771.tif,5,1,101
Z,16feb17_30dec16_MSM_m1_sp1_1.2_Z_rev.tif,15686-4312-26242.tif,5,13,113
Z,1nov19_30dec16_MSM_m1_sp1_7_Z_rev.tif,16509-20249-3582.tif,10,17,217
Z,1nov19_8sep14_PWD_m2_sp1_4.1_Z_rev.tif,1650-9998-8670.tif,8,4,164
Z,4nov19_30dec14_WSB_m2_sp2_2_Z_rev.tif,16759-29798-18164.tif,7,14,154
Z,16apr16_8sep14_PWD_m2_sp1_3_Z_rev.tif,17094-25369-24333.tif,5,4,104
Z,4nov19_30dec14_WSB_m2_sp2_15.2_Z_rev.tif,17407-1462-5296.tif,7,8,148
Z,4nov19_30dec14_WSB_m2_sp2_18_Z_rev.tif,17560-5949-11517.tif,9,7,187
Z,1nov19_8sep14_PWD_m2_sp1_8_Z_rev.tif,18037-18575-19233.tif,7,18,158
Z,4nov19_30dec14_WSB_m2_sp2_8.1_Z_rev.tif,19399-21747-26599.tif,3,9,69
Z,16apr16_8sep14_PWD_m2_sp1_5_Z_rev.tif,20567-6456-17350.tif,7,16,156
Z,16feb17_30dec16_MSM_m1_sp1_2_Z_rev.tif,20986-20409-21697.tif,6,10,130
Z,1nov19_8sep14_PWD_m2_sp1_23.2_Z_rev.tif,21058-16387-28455.tif,3,14,74
Z,1nov19_30dec16_MSM_m1_sp1_1.1_Z_rev.tif,23325-8175-23162.tif,8,11,171
Z,16feb17_30dec16_MSM_m1_sp1_3.1_Z_rev.tif,23947-889-30971.tif,10,16,216
Z,16apr16_30dec14_WSB_m2_sp2_7_Z_rev.tif,24404-15548-21771.tif,8,14,174
Z,16apr16_8sep14_PWD_m2_sp1_6.2_Z_rev.tif,25147-25450-25959.tif,3,7,67
Z,4nov19_30dec14_WSB_m2_sp2_15.3_Z_rev.tif,26132-18144-30152.tif,8,18,178
Z,4nov19_30dec14_WSB_m2_sp2_4_Z_rev.tif,27207-13682-10045.tif,6,6,126
Z,1nov19_8sep14_PWD_m2_sp1_2_Z_rev.tif,27299-136-7802.tif,4,17,97
Z,1nov19_30dec16_MSM_m1_sp1_15_Z_rev.tif,2759-695-1166.tif,10,3,203
Z,4nov19_30dec14_WSB_m2_sp2_7.2_Z_rev.tif,27816-31891-29164.tif,7,9,149
Z,4nov19_30dec14_WSB_m2_sp2_10_Z_rev.tif,27833-52-16492.tif,6,17,137
Z,4nov19_30dec14_WSB_m2_sp2_15.1_Z_rev.tif,27982-704-4118.tif,6,19,139
Z,4nov19_30dec14_WSB_m2_sp2_24.1_Z_rev.tif,2834-11572-28826.tif,8,17,177
Z,1nov19_30dec16_MSM_m1_sp1_12.2_Z_rev.tif,28392-24541-29490.tif,10,10,210
Z,1nov19_30dec16_MSM_m1_sp1_4.1_Z_rev.tif,28618-10320-31054.tif,6,6,126
Z,16apr16_8sep14_PWD_m2_sp1_1_Z_rev.tif,29498-14663-17282.tif,6,12,132
Z,4nov19_30dec14_WSB_m2_sp2_8.2_Z_rev.tif,2960-4921-19397.tif,5,16,116
Z,1nov19_8sep14_PWD_m2_sp1_10_Z_rev.tif,30967-24343-5659.tif,9,,180
Z,1nov19_8sep14_PWD_m2_sp1_14.2_Z_rev.tif,31297-9813-17537.tif,4,7,87
Z,1nov19_8sep14_PWD_m2_sp1_20_Z_rev.tif,31369-8094-13860.tif,6,17,137
Z,1nov19_30dec16_MSM_m1_sp1_10.1_Z_rev.tif,32193-4454-15228.tif,4,,80
Z,1nov19_8sep14_PWD_m2_sp1_15_Z_rev.tif,3571-25645-11901.tif,10,19,219
Z,16feb17_30dec16_MSM_m1_sp1_13_Z_rev.tif,3729-3244-6965.tif,13,6,266
Z,1nov19_8sep14_PWD_m2_sp1_24_Z_rev.tif,4275-5786-7925.tif,7,14,154
Z,1nov19_30dec16_MSM_m1_sp1_16.1_Z_rev.tif,4355-2275-4088.tif,7,7,147
Z,16apr16_30dec14_WSB_m2_sp2_4_Z_rev.tif,5384-16221-13661.tif,9,17,197
Z,16apr16_8sep14_PWD_m2_sp1_2_Z_rev.tif,5401-32557-21850.tif,7,8,148
Z,1nov19_8sep14_PWD_m2_sp1_11_Z_rev.tif,5588-17803-4663.tif,10,3,203
Z,1nov19_30dec16_MSM_m1_sp1_5.1_Z_rev.tif,6103-17439-12878.tif,5,4,104
Z,1nov19_30dec16_MSM_m1_sp1_2_Z_rev.tif,6990-4475-14486.tif,11,3,223
Z,16apr16_30dec14_WSB_m2_sp2_10.3_Z_rev.tif,705-6389-22515.tif,5,11,111
Z,1nov19_8sep14_PWD_m2_sp1_13_Z_rev.tif,8043-18960-3982.tif,9,2,182
Z,4nov19_30dec14_WSB_m2_sp2_21.1_Z_rev.tif,8674-17201-14330.tif,3,17,77
Z,16apr16_30dec14_WSB_m2_sp2_3.1_Z_rev.tif,8863-18004-16372.tif,7,11,151
Z,1nov19_30dec16_MSM_m1_sp1_9_Z_rev.tif,914-29888-12651.tif,4,12,92
Z,4nov19_30dec14_WSB_m2_sp2_12_Z_rev.tif,9592-1066-449.tif,8,4,164
L,1nov19_8sep14_PWD_m2_sp1_17_L_rev.tif,12907-17095-7935.tif,11,19,239
L,4nov19_30dec14_WSB_m2_sp2_25_L_rev.tif,13417-14688-2166.tif,9,9,189
L,1nov19_30dec16_MSM_m1_sp1_3_L_rev.tif,14093-1527-871.tif,10,,200
L,1nov19_8sep14_PWD_m2_sp1_3.1_L_rev.tif,14103-4102-16384.tif,3,10,70
L,16apr16_8sep14_PWD_m2_sp1_8_L_rev.tif,14270-14828-11922.tif,5,1,101
L,1nov19_8sep14_PWD_m2_sp1_7.2_L_rev.tif,15225-4923-9280.tif,11,18,238
L,4nov19_30dec14_WSB_m2_sp2_5.1_L_rev.tif,1527-32535-26873.tif,10,1,201
L,1nov19_8sep14_PWD_m2_sp1_16.1_L_rev.tif,1607-29134-23941.tif,7,3,143
L,1nov19_30dec16_MSM_m1_sp1_11.1_L_rev.tif,16279-2669-18221.tif,10,14,214
L,1nov19_8sep14_PWD_m2_sp1_22_L_rev.tif,16680-8536-10788.tif,10,,200
L,16apr16_8sep14_PWD_m2_sp1_4_L_rev.tif,17372-8221-19183.tif,6,3,123
L,16feb17_30dec16_MSM_m1_sp1_7.3_L_rev.tif,17660-16198-25796.tif,13,16,276
L,16apr16_8sep14_PWD_m2_sp1_9_L_rev.tif,17984-10437-9525.tif,8,10,170
L,1nov19_8sep14_PWD_m2_sp1_25_L_rev.tif,18329-27608-23729.tif,15,18,318
L,4nov19_30dec14_WSB_m2_sp2_20_L_rev.tif,18339-32704-32593.tif,7,11,151
L,1nov19_8sep14_PWD_m2_sp1_1_L_rev.tif,18715-21937-17454.tif,11,9,229
L,4nov19_30dec14_WSB_m2_sp2_9_L_rev.tif,18776-4836-30131.tif,9,7,187
L,16apr16_30dec14_WSB_m2_sp2_3.2_L_rev.tif,18823-28078-23151.tif,7,10,150
L,16feb17_30dec16_MSM_m1_sp1_4_L_rev.tif,18948-30513-5260.tif,13,5,265
L,16feb17_30dec16_MSM_m1_sp1_7.2_L_rev.tif,20608-5999-6689.tif,11,19,239
L,1nov19_8sep14_PWD_m2_sp1_9.1_L_rev.tif,21248-24900-26400.tif,4,4,84
L,1nov19_30dec16_MSM_m1_sp1_14.1_L_rev.tif,22141-22212-30957.tif,11,5,225
L,16apr16_8sep14_PWD_m2_sp1_7_L_rev.tif,22460-28305-3768.tif,7,17,157
L,1nov19_8sep14_PWD_m2_sp1_12_L_rev.tif,22587-3912-12983.tif,11,14,234
L,1nov19_8sep14_PWD_m2_sp1_7.1_L_rev.tif,22792-1637-13494.tif,8,16,176
L,1nov19_30dec16_MSM_m1_sp1_14.2_L_rev.tif,24616-23876-14774.tif,11,7,227
L,16apr16_30dec14_WSB_m2_sp2_1_L_rev.tif,25185-11178-13314.tif,10,6,206
L,4nov19_30dec14_WSB_m2_sp2_24.2_L_rev.tif,25874-12770-3815.tif,7,5,145
L,16apr16_30dec14_WSB_m2_sp2_5.2_L_rev.tif,26044-30617-28012.tif,10,10,210
L,1nov19_8sep14_PWD_m2_sp1_5_L_rev.tif,26157-24068-20824.tif,11,9,229
L,16feb17_30dec16_MSM_m1_sp1_8.1_L_rev.tif,26537-10674-30223.tif,11,14,234
L,16feb17_30dec16_MSM_m1_sp1_7.4_L_rev.tif,26729-11657-10413.tif,11,15,235
L,16feb17_30dec16_MSM_m1_sp1_8.2_L_rev.tif,27453-2002-23783.tif,12,5,245
L,4nov19_30dec14_WSB_m2_sp2_5.2_L_rev.tif,27902-6047-16545.tif,5,8,108
L,1nov19_8sep14_PWD_m2_sp1_14.1_L_rev.tif,29463-25761-8183.tif,10,1,201
L,1nov19_8sep14_PWD_m2_sp1_18_L_rev.tif,29474-19016-24662.tif,11,2,222
L,16apr16_30dec14_WSB_m2_sp2_6_L_rev.tif,30115-7193-14036.tif,7,,140
L,16apr16_30dec14_WSB_m2_sp2_10.2_L_rev.tif,30386-21202-21931.tif,10,15,215
L,16apr16_30dec14_WSB_m2_sp2_9_L_rev.tif,30850-18975-11702.tif,9,2,182
L,16apr16_8sep14_PWD_m2_sp1_6.1_L_rev.tif,30886-24106-13840.tif,5,10,110
L,16feb17_30dec16_MSM_m1_sp1_7.1_L_rev.tif,3268-13943-14524.tif,12,0,240
L,4nov19_30dec14_WSB_m2_sp2_19_L_rev.tif,3782-23730-22102.tif,13,9,269
L,4nov19_30dec14_WSB_m2_sp2_16_L_rev.tif,3847-8581-28604.tif,8,3,163
L,1nov19_30dec16_MSM_m1_sp1_19.1_L_rev.tif,4629-1991-30633.tif,11,10,230
L,16feb17_30dec16_MSM_m1_sp1_12_L_rev.tif,5851-10338-3211.tif,11,0,220
L,16apr16_30dec14_WSB_m2_sp2_2_L_rev.tif,5906-16265-16227.tif,10,3,203
L,1nov19_30dec16_MSM_m1_sp1_11.2_L_rev.tif,5975-14600-27926.tif,10,2,202
L,4nov19_30dec14_WSB_m2_sp2_17.1_L_rev.tif,6644-10978-7877.tif,10,18,218
L,16apr16_30dec14_WSB_m2_sp2_8_L_rev.tif,6656-32084-30717.tif,10,4,204
L,4nov19_30dec14_WSB_m2_sp2_11.1_L_rev.tif,770-10414-1699.tif,6,3,123
L,14jun15_30dec14_WSB_m2_sp2_1_L_rev.tif,78-7078-466.tif,8,2,162
L,16feb17_30dec16_MSM_m1_sp1_1.1_L_rev.tif,8666-31807-18820.tif,11,7,227
L,16apr16_30dec14_WSB_m2_sp2_10.1_L_rev.tif,8995-3686-16104.tif,7,3,143
L,16feb17_30dec16_MSM_m1_sp1_11_L_rev.tif,9229-1621-7938.tif,10,13,213
L,4nov19_30dec14_WSB_m2_sp2_6_L_rev.tif,9246-4751-7986.tif,8,4,164
L,1nov19_30dec16_MSM_m1_sp1_18_L_rev.tif,9336-12700-30951.tif,11,15,235
L,8nov19_30sep14_G_m1_sp3_8.1_L_rev.tif,10309-5897-17928.tif,5,1,101
L,8nov19_30sep14_G_m1_sp3_9_L_rev.tif,12640-2832-23208.tif,8,16,176
L,8nov19_30sep14_G_m1_sp3_14.1_L_rev.tif,13572-26574-9020.tif,6,14,134
L,8nov19_30sep14_G_m1_sp3_3_L_rev.tif,15759-19449-4892.tif,6,7,127
L,8nov19_30sep14_G_m1_sp3_8.2_L_rev.tif,17114-31720-7008.tif,6,3,123
L,8nov19_30sep14_G_m1_sp3_13.1_L_rev.tif,19401-13008-31605.tif,8,14,174
L,8nov19_30sep14_G_m1_sp3_16_L_rev.tif,2213-21911-27092.tif,10,12,212
L,8nov19_4nov19_KAZ_m1_sp1_5_L_rev.tif,22168-24722-20336.tif,7,19,159
L,8nov19_30sep14_G_m1_sp3_7.2_L_rev.tif,24219-29309-6843.tif,8,13,173
L,8nov19_30sep14_G_m1_sp3_15.1_L_rev.tif,24320-25918-23258.tif,6,19,139
L,8nov19_30sep14_G_m1_sp3_5.3_L_rev.tif,29164-22049-10419.tif,7,18,158
L,8nov19_30sep14_G_m1_sp3_5.2_L_rev.tif,30207-269-4727.tif,10,18,218
L,8nov19_30sep14_G_m1_sp3_4.1_L_rev.tif,30972-7726-20502.tif,6,15,135
L,8nov19_30sep14_G_m1_sp3_10.1_L_rev.tif,3628-31616-27646.tif,6,12,132
L,8nov19_30sep14_G_m1_sp3_8.4_L_rev.tif,4374-22868-8979.tif,7,2,142
L,8nov19_30sep14_G_m1_sp3_8.3_L_rev.tif,4481-21554-29904.tif,8,10,170
L,8nov19_30sep14_G_m1_sp3_10.2_L_rev.tif,5442-31916-25214.tif,15,9,309
L,8nov19_30sep14_G_m1_sp3_15.2_L_rev.tif,562-20500-17757.tif,6,7,127
L,8nov19_30sep14_G_m1_sp3_5.1_L_rev.tif,6486-23427-26326.tif,5,19,119
L,8nov19_30sep14_G_m1_sp3_4.2_L_rev.tif,9236-16488-25143.tif,6,16,136
Z,8nov19_4nov19_KAZ_m1_sp1_6_Z_rev.tif,12369-17450-11751.tif,8,2,162
Z,8nov19_30sep14_G_m1_sp3_6.1_Z_rev.tif,12921-23603-30746.tif,8,7,167
Z,8nov19_4nov19_KAZ_m1_sp1_8_Z_rev.tif,16451-7202-2720.tif,9,9,189
Z,8nov19_4nov19_KAZ_m1_sp1_2.1_Z_rev.tif,19885-8981-14997.tif,8,8,168
Z,8nov19_30sep14_G_m1_sp3_18_Z_rev.tif,19916-7099-18055.tif,5,17,117
Z,8nov19_4nov19_KAZ_m1_sp1_3.2_Z_rev.tif,22045-10683-23274.tif,7,9,149
Z,8nov19_4nov19_KAZ_m1_sp1_11_Z_rev.tif,24244-30433-14279.tif,8,7,167
Z,8nov19_30sep14_G_m1_sp3_1_Z_rev.tif,2635-11446-3523.tif,8,18,178
Z,8nov19_4nov19_KAZ_m1_sp1_3.1_Z_rev.tif,26540-20545-30328.tif,7,6,146
Z,8nov19_4nov19_KAZ_m1_sp1_12_Z_rev.tif,27007-1287-13968.tif,7,18,158
Z,8nov19_4nov19_KAZ_m1_sp1_2.2_Z_rev.tif,29348-15802-30174.tif,8,10,170
Z,8nov19_4nov19_KAZ_m1_sp1_4.1_Z_rev.tif,30773-12031-15118.tif,7,11,151
Z,8nov19_4nov19_KAZ_m1_sp1_1_Z_rev.tif,31096-13439-7270.tif,10,18,218
Z,8nov19_30sep14_G_m1_sp3_11_Z_rev.tif,3579-1462-21828.tif,4,5,85
Z,8nov19_4nov19_KAZ_m1_sp1_14.1_Z_rev.tif,4868-29229-24593.tif,8,3,163
Z,8nov19_30sep14_G_m1_sp3_12_Z_rev.tif,4940-8269-31849.tif,5,9,109
Z,8nov19_30sep14_G_m1_sp3_14.2_Z_rev.tif,5482-24149-13307.tif,5,18,118
Z,8nov19_30sep14_G_m1_sp3_17_Z_rev.tif,7489-28793-8359.tif,7,12,152
Z,8nov19_30sep14_G_m1_sp3_2_Z_rev.tif,7520-29489-19700.tif,7,6,146
Z,8nov19_30sep14_G_m1_sp3_7.1_Z_rev.tif,8536-5684-28554.tif,5,14,114
