fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,foci_ABS_Position_1,foci_PER_Position_1,foci_intensity_1,foci_ABS_Position_2,foci_PER_Position_2,foci_intensity_2,foci_ABS_Position_3,foci_PER_Position_3,Obj.ID
11jan15_8oct14_PWD_f3_sp1_1_rev,114,6.6955,0.058825,0.14711,7,1,,,,,,,,,4,0.034609,0,26,0.23077,0,52,0.45545,11jan15_8oct14_PWD_f3_sp1_1_rev_1
11jan15_8oct14_PWD_f3_sp1_1_rev,66,7.2658,0.10974,0.15919,3,2,,,,,,,,,8,0.11357,0.79607,36,0.54245,0,59,0.88425,11jan15_8oct14_PWD_f3_sp1_1_rev_2
11jan15_8oct14_PWD_f3_sp1_1_rev,85,8.0124,0.094443,0.13491,2,3,,,,,,,,,23,0.26783,1.3032,47,0.55308,0.96686,NA,NA,11jan15_8oct14_PWD_f3_sp1_1_rev_3
11jan15_8oct14_PWD_f3_sp1_1_rev,96,6.0927,0.063152,0.13257,8,4,,,,,,,,,8,0.082017,0.8895,19,0.19372,0.24895,36,0.37171,11jan15_8oct14_PWD_f3_sp1_1_rev_4
11jan15_8oct14_PWD_f3_sp1_1_rev,113,9.2754,0.081897,0.33386,2,5,,,,,,,,,77,0.68137,0,89,0.7818,0,NA,NA,11jan15_8oct14_PWD_f3_sp1_1_rev_5
11jan15_8oct14_PWD_f3_sp1_1_rev,158,7.3961,0.046725,0.15008,6,8,,,,,,,,,5,0.031505,0,37,0.23514,0,72,0.45621,11jan15_8oct14_PWD_f3_sp1_1_rev_8
11jan15_8oct14_PWD_f3_sp1_1_rev,88,5.9265,0.067614,0.14222,8,10,,,,,,,,,7,0.085292,0.63279,14,0.15784,0.23106,21,0.2362,11jan15_8oct14_PWD_f3_sp1_1_rev_10
11jan15_8oct14_PWD_f3_sp1_1_rev,109,3.4417,0.031606,0.3382,16,11,,,,,,,,,0,0.0027412,0.81034,7,0.05984,0.58789,12,0.11469,11jan15_8oct14_PWD_f3_sp1_1_rev_11
11jan15_8oct14_PWD_f3_sp1_1_rev,100,5.8268,0.058339,0.34958,1,12,,,,,,,,,78,0.78118,0,NA,NA,NA,NA,NA,11jan15_8oct14_PWD_f3_sp1_1_rev_12
11jan15_8oct14_PWD_f3_sp1_1_rev,74,7.6621,0.1039,0.37394,4,15,,,,,,,,,13,0.1782,1.597,18,0.2435,1.0961,48,0.64454,11jan15_8oct14_PWD_f3_sp1_1_rev_15
11jan15_8oct14_PWD_f3_sp1_1_rev,112,6.0082,0.053648,0.15615,4,16,,,,,,,,,10,0.089191,0.9497,35,0.3137,0.9729,65,0.5783,11jan15_8oct14_PWD_f3_sp1_1_rev_16
11jan15_8oct14_PWD_f3_sp1_1_rev,26,2.1918,0.083519,0.14233,1,18,,,,,,,,,24,0.91648,0,NA,NA,NA,NA,NA,11jan15_8oct14_PWD_f3_sp1_1_rev_18
11jan15_8oct14_PWD_f3_sp1_1_rev,44,5.8777,0.13403,0.41835,1,19,,,,,,,,,35,0.80887,4.2617,NA,NA,NA,NA,NA,11jan15_8oct14_PWD_f3_sp1_1_rev_19
