sex,strain,all.biv.gamma,scale,n,class,type.IFD
female,All.Strain,3.8,13.9,1697,all.Biv,raw.IFD
female,WSB,3.1,15.5,252,all.Biv,raw.IFD
female,LEW,4.5,11.3,310,all.Biv,raw.IFD
female,G,5.2,10.9,284,all.Biv,raw.IFD
female,PWD,3.8,13.8,357,all.Biv,raw.IFD
female,KAZ,4.3,14.5,138,all.Biv,raw.IFD
female,SKIVE,3,16,153,all.Biv,raw.IFD
female,MSM,3.9,14.7,203,all.Biv,raw.IFD
female,All,4.8,12,1355,2CO,raw.IFD
female,WSB,3.6,14.7,186,2CO,raw.IFD
female,LEW,5.6,9.6,245,2CO,raw.IFD
female,G,7.1,8.6,240,2CO,raw.IFD
female,PWD,4.9,11.6,285,2CO,raw.IFD
female,KAZ,4.5,14.1,128,2CO,raw.IFD
female,SKIVE,4,14,113,2CO,raw.IFD
female,MSM,4.7,13,158,2CO,raw.IFD
female,All,2.8,13.6,318,3CO,raw.IFD
female,WSB,3,11,60,3CO,raw.IFD
female,LEW,3.1,13.4,56,3CO,raw.IFD
female,G,3.3,12.6,38,3CO,raw.IFD
female,PWD,3,12,72,3CO,raw.IFD
female,KAZ,3.3,15.8,10,3CO,raw.IFD
female,SKIVE,2.3,15.7,40,3CO,raw.IFD
female,MSM,3.1,14.7,42,3CO,raw.IFD
female,All,3.7,8.2,24,4CO,raw.IFD
female,WSB,5.1,5.9,6,4CO,raw.IFD
female,LEW,3.4,9.6,9,4CO,raw.IFD
female,G,3.4,8.2,6,4CO,raw.IFD
female,MSM,4.2,5.6,3,4CO,raw.IFD
female,All.Strain,4.838,0.092,1697,all.Biv,nrm.IFD
female,WSB,3.73,0.11,252,all.Biv,nrm.IFD
female,LEW,5.439,0.082,310,all.Biv,nrm.IFD
female,G,6.319,0.072,284,all.Biv,nrm.IFD
female,PWD,4.844,0.091,357,all.Biv,nrm.IFD
female,KAZ,6.398,0.077,138,all.Biv,nrm.IFD
female,SKIVE,3.87,0.11,153,all.Biv,nrm.IFD
female,MSM,4.754,0.091,203,all.Biv,nrm.IFD
female,All,6.92,0.069,1355,2CO,nrm.IFD
female,WSB,5.1,0.09,186,2CO,nrm.IFD
female,LEW,7.413,0.065,245,2CO,nrm.IFD
female,G,9.83,0.05,240,2CO,nrm.IFD
female,PWD,6.746,0.071,285,2CO,nrm.IFD
female,KAZ,7.413,0.069,128,2CO,nrm.IFD
female,SKIVE,5.809,0.083,113,2CO,nrm.IFD
female,MSM,7.232,0.065,158,2CO,nrm.IFD
female,All,3.452,0.087,318,3CO,nrm.IFD
female,WSB,3.237,0.085,60,3CO,nrm.IFD
female,LEW,4.22,0.077,56,3CO,nrm.IFD
female,G,3.965,0.076,38,3CO,nrm.IFD
female,PWD,3.628,0.081,72,3CO,nrm.IFD
female,KAZ,4.161,0.075,10,3CO,nrm.IFD
female,SKIVE,2.9,0.1,40,3CO,nrm.IFD
female,MSM,3.095,0.099,42,3CO,nrm.IFD
female,All,4.079,0.058,24,4CO,nrm.IFD
female,WSB,5.283,0.048,6,4CO,nrm.IFD
female,LEW,3.984,0.062,9,4CO,nrm.IFD
female,G,3.658,0.058,6,4CO,nrm.IFD
female,MSM,4.242,0.049,3,4CO,nrm.IFD
male,All.Strains,5.4,9.7,1392,all.Biv,raw.IFD
male,WSB,3.5,13.3,109,all.Biv,raw.IFD
male,LEW,3.1,15.2,131,all.Biv,raw.IFD
male,G,5.1,9.9,203,all.Biv,raw.IFD
male,PWD,8.1,7.1,318,all.Biv,raw.IFD
male,KAZ,3.5,13.2,98,all.Biv,raw.IFD
male,SKIVE,13.2,4.3,264,all.Biv,raw.IFD
male,MSM,7.7,7.1,101,all.Biv,raw.IFD
male,MOLF,5.7,7.9,106,all.Biv,raw.IFD
male,All.Strains,6.6,8.2,1268,2CO,raw.IFD
male,WSB,3.9,12.2,107,2CO,raw.IFD
male,LEW,4.1,12.8,105,2CO,raw.IFD
male,G,6.2,8.5,183,2CO,raw.IFD
male,PWD,10.3,5.7,300,2CO,raw.IFD
male,KAZ,3.6,13.7,84,2CO,raw.IFD
male,SKIVE,16.5,3.5,252,2CO,raw.IFD
male,MSM,11.6,4.8,91,2CO,raw.IFD
male,MOLF,6.5,7.3,96,2CO,raw.IFD
male,All.Strains,3.4,9.4,116,3CO,raw.IFD
male,LEW,2.6,11.3,20,3CO,raw.IFD
male,G,3.3,9.2,20,3CO,raw.IFD
male,PWD,2.9,12.5,18,3CO,raw.IFD
male,KAZ,6.7,4.6,14,3CO,raw.IFD
male,SKIVE,5.8,5.8,12,3CO,raw.IFD
male,MSM,2.3,18.2,10,3CO,raw.IFD
male,MOLF,7.8,3.4,10,3CO,raw.IFD
male,All,7.198,0.077,1392,all.Biv,PER.IFD
male,WSB,5.1,0.1,109,all.Biv,PER.IFD
male,LEW,3.89,0.13,131,all.Biv,PER.IFD
male,G,7.191,0.073,203,all.Biv,PER.IFD
male,PWD,11.74,0.05,318,all.Biv,PER.IFD
male,KAZ,4.65,0.11,98,all.Biv,PER.IFD
male,SKIVE,18.898,0.032,264,all.Biv,PER.IFD
male,MSM,9.47,0.061,101,all.Biv,PER.IFD
male,MOLF,6.057,0.081,106,all.Biv,PER.IFD
male,All,9.781,0.059,1268,2CO,PER.IFD
male,WSB,5.753,0.093,107,2CO,PER.IFD
male,LEW,5.798,0.095,105,2CO,PER.IFD
male,G,9.717,0.056,183,2CO,PER.IFD
male,PWD,16.962,0.035,300,2CO,PER.IFD
male,KAZ,4.86,0.11,84,2CO,PER.IFD
male,SKIVE,28.836,0.022,252,2CO,PER.IFD
male,MSM,18.706,0.031,91,2CO,PER.IFD
male,MOLF,7.145,0.072,96,2CO,PER.IFD
male,All,3.812,0.089,116,3CO,PER.IFD
male,LEW,3.02,0.11,20,3CO,PER.IFD
male,G,4.18,0.075,20,3CO,PER.IFD
male,PWD,3.4,0.1,18,3CO,PER.IFD
male,KAZ,10.005,0.032,14,3CO,PER.IFD
male,SKIVE,6.936,0.049,12,3CO,PER.IFD
male,MSM,1.96,0.24,10,3CO,PER.IFD
male,MOLF,6.004,0.048,10,3CO,PER.IFD
