"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","Foci4","notes","mouse","category","strain","sex","subsp","species","IFD3_ABS","IFD1_ABS","IFD2_ABS","IFD1_PER","PER_Foci_1","PER_Foci_2","PER_Foci_3","PER_Foci_4","dis.cent","dis.cent.PER","telo_dist","telo_dist_PER","SisCoTen","Rec.group"
"12oct18_26sep18_CZECH_m1_sp1_1_rev",98,5.4084,0.055255,10,"12oct18_26sep18_CZECH_m1_sp1_1_rev_10","1",1,"","",2,19,89,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,70,NA,0.714285714285714,0.193877551020408,0.908163265306122,NA,NA,13.5916,0.138689795918367,9,0.0918367346938776,70,0
"12oct18_26sep18_CZECH_m1_sp1_1_rev",129,5.557,0.043022,11,"12oct18_26sep18_CZECH_m1_sp1_1_rev_11","1",0,"","",2,44,106,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,62,NA,0.48062015503876,0.341085271317829,0.821705426356589,NA,NA,38.443,0.298007751937984,23,0.178294573643411,62,0
"12oct18_26sep18_CZECH_m1_sp1_1_rev",97,9.582,0.098315,12,"12oct18_26sep18_CZECH_m1_sp1_1_rev_12","1",0,"","",1,38,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.391752577319588,NA,NA,NA,28.418,0.292969072164948,59,0.608247422680412,59,0
"12oct18_26sep18_CZECH_m1_sp1_1_rev",74,6.3994,0.085931,2,"12oct18_26sep18_CZECH_m1_sp1_1_rev_2","1",0,"","",1,40,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.540540540540541,NA,NA,NA,33.6006,0.454062162162162,34,0.459459459459459,34,0
"12oct18_26sep18_CZECH_m1_sp1_1_rev",98,6.139,0.06276,6,"12oct18_26sep18_CZECH_m1_sp1_1_rev_6","1",1,"","",2,46,71,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,25,NA,0.255102040816327,0.469387755102041,0.724489795918367,NA,NA,39.861,0.406744897959184,27,0.275510204081633,25,0
"12oct18_26sep18_CZECH_m1_sp1_1_rev",113,4.038,0.035736,8,"12oct18_26sep18_CZECH_m1_sp1_1_rev_8","1",0,"","",1,103,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.911504424778761,NA,NA,NA,98.962,0.875769911504425,10,0.0884955752212389,10,0
"12oct18_26sep18_CZECH_m1_sp1_10_rev",95,6.0248,0.063171,2,"12oct18_26sep18_CZECH_m1_sp1_10_rev_2","1",0,"","",1,58,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.610526315789474,NA,NA,NA,51.9752,0.547107368421053,37,0.389473684210526,37,0
"12oct18_26sep18_CZECH_m1_sp1_10_rev",66,8.575,0.12899,6,"12oct18_26sep18_CZECH_m1_sp1_10_rev_6","1",0,"","",1,36,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.545454545454545,NA,NA,NA,27.425,0.415530303030303,30,0.454545454545455,30,0
"12oct18_26sep18_CZECH_m1_sp1_10_rev",56,5.496,0.098229,8,"12oct18_26sep18_CZECH_m1_sp1_10_rev_8","1",0,"","",1,52,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.928571428571429,NA,NA,NA,46.504,0.830428571428571,4,0.0714285714285714,4,0
"12oct18_26sep18_CZECH_m1_sp1_10_rev",113,7.6443,0.067731,9,"12oct18_26sep18_CZECH_m1_sp1_10_rev_9","1",0,"","",1,68,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.601769911504425,NA,NA,NA,60.3557,0.534121238938053,45,0.398230088495575,45,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",95,7.2976,0.076421,1,"12oct18_26sep18_CZECH_m1_sp1_11_rev_1","1",0,"","",2,48,86,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,38,NA,0.4,0.505263157894737,0.905263157894737,NA,NA,40.7024,0.428446315789474,9,0.0947368421052632,38,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",96,5.2748,0.055053,10,"12oct18_26sep18_CZECH_m1_sp1_11_rev_10","1",0,"","",1,58,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.604166666666667,NA,NA,NA,52.7252,0.549220833333333,38,0.395833333333333,38,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",78,6.0055,0.077223,11,"12oct18_26sep18_CZECH_m1_sp1_11_rev_11","1",0,"","",1,71,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.91025641025641,NA,NA,NA,64.9945,0.833262820512821,7,0.0897435897435897,7,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",78,2.9412,0.037734,12,"12oct18_26sep18_CZECH_m1_sp1_11_rev_12","1",0,"","",3,17,39,71,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,22,32,0.282051282051282,0.217948717948718,0.5,0.91025641025641,NA,14.0588,0.180241025641026,7,0.0897435897435897,29,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",85,3.2836,0.038846,13,"12oct18_26sep18_CZECH_m1_sp1_11_rev_13","1",1,"","",2,56,74,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,18,NA,0.211764705882353,0.658823529411765,0.870588235294118,NA,NA,52.7164,0.620192941176471,11,0.129411764705882,18,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",85,5.1471,0.060518,14,"12oct18_26sep18_CZECH_m1_sp1_11_rev_14","1",0,"","",1,80,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.941176470588235,NA,NA,NA,74.8529,0.880622352941177,5,0.0588235294117647,5,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",50,7.8504,0.15621,17,"12oct18_26sep18_CZECH_m1_sp1_11_rev_17","1",0,"","",1,37,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.74,NA,NA,NA,29.1496,0.582992,13,0.26,13,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",65,7.4385,0.11399,18,"12oct18_26sep18_CZECH_m1_sp1_11_rev_18","1",1,"","",1,54,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.830769230769231,NA,NA,NA,46.5615,0.716330769230769,11,0.169230769230769,11,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",72,6.3482,0.087964,19,"12oct18_26sep18_CZECH_m1_sp1_11_rev_19","1",0,"","",1,69,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.958333333333333,NA,NA,NA,62.6518,0.870163888888889,3,0.0416666666666667,3,0
"12oct18_26sep18_CZECH_m1_sp1_11_rev",51,5.4769,0.10734,20,"12oct18_26sep18_CZECH_m1_sp1_11_rev_20","1",0,"","",0,NA,NA,NA,NA,"","26sep18_CZECH_m1","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0
