sex,strain,all.biv.gamma,scale,n,class,type.IFD,mean.rbar
female,WSB,3.6,14.7,186,2CO,raw.IFD,0.286477521
female,LEW,5.6,9.6,245,2CO,raw.IFD,0.289001602
female,G,7.1,8.6,240,2CO,raw.IFD,0.290751289
female,PWD,4.9,11.6,285,2CO,raw.IFD,0.289362002
female,KAZ,4.5,14.1,128,2CO,raw.IFD,0.276978494
female,SKIVE,4,14,113,2CO,raw.IFD,0.286172004
female,MSM,4.7,13,158,2CO,raw.IFD,0.290551293
female,WSB,3,11,60,3CO,raw.IFD,0.337424113
female,LEW,3.1,13.4,56,3CO,raw.IFD,0.334746041
female,G,3.3,12.6,38,3CO,raw.IFD,0.340609725
female,PWD,3,12,72,3CO,raw.IFD,0.335659567
female,KAZ,3.3,15.8,10,3CO,raw.IFD,0.33528515
female,SKIVE,2.3,15.7,40,3CO,raw.IFD,0.335558445
female,MSM,3.1,14.7,42,3CO,raw.IFD,0.306731751
male,WSB,3.9,12.2,107,2CO,raw.IFD,0.261297573
male,LEW,4.1,12.8,105,2CO,raw.IFD,0.258557684
male,G,6.2,8.5,183,2CO,raw.IFD,0.27240943
male,PWD,10.3,5.7,300,2CO,raw.IFD,0.260035496
male,KAZ,3.6,13.7,84,2CO,raw.IFD,0.261042339
male,SKIVE,16.5,3.5,252,2CO,raw.IFD,0.253749212
male,MSM,11.6,4.8,91,2CO,raw.IFD,0.265557167
male,MOLF,6.5,7.3,96,2CO,raw.IFD,0.277577101
male,LEW,2.6,11.3,20,3CO,raw.IFD,0.312729433
male,G,3.3,9.2,20,3CO,raw.IFD,0.336810363
male,PWD,2.9,12.5,18,3CO,raw.IFD,0.316338655
male,KAZ,6.7,4.6,14,3CO,raw.IFD,0.34229338
male,SKIVE,5.8,5.8,12,3CO,raw.IFD,0.330601346
male,MSM,2.3,18.2,10,3CO,raw.IFD,-0.016189492
male,MOLF,7.8,3.4,10,3CO,raw.IFD,0.337657928
