return5,fileName,boxNumber,centromere,SC length,rank,chrm.class,hand.foci.count,F1,F2,F3,notes,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob1,,69.904,,autosome,0,,,,,,
,22nov16_30sep16_MSM_f2_sp1_13.1_rev,blob11,,73.437,,autosome,0,,,,,,
,22nov16_30sep16_MSM_f2_sp1_22_rev,blob3,,69.12,,autosome,0,,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob5,,105.966,,autosome,0,,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob11,,103.975,,autosome,0,,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob16,,103.295,,autosome,0,,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob13,,80.924,,autosome,0,,,,,,
,30mar15_13oct14_G_f1_sp1_1.1_rev,blob8,,74.449,,autosome,0,,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob2,,88.184,,autosome,0,,,,maybe 1,,
,5aug17_14jul17_LEW_f1_sp1_1_rev,blob20,,149.631,,autosome,0,,,,,,
,5aug17_14jul17_LEW_f1_sp1_1_rev,blob7,,123.656,,autosome,0,,,,,,
,5aug17_14jul17_LEW_f1_sp1_1_rev,blob14,,60.212,,autosome,0,,,,,,
,8jun15_23apr15_PWD_f2_sp1_20_rev,blob20,,39.766,,autosome,0,,,,blue at both ends,,
16 of 20,29nov16_13nov16_MSM_f1_sp1_5,blob_6,,171.886,,autosome,1,159.602,,,,,
16 of 20,29nov16_13nov16_MSM_f1_sp1_5,blob_5,,68.199,,autosome,1,159.602,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob7,,128.067,,autosome,1,121.89,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob12,,131.834,,autosome,1,111.221,,,,,
,27oct16_31aug16_MSM_m1_sp1_19,blob_15,,117.725,,autosome,1,105.488,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob20,,109.482,,autosome,1,100.865,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob10,,179.5,,autosome,1,100.245,,,,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob8,,102.63,,autosome,1,98.159,,,,,
,22nov16_13nov16_MSM_f2_sp1_18,blob_20,,101.821,,autosome,1,98.062,,,,,
,5aug17_14jul17_LEW_f1_sp1_1_rev,blob15,,131.091,,autosome,1,97.93,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_11,,110.569,,autosome,1,97.205,,,,,
