row.name,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22
1,62.06935547,53.54665126,43.97751,37.56054421,39.7368871,34.16178801,40.92026892,4.278147554,31.65871847,3.685099143,33.24175627,33.61907831,21.98162688,20.31910509,24.75333362,21.77385234,27.73945421,15.38049447,19.67456952,16.00423618,8.613712414,21.92797248
2,83.04498343,72.0210091,69.83919,43.76681556,46.5363577,48.53876569,38.85313481,32.75474914,51.9671329,35.86668344,37.67324598,38.37615678,23.15627094,26.01129336,28.74027451,27.71669687,28.54519645,20.1232861,22.34667583,18.27939887,9.858306191,20.31292092
3,51.23770715,62.78547083,50.10579,39.62376194,51.38705882,43.92802222,47.01775488,38.0785913,36.30108406,33.57062634,43.93799841,36.8215392,24.27370939,27.00476251,31.09399237,26.32003376,33.32688461,19.48809955,27.05903613,18.82164548,11.61930906,1.422291048
4,63.95043507,75.13540437,52.21294,52.38668833,44.26075574,41.99618845,51.70743458,37.61023989,39.57597152,36.24527565,33.46771552,34.74691633,25.49375699,25.42915789,26.05463287,25.11515155,28.1533203,19.12571798,27.38568338,17.2478932,10.147253,14.97644314
5,60.84707447,56.24318467,50.35687,38.73974503,44.88139611,37.75456378,37.85916818,28.78309007,32.39012888,31.26927683,31.7897055,35.06350802,23.03931672,22.95383379,28.25784531,22.28980364,24.30149716,16.80405887,25.39456408,18.99837213,9.630124138,13.93562284
6,65.97620904,65.10613761,49.77295,53.5551191,58.17620923,40.34239119,43.99309235,33.78023205,33.38557739,33.59994626,37.22415893,37.0420208,27.24583157,24.54416453,29.74210036,30.11674973,28.60190457,19.82629219,24.94468317,16.32270667,10.41498255,16.34391598
7,77.1129116,84.86980477,74.09619,46.48139607,53.19523555,52.3379982,42.44956235,41.15882409,37.48470404,44.19219263,34.8596181,35.67816796,34.35533127,30.27705669,27.88118482,34.74929791,32.64831887,20.13247636,40.75980319,23.7885546,9.993736196,17.55617846
8,91.71939444,95.24670317,67.17499,64.49833133,63.12082409,71.9242904,50.89671748,46.26980571,63.8865822,42.05689234,42.89753799,56.76480413,30.64765737,30.34683705,31.67896192,38.78097286,35.89253684,23.96269855,41.25331998,23.53149718,11.99049984,16.79579213
9,86.86027839,87.64765599,58.19566,50.84339649,71.72487257,58.28245426,52.50367695,38.65720997,48.04339656,41.70822868,43.86652447,44.29142523,29.61066348,27.23392366,30.49780291,30.36983255,31.35395531,28.84384688,34.09142548,19.14818953,10.6562977,15.99775563
10,70.79454711,69.75440424,48.12421,42.03720459,44.77528338,39.33963916,42.22138029,42.09153113,35.09637385,32.57787696,37.07994089,35.24723386,25.82922933,24.78885624,28.09674449,25.79990411,31.06313764,18.83386565,27.75300277,17.61306917,11.16560439,15.19686653
